FoodCode,Description,Method,METHOD_DESCRIPTION,NHANES,price_100gm,F_CITMLB,F_OTHER,F_JUICE,fruit,veg_dg,V_REDOR_TOMATO,V_REDOR_OTHER,veg_ro,V_STARCHY_POTATO,V_STARCHY_OTHER,veg_sta,veg_oth,V_TOTAL,veg_leg,gr_whole,gr_refined,G_TOTAL,pf_redm,pf_pm,PF_ORGAN,pf_POULTRY,PF_SEAFD_HI,PF_SEAFD_LOW,PF_MPS_TOTAL,pf_EGG,PF_SOY,pf_ns,pf_leg,PF_TOTAL,D_MILK,D_YOGURT,D_CHEESE,dairy,oil,SOLID_FATS,ADD_SUGARS,A_DRINKS,pf_seafood,FCgrm
11121100,"MILK, DRY, RECONSTITUTED, WHOLE",2,Links to altEC,Base,0.088145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,3.47,0,0,0,1687.67
11210050,"MILK, EVAPORATED, NS AS TO FAT CONTENT",1,Links to FNDDS,Base,0.273042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,6.36,0,0,0,1020.61
11211050,"MILK, EVAPORATED, WHOLE",1,Links to FNDDS,Base,0.29058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,6.36,0,0,0,1569.67
11211400,"Milk, evaporated, reduced fat (2%)",1,Links to FNDDS,Extra,0.35351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.8,0,0.76,0,0,0,63
11220000,"MILK, CONDENSED, SWEETENED",1,Links to FNDDS,Base,0.377441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.4,0,8.1,11.71,0,0,1836.4
11320000,SOY MILK,1,Links to FNDDS,Base,0.167533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0.86,0,0.77,0,0,33307.16
11320100,"SOY MILK, LIGHT",1,Links to FNDDS,Base,0.130817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0.16,0,0.53,0,0,3492.26
11321000,"Soy milk, chocolate",1,Links to FNDDS,Extra,0.176837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0.92,0,1.78,0,0,1570.75
11350000,"ALMOND MILK, SWEETENED",1,Links to FNDDS,Base,0.162743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0.63,0,1.42,0,0,34935.46
11350010,"ALMOND MILK, SWEETENED, CHOCOLATE",1,Links to FNDDS,Base,0.172753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0.63,0.14,1.89,0,0,3324.5
11350020,"ALMOND MILK, UNSWEETENED",1,Links to FNDDS,Base,0.122414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0.14,0,0,0,0,0.63,0,0,0,0,31390.14
11360000,Rice milk,1,Links to FNDDS,Extra,0.208501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,2263.11
11370000,COCONUT MILK,2,Links to altEC,Base,0.253198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.08,0.6,0,0,5440.18
11400000,"YOGURT, NFS",2,Links to altEC,Base,0.500363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0.94,0,0,0,506.97
11411010,"YOGURT, NS AS TO TYPE OF MILK, PLAIN",1,Links to FNDDS,Base,0.37357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0.94,0,0,0,4366.2
11411100,"YOGURT, WHOLE MILK, PLAIN",1,Links to FNDDS,Base,0.39997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,2.64,0,0,0,8316.74
11411200,"YOGURT, LOW FAT MILK, PLAIN",1,Links to FNDDS,Base,0.328614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0.94,0,0,0,5571.5
11411300,"YOGURT, NONFAT MILK, PLAIN",1,Links to FNDDS,Base,0.329562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0,0,0,0,3473.31
11411390,"Yogurt, Greek, NS as to type of milk, plain",1,Links to FNDDS,Extra,0.588772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,1.31,0,0,0,1010.56
11411400,"Yogurt, Greek, plain, whole milk",1,Links to FNDDS,Extra,0.593319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,4.39,0,0,0,959.57
11411410,"YOGURT, GREEK, LOW FAT MILK, PLAIN",1,Links to FNDDS,Base,0.707059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,1.31,0,0,0,4917.03
11411420,"YOGURT, GREEK, NONFAT MILK, PLAIN",1,Links to FNDDS,Base,0.637468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,0,0,0,0,4410.63
11430000,"YOGURT, NS AS TO TYPE OF MILK, FRUIT",1,Links to FNDDS,Base,0.390119,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,0.76,1.19,0,0,17466.27
11431000,"YOGURT, WHOLE MILK, FRUIT",1,Links to FNDDS,Base,0.865227,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,2.26,0.7,0,0,10991.29
11432000,"YOGURT, LOW FAT MILK, FRUIT",1,Links to FNDDS,Base,0.384883,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,0.76,1.19,0,0,48479.29
11433000,"YOGURT, NONFAT MILK, FRUIT",1,Links to FNDDS,Base,0.350934,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0.35,0,0,1.33,0,0,14339.63
11433990,"YOGURT, GREEK, NS AS TO TYPE OF MILK, FRUIT",1,Links to FNDDS,Base,0.63629,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,1.96,1.72,0,0,6152.24
11434000,"YOGURT, GREEK, WHOLE MILK, FRUIT",1,Links to FNDDS,Base,0.693104,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,2.39,1.9,0,0,2404.6
11434010,"YOGURT, GREEK, LOW FAT MILK, FRUIT",1,Links to FNDDS,Base,0.684014,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,1.96,1.72,0,0,12848.09
11434020,"YOGURT, GREEK, NONFAT MILK, FRUIT",1,Links to FNDDS,Base,0.652518,0.03,0.03,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0,0.36,0,0,1.73,0,0,15499.53
11434090,"YOGURT, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRUIT",1,Links to FNDDS,Base,0.356649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0.91,0.71,0,0,4512.13
11434100,"YOGURT, WHOLE MILK, FLAVORS OTHER THAN FRUIT",1,Links to FNDDS,Base,0.669293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.39,0,2.51,1.19,0,0,2748.32
11434200,"YOGURT, LOW FAT MILK, FLAVORS OTHER THAN FRUIT",2,Links to altEC,Base,0.354084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0.91,0.71,0,0,10750.04
11434300,"YOGURT, NONFAT MILK, FLAVORS OTHER THAN FRUIT",1,Links to FNDDS,Base,0.354084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0.71,0,0,5252.93
11435000,"YOGURT, GREEK, NS AS TO TYPE OF MILK, FLAVORS OTHER THAN FRU",1,Links to FNDDS,Base,0.596332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.39,0,1.89,1.32,0,0,2867.77
11435010,"Yogurt, Greek, whole milk, flavors other than fruit",1,Links to FNDDS,Extra,0.924177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0,3.84,1.29,0,0,1550.98
11435020,"YOGURT, GREEK, LOW FAT MILK, FLAVORS OTHER THAN FRUIT",1,Links to FNDDS,Base,0.451383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.39,0,1.89,1.32,0,0,7392.16
11435030,"YOGURT, GREEK, NONFAT MILK, FLAVORS OTHER THAN FRUIT",1,Links to FNDDS,Base,0.620652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,0,0.39,0,0,1.32,0,0,4937.9
11435100,"Yogurt, Greek, with oats",1,Links to FNDDS,Extra,0.739494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.07,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.31,0,0.32,0.13,1.91,2.3,0,0,150
11436000,"YOGURT, LIQUID",1,Links to FNDDS,Base,0.425084,0.02,0.01,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0,0.66,1.24,0,0,7300.26
11440010,"Chipotle dip, yogurt based",1,Links to FNDDS,Extra,1.003057,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0.32,0,0.32,14.13,1.1,0,0,0,237.49
11440040,"Ranch dip, yogurt based",1,Links to FNDDS,Extra,0.989544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0.04,0.32,0,0.36,14.13,1.1,0,0,0,166.25
11440050,"Spinach dip, yogurt based",1,Links to FNDDS,Extra,0.862006,0,0,0,0,0.04,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0.06,0.25,0,0.31,11.12,1.08,0,0,0,90
11440060,TZATZIKI DIP,1,Links to FNDDS,Base,1.085893,0,0,0,0,0,0,0,0,0,0,0,0.31,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23,0,0.23,3.46,2.46,0,0,0,828.76
11440070,"Vegetable dip, yogurt based",1,Links to FNDDS,Extra,1.168263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.03,0,0.32,0,0.32,14.13,1.1,0,0,0,33.35
11446000,Fruit and low fat yogurt parfait,1,Links to FNDDS,Extra,0.872032,0.29,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0.21,0,0.42,1.12,0,0,150
11459990,"Yogurt, frozen, NS as to flavor, NS as to type of milk",2,Links to altEC,Extra,0.484016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,1.94,2,0,0,548.45
11460000,"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, NS AS TO TYPE",2,Links to altEC,Base,0.36184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0,3.03,1.74,0,0,6393.56
11460100,"Yogurt, frozen, chocolate, NS as to type of milk",2,Links to altEC,Extra,0.317779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0,3.03,1.58,0,0,675.13
11460160,"Yogurt, frozen, chocolate, lowfat milk",1,Links to FNDDS,Extra,0.301143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0.38,0,1.38,1.48,0,0,662.5
11460170,"YOGURT, FROZEN, FLAVORS OTHER THAN CHOCOLATE, LOWFAT MILK",1,Links to FNDDS,Base,0.484016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,1.94,2,0,0,2814.3
11460250,"Yogurt, frozen, flavors other than chocolate, with sorbet or
sorbet-coated",1,Links to FNDDS,Extra,0.794645,0,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,3.07,3.85,0,0,392
11461000,"Yogurt, frozen, chocolate-coated",1,Links to FNDDS,Extra,1.062458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,0,15.99,4.43,0,0,41
11480010,"YOGURT, WHOLE MILK, BABY FOOD",1,Links to FNDDS,Base,0.666093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0.41,0,2.64,0,0,0,1709.04
11511000,"CHOCOLATE MILK, NFS",2,Links to altEC,Base,0.170005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0,0.98,0,0,29022.21
11511100,"CHOCOLATE MILK, READY TO DRINK, WHOLE",1,Links to FNDDS,Base,0.236112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,2.78,1.03,0,0,30815.71
11511200,"CHOCOLATE MILK, READY TO DRINK, REDUCED FAT",1,Links to FNDDS,Base,0.199617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,1.29,1.04,0,0,47063.16
11511300,"CHOCOLATE MILK, READY TO DRINK, FAT FREE",1,Links to FNDDS,Base,0.148103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0,0.98,0,0,9943.56
11511400,"CHOCOLATE MILK, READY TO DRINK, LOW FAT",1,Links to FNDDS,Base,0.136597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.39,1.13,0,0,28845.5
11511550,"CHOCOLATE MILK, READY TO DRINK, REDUCED SUGAR, NS AS TO MILK",2,Links to altEC,Base,0.169769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.43,0.5,0,0,33813.25
11511600,"CHOCOLATE MILK, READY TO DRINK, LOW FAT (NESQUIK)",1,Links to FNDDS,Base,0.280748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.39,1.13,0,0,6535.83
11511700,"CHOCOLATE MILK, READY TO DRINK, LOW FAT, NO SUGAR ADDED (NES",2,Links to altEC,Base,0.280748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,0.39,0,0,0,3456.5
11512010,"HOT CHOCOLATE / COCOA, READY TO DRINK",2,Links to altEC,Base,0.153977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0.41,0,1,2.41,0,0,5952.16
11512100,"HOT CHOCOLATE / COCOA, READY TO DRINK, WITH WHIPPED CREAM",4,FNDDS recipe with modifiedSR codes,Base,0.167777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.32,0,2.77,2.54,0,0,2485.16
11513381,"CHOCOLATE MILK, MADE FROM DRY MIX WITH WHOLE MILK (NESQUIK)",4,FNDDS recipe with modifiedSR codes,Base,0.159055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0.38,0,2.62,1.2,0,0,8615.42
11513382,"CHOCOLATE MILK, MADE FROM DRY MIX WITH REDUCED FAT MILK (NES",4,FNDDS recipe with modifiedSR codes,Base,0.155488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0.38,0,1.42,1.2,0,0,9036.5
11513500,"CHOCOLATE MILK, MADE FROM SYRUP WITH WHOLE MILK",4,FNDDS recipe with modifiedSR codes,Base,0.135288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,2.29,1.9,0,0,12668.15
11513550,"CHOCOLATE MILK, MADE FROM SYRUP WITH REDUCED FAT MILK",4,FNDDS recipe with modifiedSR codes,Base,0.131994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,1.19,1.9,0,0,12276
