outcome,impact_median_10perc_Med,impact_median_10perc_US,impact_median_10perc_Veg,impact_median_10perc_Vegan,impact_LB_10perc_Med,impact_LB_10perc_US,impact_LB_10perc_Veg,impact_LB_10perc_Vegan,impact_UB_10perc_Med,impact_UB_10perc_US,impact_UB_10perc_Veg,impact_UB_10perc_Vegan
BLUEWATER (L),810155566081.2166,652887685060.8113,-84966124409.57927,-646841784144.0483,767175878717.1063,605141313537.699,-129000772133.65251,-690802147626.7642,854875066059.5605,694706527469.1171,-40561384492.16973,-602255397039.3726
Cancer (cases),5442.541623375657,5828.0075684409185,8650.90391906922,7574.9151452329825,4736.279821311366,5134.778792417665,7649.296101019951,6654.581816241353,6186.9955466404635,6558.041342722443,9698.06098471125,8547.05775622981
CED (mJ),102296759977.05246,53608349418.44954,-55478645805.161934,-101756427095.52293,99846907417.42944,51367418395.43242,-57716762707.87146,-104023256203.81519,104728351638.86064,56100865402.382935,-53154925535.506355,-99546376575.4601
CVD (deaths),23568.03031374776,20992.331621043668,34412.99919561354,34412.99321076215,20485.120938628017,18148.504802196177,30367.719103956606,30367.71731065194,26913.746313880452,24067.342284585913,38564.19213313655,38564.18938963477
Food_price ($),42075052917.08033,17027125936.75397,-41399503241.82931,-59280480307.63851,40320398675.68747,15377856331.7578,-43026403862.04877,-60926529179.13909,43861982388.97679,18819758950.14584,-39703045142.37531,-57661291389.05773
GHG (kgCO2eq),3677983338.062833,2459691904.724144,-17212468633.253586,-25965819604.72594,3142749503.8231354,1945210743.5398486,-17699416641.16907,-26458113142.00058,4155421798.7580605,2956850787.305895,-16715622590.351093,-25481421687.680397
WATER (litereq),8012193490421.505,6106532238604.571,3035361255714.5483,859531064226.9021,7751571675601.455,5838840981576.863,2764535911684.015,594902246026.4999,8279081144740.664,6371353658306.876,3296685157564.581,1118619059368.4595
