diet_pattern,food_cat,food_group,outcome,impact_median_day,impact_median_year
Med,Other,added_sugar,BLUEWATER (L),-10.18095714,-3716.049357
Med,Other,added_sugar,CED (mJ),-0.513376831,-187.3825432
Med,Other,added_sugar,FL (mrh-eq),-0.023782597,-8.680647736
Med,Other,added_sugar,Food_price ($),-0.834621762,-304.636943
Med,Other,added_sugar,GHG (kgCO2eq),-0.052810377,-19.27578764
Med,Other,added_sugar,WATER (litereq),-37.62476152,-13733.03796
Med,Dairy,dairy_cow,BLUEWATER (L),14.11249013,5151.058899
Med,Dairy,dairy_cow,CED (mJ),1.137976658,415.3614801
Med,Dairy,dairy_cow,FL (mrh-eq),0.025860854,9.439211572
Med,Dairy,dairy_cow,Food_price ($),0,0
Med,Dairy,dairy_cow,GHG (kgCO2eq),0.211246553,77.10499172
Med,Dairy,dairy_cow,WATER (litereq),59.13951006,21585.92117
Med,Dairy,dairy_soy,BLUEWATER (L),-0.022300361,-8.139631742
Med,Dairy,dairy_soy,CED (mJ),-0.002905587,-1.060539111
Med,Dairy,dairy_soy,FL (mrh-eq),-4.87E-04,-0.177935014
Med,Dairy,dairy_soy,Food_price ($),0,0
Med,Dairy,dairy_soy,GHG (kgCO2eq),-4.46E-04,-0.162791879
Med,Dairy,dairy_soy,WATER (litereq),-0.038881987,-14.19192522
Med,Dairy,dairy_tot,BLUEWATER (L),0,0
Med,Dairy,dairy_tot,Cancer (cases),NA,4477.116084
Med,Dairy,dairy_tot,CED (mJ),0,0
Med,Dairy,dairy_tot,CVD (deaths),NA,0
Med,Dairy,dairy_tot,FL (mrh-eq),0,0
Med,Dairy,dairy_tot,Food_price ($),0.243282747,88.79820276
Med,Dairy,dairy_tot,GHG (kgCO2eq),0,0
Med,Dairy,dairy_tot,WATER (litereq),0,0
Med,Fruit,fruit_exc_juice,BLUEWATER (L),88.82634479,32421.61585
Med,Fruit,fruit_exc_juice,Cancer (cases),NA,7428.244726
Med,Fruit,fruit_exc_juice,CED (mJ),1.438351372,524.9982508
Med,Fruit,fruit_exc_juice,CVD (deaths),NA,58259.96019
Med,Fruit,fruit_exc_juice,FL (mrh-eq),0.088138115,32.17041207
Med,Fruit,fruit_exc_juice,Food_price ($),2.21193279,807.3554684
Med,Fruit,fruit_exc_juice,GHG (kgCO2eq),0.189076226,69.01282243
Med,Fruit,fruit_exc_juice,WATER (litereq),657.1180963,239848.1051
Med,Fruit,fruit_juice,BLUEWATER (L),31.89234183,11640.70477
Med,Fruit,fruit_juice,CED (mJ),0.789877224,288.3051868
Med,Fruit,fruit_juice,FL (mrh-eq),0.050078504,18.27865405
Med,Fruit,fruit_juice,Food_price ($),0.219895006,80.26167735
Med,Fruit,fruit_juice,GHG (kgCO2eq),0.100052994,36.51934273
Med,Fruit,fruit_juice,WATER (litereq),271.5532259,99116.92746
Med,Grain,gr_refined,BLUEWATER (L),-30.11167811,-10990.76251
Med,Grain,gr_refined,CED (mJ),-0.351390041,-128.2573649
Med,Grain,gr_refined,FL (mrh-eq),-0.00794615,-2.900344908
Med,Grain,gr_refined,Food_price ($),-1.043606581,-380.9164019
Med,Grain,gr_refined,GHG (kgCO2eq),-0.061258884,-22.35949249
Med,Grain,gr_refined,WATER (litereq),-94.69234726,-34562.70675
Med,Grain,gr_whole,BLUEWATER (L),26.95337863,9837.983201
Med,Grain,gr_whole,Cancer (cases),NA,29263.25896
Med,Grain,gr_whole,CED (mJ),0.440033139,160.6120957
Med,Grain,gr_whole,CVD (deaths),NA,50128.76481
Med,Grain,gr_whole,FL (mrh-eq),0.007870248,2.872640435
Med,Grain,gr_whole,Food_price ($),0.74444883,271.7238228
Med,Grain,gr_whole,GHG (kgCO2eq),0.069550935,25.38609137
Med,Grain,gr_whole,WATER (litereq),125.2244457,45706.92269
Med,Protein,leg_tot,BLUEWATER (L),3.711806909,1354.809522
Med,Protein,leg_tot,Cancer (cases),NA,2808.070959
Med,Protein,leg_tot,CED (mJ),0.07134895,26.04236668
Med,Protein,leg_tot,CVD (deaths),NA,9893.1384
Med,Protein,leg_tot,FL (mrh-eq),0.003005279,1.096926875
Med,Protein,leg_tot,Food_price ($),0.082799094,30.22166945
Med,Protein,leg_tot,GHG (kgCO2eq),0.012269714,4.478445642
Med,Protein,leg_tot,WATER (litereq),14.52103842,5300.179022
Med,Other,oil,BLUEWATER (L),-0.282082414,-102.9600811
Med,Other,oil,CED (mJ),-0.009093595,-3.319162237
Med,Other,oil,FL (mrh-eq),-3.55E-04,-0.129471688
Med,Other,oil,Food_price ($),-0.006995795,-2.553465097
Med,Other,oil,GHG (kgCO2eq),-0.001111459,-0.40568237
Med,Other,oil,WATER (litereq),-0.788448612,-287.7837434
Med,Protein,pf_egg,BLUEWATER (L),-3.749971648,-1368.739652
Med,Protein,pf_egg,CED (mJ),-0.191697712,-69.96966501
Med,Protein,pf_egg,FL (mrh-eq),-0.002774932,-1.012850151
Med,Protein,pf_egg,Food_price ($),-0.233031271,-85.05641388
Med,Protein,pf_egg,GHG (kgCO2eq),-0.031286526,-11.41958198
Med,Protein,pf_egg,WATER (litereq),-8.605129852,-3140.872396
Med,Protein,pf_ns,BLUEWATER (L),-8.627980275,-3149.2128
Med,Protein,pf_ns,Cancer (cases),NA,80.89190306
Med,Protein,pf_ns,CED (mJ),-0.021005752,-7.667099447
Med,Protein,pf_ns,CVD (deaths),NA,5106.976625
Med,Protein,pf_ns,FL (mrh-eq),-0.005880955,-2.146548732
Med,Protein,pf_ns,Food_price ($),-0.030025419,-10.95927811
Med,Protein,pf_ns,GHG (kgCO2eq),-0.003767067,-1.374979501
Med,Protein,pf_ns,WATER (litereq),-49.6000703,-18104.02566
Med,Protein,pf_pm,BLUEWATER (L),0,0
Med,Protein,pf_pm,Cancer (cases),NA,3983.37567
Med,Protein,pf_pm,CED (mJ),0,0
Med,Protein,pf_pm,CVD (deaths),NA,21506.27537
Med,Protein,pf_pm,FL (mrh-eq),0,0
Med,Protein,pf_pm,Food_price ($),-0.17392426,-63.48235487
Med,Protein,pf_pm,GHG (kgCO2eq),0,0
Med,Protein,pf_pm,WATER (litereq),0,0
Med,Protein,pf_poultry,BLUEWATER (L),0,0
Med,Protein,pf_poultry,CED (mJ),0,0
Med,Protein,pf_poultry,FL (mrh-eq),0,0
Med,Protein,pf_poultry,Food_price ($),-0.364650388,-133.0973915
Med,Protein,pf_poultry,GHG (kgCO2eq),0,0
Med,Protein,pf_poultry,WATER (litereq),0,0
Med,Protein,pf_poultry_tot,BLUEWATER (L),-11.77718689,-4298.673214
Med,Protein,pf_poultry_tot,CED (mJ),-0.367938425,-134.2975251
Med,Protein,pf_poultry_tot,FL (mrh-eq),-0.005517273,-2.013804597
Med,Protein,pf_poultry_tot,Food_price ($),0,0
Med,Protein,pf_poultry_tot,GHG (kgCO2eq),-0.053394877,-19.48912994
Med,Protein,pf_poultry_tot,WATER (litereq),-25.28478162,-9228.945293
Med,Protein,pf_redm,BLUEWATER (L),0,0
Med,Protein,pf_redm,Cancer (cases),NA,2239.23646
Med,Protein,pf_redm,CED (mJ),0,0
Med,Protein,pf_redm,CVD (deaths),NA,8405.533154
Med,Protein,pf_redm,FL (mrh-eq),0,0
Med,Protein,pf_redm,Food_price ($),-0.608634707,-222.1516681
Med,Protein,pf_redm,GHG (kgCO2eq),0,0
Med,Protein,pf_redm,WATER (litereq),0,0
Med,Protein,pf_redm_tot,BLUEWATER (L),-22.14975152,-8084.659303
Med,Protein,pf_redm_tot,CED (mJ),-0.976690704,-356.4921069
Med,Protein,pf_redm_tot,FL (mrh-eq),-0.032669006,-11.92418703
Med,Protein,pf_redm_tot,Food_price ($),0,0
Med,Protein,pf_redm_tot,GHG (kgCO2eq),-0.425136845,-155.1749485
Med,Protein,pf_redm_tot,WATER (litereq),-125.8326697,-45928.92444
Med,Protein,pf_seafood,BLUEWATER (L),3.309111166,1207.825576
