diet_pattern,food_group,outcome,impact_median,impact_sum,prop
Med,added_sugar,GHG (kgCO2eq),-0.0528103771094155,0.41023554193460776,-12.873184234688658
Med,dairy_cow,GHG (kgCO2eq),0.211246552654398,0.41023554193460776,51.49396652912903
Med,dairy_soy,GHG (kgCO2eq),-4.4600514820292e-4,0.41023554193460776,-0.10871928504771389
Med,dairy_tot,GHG (kgCO2eq),0,0.41023554193460776,0
Med,fruit_exc_juice,GHG (kgCO2eq),0.189076225838566,0.41023554193460776,46.08967447016209
Med,fruit_juice,GHG (kgCO2eq),0.100052993781693,0.41023554193460776,24.389157826223066
Med,gr_refined,GHG (kgCO2eq),-0.0612588835307059,0.41023554193460776,-14.932612430853364
Med,gr_whole,GHG (kgCO2eq),0.0695509352676728,0.41023554193460776,16.953902857778065
Med,leg_tot,GHG (kgCO2eq),0.0122697140868125,0.41023554193460776,2.9908949451211404
Med,oil,GHG (kgCO2eq),-0.00111145854734809,0.41023554193460776,-0.27093180227793584
Med,pf_egg,GHG (kgCO2eq),-0.0312865259787715,0.41023554193460776,-7.626478639863589
Med,pf_ns,GHG (kgCO2eq),-0.00376706712516474,0.41023554193460776,-0.9182693209369014
Med,pf_pm,GHG (kgCO2eq),0,0.41023554193460776,0
Med,pf_poultry,GHG (kgCO2eq),0,0.41023554193460776,0
Med,pf_poultry_tot,GHG (kgCO2eq),-0.0533948765425554,0.41023554193460776,-13.015663218928658
Med,pf_redm,GHG (kgCO2eq),0,0.41023554193460776,0
Med,pf_redm_tot,GHG (kgCO2eq),-0.425136845319702,0.41023554193460776,-103.63237746657006
Med,pf_seafood,GHG (kgCO2eq),0.58976442371331,0.41023554193460776,143.76239097472433
Med,sat_fat,GHG (kgCO2eq),-0.230562354908238,0.41023554193460776,-56.20243283186566
Med,veg_dg,GHG (kgCO2eq),0.00491390725880995,0.41023554193460776,1.197825823583378
Med,veg_oth,GHG (kgCO2eq),8.4177344775841e-4,0.41023554193460776,0.20519271533342426
Med,veg_ro,GHG (kgCO2eq),0.0561776218527967,0.41023554193460776,13.693991892528782
Med,veg_sta,GHG (kgCO2eq),0.0361157882428945,0.41023554193460776,8.803671196449239
US,added_sugar,GHG (kgCO2eq),-0.0527609070224536,0.27592770966289826,-19.12127893458463
US,dairy_cow,GHG (kgCO2eq),0.552979160915266,0.27592770966289826,200.4072594198105
US,dairy_soy,GHG (kgCO2eq),-4.5332846991599e-4,0.27592770966289826,-0.16429247735568955
US,dairy_tot,GHG (kgCO2eq),0,0.27592770966289826,0
US,fruit_exc_juice,GHG (kgCO2eq),0.129980041921318,0.27592770966289826,47.10655630785144
US,fruit_juice,GHG (kgCO2eq),0.0675899949317255,0.27592770966289826,24.495544508487534
US,gr_refined,GHG (kgCO2eq),-0.0612791645664454,0.27592770966289826,-22.208412718429166
US,gr_whole,GHG (kgCO2eq),0.069580467752602,0.27592770966289826,25.21691925671716
US,leg_tot,GHG (kgCO2eq),0.0123215460401859,0.27592770966289826,4.465497885384245
US,oil,GHG (kgCO2eq),-0.0011225614569179,0.27592770966289826,-0.40683172352981034
US,pf_egg,GHG (kgCO2eq),-0.0313164940833573,0.27592770966289826,-11.349528512963326
US,pf_ns,GHG (kgCO2eq),-0.00382790597619818,0.27592770966289826,-1.3872858151414893
US,pf_pm,GHG (kgCO2eq),0,0.27592770966289826,0
US,pf_poultry,GHG (kgCO2eq),0,0.27592770966289826,0
US,pf_poultry_tot,GHG (kgCO2eq),-0.0534348097407902,0.27592770966289826,-19.365510555671147
US,pf_redm,GHG (kgCO2eq),0,0.27592770966289826,0
US,pf_redm_tot,GHG (kgCO2eq),-0.425179772845375,0.27592770966289826,-154.09100208341468
US,pf_seafood,GHG (kgCO2eq),0.205303066251984,0.27592770966289826,74.40465711211223
US,sat_fat,GHG (kgCO2eq),-0.230594510431246,0.27592770966289826,-83.57062460778732
US,veg_dg,GHG (kgCO2eq),0.00489468996205909,0.27592770966289826,1.773903015408981
US,veg_oth,GHG (kgCO2eq),9.1556878513935e-4,0.27592770966289826,0.3318147301182267
US,veg_ro,GHG (kgCO2eq),0.0561795269230594,0.27592770966289826,20.36023384229663
US,veg_sta,GHG (kgCO2eq),0.0361531007722586,0.27592770966289826,13.10238135069035
Veg,added_sugar,GHG (kgCO2eq),-0.0525160983039448,-1.9263758304808742,2.7261605691364696
Veg,dairy_cow,GHG (kgCO2eq),0.55295641742909,-1.9263758304808742,-28.70449310460137
