diet_pattern,food_group,outcome,impact_median_year,my_sum,my_prop
Med,added_sugar,BLUEWATER (L),-3716.049356920374,33091.111639906536,-11.229750748049726
Med,dairy_cow,BLUEWATER (L),5151.058899201854,33091.111639906536,15.566291502247045
Med,dairy_soy,BLUEWATER (L),-8.139631741599558,33091.111639906536,-0.024597637668308168
Med,dairy_tot,BLUEWATER (L),0,33091.111639906536,0
Med,fruit_exc_juice,BLUEWATER (L),32421.615846598364,33091.111639906536,97.97681081072905
Med,fruit_juice,BLUEWATER (L),11640.704766256034,33091.111639906536,35.17773864150824
Med,gr_refined,BLUEWATER (L),-10990.762511755927,33091.111639906536,-33.21363945507807
Med,gr_whole,BLUEWATER (L),9837.98320066876,33091.111639906536,29.729987036170012
Med,leg_tot,BLUEWATER (L),1354.8095216502895,33091.111639906536,4.094179537977335
Med,oil,BLUEWATER (L),-102.96008113831232,33091.111639906536,-0.3111411978500796
Med,pf_egg,BLUEWATER (L),-1368.73965167745,33091.111639906536,-4.1362758270919056
Med,pf_ns,BLUEWATER (L),-3149.2128004432257,33091.111639906536,-9.516793617309014
Med,pf_pm,BLUEWATER (L),0,33091.111639906536,0
Med,pf_poultry,BLUEWATER (L),0,33091.111639906536,0
Med,pf_poultry_tot,BLUEWATER (L),-4298.673213518297,33091.111639906536,-12.990416460758219
Med,pf_redm,BLUEWATER (L),0,33091.111639906536,0
Med,pf_redm_tot,BLUEWATER (L),-8084.6593030447875,33091.111639906536,-24.431513184026784
Med,pf_seafood,BLUEWATER (L),1207.8255755972782,33091.111639906536,3.6500000022383343
Med,sat_fat,BLUEWATER (L),-5532.975374220354,33091.111639906536,-16.720427631532967
Med,veg_dg,BLUEWATER (L),980.3363486791234,33091.111639906536,2.9625367662078705
Med,veg_oth,BLUEWATER (L),197.06003872019315,33091.111639906536,0.5955074609296194
Med,veg_ro,BLUEWATER (L),3019.7293664120166,33091.111639906536,9.125499920559772
Med,veg_sta,BLUEWATER (L),4532.160000582953,33091.111639906536,13.696004080797794
Med,dairy_tot,Cancer (cases),4477.11608444943,54425.416233756565,8.226149461531476
Med,fruit_exc_juice,Cancer (cases),7428.24472556207,54425.416233756565,13.648484916785645
Med,gr_whole,Cancer (cases),29263.258955636,54425.416233756565,53.76763464692787
Med,leg_tot,Cancer (cases),2808.07095930982,54425.416233756565,5.159484582073174
Med,pf_ns,Cancer (cases),80.8919030574992,54425.416233756565,0.14862891026881517
Med,pf_pm,Cancer (cases),3983.37567018598,54425.416233756565,7.318962252998536
Med,pf_redm,Cancer (cases),2239.23645955884,54425.416233756565,4.1143212390720985
Med,pf_seafood,Cancer (cases),0,54425.416233756565,0
Med,sodium,Cancer (cases),0,54425.416233756565,0
Med,ssb,Cancer (cases),337.809897750778,54425.416233756565,0.6206840868242297
Med,veg_exc_sta,Cancer (cases),3807.41157824615,54425.416233756565,6.995649903518163
Med,added_sugar,CED (mJ),-187.38254318754528,4177.503594429085,-4.485514828459502
Med,dairy_cow,CED (mJ),415.36148012286395,4177.503594429085,9.94281562502471
Med,dairy_soy,CED (mJ),-1.0605391111556681,4177.503594429085,-0.0253869107993097
Med,dairy_tot,CED (mJ),0,4177.503594429085,0
Med,fruit_exc_juice,CED (mJ),524.9982508313701,4177.503594429085,12.567272270728436
Med,fruit_juice,CED (mJ),288.30518682763926,4177.503594429085,6.901374955418567
Med,gr_refined,CED (mJ),-128.25736494376468,4177.503594429085,-3.070191611918718
Med,gr_whole,CED (mJ),160.61209568161402,4177.503594429085,3.8446907836488395
Med,leg_tot,CED (mJ),26.042366678921834,4177.503594429085,0.6233954343845608
Med,oil,CED (mJ),-3.3191622371172618,4177.503594429085,-0.07945324670799887
Med,pf_egg,CED (mJ),-69.96966500737624,4177.503594429085,-1.6749157343798429
Med,pf_ns,CED (mJ),-7.667099447393236,4177.503594429085,-0.18353304249977678
Med,pf_pm,CED (mJ),0,4177.503594429085,0
Med,pf_poultry,CED (mJ),0,4177.503594429085,0
Med,pf_poultry_tot,CED (mJ),-134.2975251139668,4177.503594429085,-3.2147794030161805
Med,pf_redm,CED (mJ),0,4177.503594429085,0
Med,pf_redm_tot,CED (mJ),-356.492106898261,4177.503594429085,-8.533615802836447
Med,pf_seafood,CED (mJ),3655.5941301863168,4177.503594429085,87.50666630332141
Med,sat_fat,CED (mJ),-310.5936557514674,4177.503594429085,-7.4349105567655265
Med,veg_dg,CED (mJ),15.767269062632696,4177.503594429085,0.3774328066086923
Med,veg_oth,CED (mJ),3.181936294927731,4177.503594429085,0.07616836761483595
Med,veg_ro,CED (mJ),170.15879787747903,4177.503594429085,4.073217270342855
Med,veg_sta,CED (mJ),116.52174256336673,4177.503594429085,2.7892673202903873
Med,dairy_tot,CVD (deaths),0,235680.3031374776,0
Med,fruit_exc_juice,CVD (deaths),58259.9601887031,235680.3031374776,24.719910579340507
Med,gr_whole,CVD (deaths),50128.7648128309,235680.3031374776,21.269815145981745
Med,leg_tot,CVD (deaths),9893.13840012968,235680.3031374776,4.1976941935443755
Med,pf_ns,CVD (deaths),5106.97662480966,235680.3031374776,2.166908543829667
Med,pf_pm,CVD (deaths),21506.2753686045,235680.3031374776,9.125189963821205
Med,pf_redm,CVD (deaths),8405.53315435494,235680.3031374776,3.566497939139107
Med,pf_seafood,CVD (deaths),13201.0655385379,235680.3031374776,5.601259571885998
Med,sodium,CVD (deaths),42819.5613826702,235680.3031374776,18.16849385062637
Med,ssb,CVD (deaths),7170.48946306813,235680.3031374776,3.0424644603776767
Med,veg_exc_sta,CVD (deaths),19188.5382037686,235680.3031374776,8.141765751453356
Med,added_sugar,Food_price ($),-304.6369429648561,1716.9431538686074,-17.74298364383525
Med,dairy_cow,Food_price ($),0,1716.9431538686074,0
Med,dairy_soy,Food_price ($),0,1716.9431538686074,0
Med,dairy_tot,Food_price ($),88.79820275994771,1716.9431538686074,5.171877855121066
Med,fruit_exc_juice,Food_price ($),807.3554683975084,1716.9431538686074,47.0228421120629
Med,fruit_juice,Food_price ($),80.26167734763511,1716.9431538686074,4.674684608327883
Med,gr_refined,Food_price ($),-380.9164019381114,1716.9431538686074,-22.18573172209182
Med,gr_whole,Food_price ($),271.7238228196764,1716.9431538686074,15.82602325577464
Med,leg_tot,Food_price ($),30.221669450778307,1716.9431538686074,1.7602021000335972
Med,oil,Food_price ($),-2.553465097186026,1716.9431538686074,-0.14872158646793704
Med,pf_egg,Food_price ($),-85.0564138767688,1716.9431538686074,-4.953944671092932
Med,pf_ns,Food_price ($),-10.95927810739191,1716.9431538686074,-0.6383017447431805
Med,pf_pm,Food_price ($),-63.48235487149642,1716.9431538686074,-3.6974057486095746
Med,pf_poultry,Food_price ($),-133.09739153248358,1716.9431538686074,-7.7519975680376625
Med,pf_poultry_tot,Food_price ($),0,1716.9431538686074,0
Med,pf_redm,Food_price ($),-222.15166812293634,1716.9431538686074,-12.938789943183929
Med,pf_redm_tot,Food_price ($),0,1716.9431538686074,0
Med,pf_seafood,Food_price ($),1367.1219084049555,1716.9431538686074,79.62534492330533
Med,sat_fat,Food_price ($),-31.87534722663274,1716.9431538686074,-1.856517331678185
Med,veg_dg,Food_price ($),27.128042031950084,1716.9431538686074,1.5800198143325432
Med,veg_oth,Food_price ($),23.558141662822543,1716.9431538686074,1.3720979410262628
Med,veg_ro,Food_price ($),178.83997962356838,1716.9431538686074,10.416185254625761
Med,veg_sta,Food_price ($),76.66350510762828,1716.9431538686074,4.465116095130493
Med,added_sugar,GHG (kgCO2eq),-19.27578764493666,149.73597280613185,-12.873184234688656
Med,dairy_cow,GHG (kgCO2eq),77.10499171885527,149.73597280613185,51.49396652912902
Med,dairy_soy,GHG (kgCO2eq),-0.1627918790940658,149.73597280613185,-0.10871928504771386
Med,dairy_tot,GHG (kgCO2eq),0,149.73597280613185,0
Med,fruit_exc_juice,GHG (kgCO2eq),69.0128224310766,149.73597280613185,46.08967447016209
Med,fruit_juice,GHG (kgCO2eq),36.519342730317945,149.73597280613185,24.389157826223062
Med,gr_refined,GHG (kgCO2eq),-22.359492488707655,149.73597280613185,-14.932612430853363
Med,gr_whole,GHG (kgCO2eq),25.38609137270057,149.73597280613185,16.95390285777806
Med,leg_tot,GHG (kgCO2eq),4.478445641686562,149.73597280613185,2.99089494512114
Med,oil,GHG (kgCO2eq),-0.4056823697820529,149.73597280613185,-0.27093180227793584
Med,pf_egg,GHG (kgCO2eq),-11.419581982251596,149.73597280613185,-7.6264786398635875
Med,pf_ns,GHG (kgCO2eq),-1.37497950068513,149.73597280613185,-0.9182693209369012
Med,pf_pm,GHG (kgCO2eq),0,149.73597280613185,0
Med,pf_poultry,GHG (kgCO2eq),0,149.73597280613185,0
Med,pf_poultry_tot,GHG (kgCO2eq),-19.48912993803272,149.73597280613185,-13.015663218928655
Med,pf_redm,GHG (kgCO2eq),0,149.73597280613185,0
Med,pf_redm_tot,GHG (kgCO2eq),-155.1749485416912,149.73597280613185,-103.63237746657002
Med,pf_seafood,GHG (kgCO2eq),215.26401465535812,149.73597280613185,143.7623909747243
Med,sat_fat,GHG (kgCO2eq),-84.15525954150688,149.73597280613185,-56.20243283186566
Med,veg_dg,GHG (kgCO2eq),1.793576149465632,149.73597280613185,1.197825823583378
Med,veg_oth,GHG (kgCO2eq),0.30724730843181963,149.73597280613185,0.20519271533342423
Med,veg_ro,GHG (kgCO2eq),20.504831976270793,149.73597280613185,13.693991892528778
Med,veg_sta,GHG (kgCO2eq),13.182262708656491,149.73597280613185,8.803671196449237
Med,added_sugar,WATER (litereq),-13733.037955128573,327187.2271800132,-4.19730258833511
Med,dairy_cow,WATER (litereq),21585.9211704262,327187.2271800132,6.597421713699713
Med,dairy_soy,WATER (litereq),-14.19192521881412,327187.2271800132,-0.004337554782053258
Med,dairy_tot,WATER (litereq),0,327187.2271800132,0
Med,fruit_exc_juice,WATER (litereq),239848.10514045347,327187.2271800132,73.30607224728027
Med,fruit_juice,WATER (litereq),99116.92745697079,327187.2271800132,30.293642056643684
Med,gr_refined,WATER (litereq),-34562.706749688885,327187.2271800132,-10.563586802449668
Med,gr_whole,WATER (litereq),45706.92268923956,327187.2271800132,13.969653731040161
Med,leg_tot,WATER (litereq),5300.179021824122,327187.2271800132,1.6199223507304117
Med,oil,WATER (litereq),-287.78374335687874,327187.2271800132,-0.08795690034640158
Med,pf_egg,WATER (litereq),-3140.872395879844,327187.2271800132,-0.9599618001444129
Med,pf_ns,WATER (litereq),-18104.02566098504,327187.2271800132,-5.533231176846795
Med,pf_pm,WATER (litereq),0,327187.2271800132,0
Med,pf_poultry,WATER (litereq),0,327187.2271800132,0
Med,pf_poultry_tot,WATER (litereq),-9228.945292729048,327187.2271800132,-2.820692412803581
Med,pf_redm,WATER (litereq),0,327187.2271800132,0
Med,pf_redm_tot,WATER (litereq),-45928.924444626326,327187.2271800132,-14.037505326990335
Med,pf_seafood,WATER (litereq),8360.065726656243,327187.2271800132,2.5551320565630355
Med,sat_fat,WATER (litereq),-25039.661399676053,327187.2271800132,-7.653007000147848
Med,veg_dg,WATER (litereq),12286.825395787515,327187.2271800132,3.755288830094672
Med,veg_oth,WATER (litereq),1656.1679873727753,327187.2271800132,0.5061835700760954
Med,veg_ro,WATER (litereq),23314.739278418798,327187.2271800132,7.125809732661538
Med,veg_sta,WATER (litereq),20051.522880153167,327187.2271800132,6.1284552740566305
US,added_sugar,BLUEWATER (L),-3712.2306816562495,26666.060283830724,-13.92118161492046
US,dairy_cow,BLUEWATER (L),13483.903960155094,26666.060283830724,50.565789684092245
US,dairy_soy,BLUEWATER (L),-8.27328298331695,26666.060283830724,-0.0310255166877184
US,dairy_tot,BLUEWATER (L),0,26666.060283830724,0
US,fruit_exc_juice,BLUEWATER (L),22246.953869346795,26666.060283830724,83.42797410848311
US,fruit_juice,BLUEWATER (L),7891.914892850655,26666.060283830724,29.595353827486882
US,gr_refined,BLUEWATER (L),-10990.797751438777,26666.060283830724,-41.21642880295735
US,gr_whole,BLUEWATER (L),9839.172516003144,26666.060283830724,36.897735965778345
US,leg_tot,BLUEWATER (L),1361.1971416064189,26666.060283830724,5.104605356464287
US,oil,BLUEWATER (L),-103.97475262253585,26666.060283830724,-0.3899141887321921
US,pf_egg,BLUEWATER (L),-1370.0507123257378,26666.060283830724,-5.137807001645774
US,pf_ns,BLUEWATER (L),-3199.5652975590506,26666.060283830724,-11.99864270725865
US,pf_pm,BLUEWATER (L),0,26666.060283830724,0
US,pf_poultry,BLUEWATER (L),0,26666.060283830724,0
US,pf_poultry_tot,BLUEWATER (L),-4303.68206386876,26666.060283830724,-16.139174733953286
US,pf_redm,BLUEWATER (L),0,26666.060283830724,0
US,pf_redm_tot,BLUEWATER (L),-8089.096578063031,26666.060283830724,-30.334801961607916
US,pf_seafood,BLUEWATER (L),418.3173154175898,26666.060283830724,1.568725604626497
US,sat_fat,BLUEWATER (L),-5533.6361837867835,26666.060283830724,-20.751607567399706
US,veg_dg,BLUEWATER (L),975.8804619177096,26666.060283830724,3.6596349499346403
US,veg_oth,BLUEWATER (L),204.61587698850525,26666.060283830724,0.7673269872286925
US,veg_ro,BLUEWATER (L),3020.5490022372906,26666.060283830724,11.327316334272428
US,veg_sta,BLUEWATER (L),4534.862551611764,26666.060283830724,17.00612127679592
US,dairy_tot,Cancer (cases),10758.560465923,58280.07568440919,18.46010036805954
US,fruit_exc_juice,Cancer (cases),5001.45979474112,58280.07568440919,8.581766128486835
US,gr_whole,Cancer (cases),29263.258955636,58280.07568440919,50.21142922685732
US,leg_tot,Cancer (cases),2808.07095930982,58280.07568440919,4.818234922198329
US,pf_ns,Cancer (cases),80.8919030574992,58280.07568440919,0.1387985552653272
US,pf_pm,Cancer (cases),3983.37567018598,58280.07568440919,6.8348841750931255
US,pf_redm,Cancer (cases),2239.23645955884,58280.07568440919,3.8421989560968774
US,pf_seafood,Cancer (cases),0,58280.07568440919,0
US,sodium,Cancer (cases),0,58280.07568440919,0
US,ssb,Cancer (cases),337.809897750778,58280.07568440919,0.5796318789633064
US,veg_exc_sta,Cancer (cases),3807.41157824615,58280.07568440919,6.532955788979339
US,added_sugar,CED (mJ),-187.2160515970218,2192.143243189986,-8.540320171987792
US,dairy_cow,CED (mJ),1087.289898314381,2192.143243189986,49.59940011639782
