diet_pattern,food_group,outcome,impact_median_day,impact_median_year
Med,added_sugar,BLUEWATER (L),-10.1809571422476,-3716.049356920374
Med,added_sugar,CED (mJ),-0.513376830650809,-187.38254318754528
Med,added_sugar,Food_price ($),-0.834621761547551,-304.6369429648561
Med,added_sugar,GHG (kgCO2eq),-0.0528103771094155,-19.27578764493666
Med,added_sugar,WATER (litereq),-37.6247615209002,-13733.037955128573
Med,dairy_cow,BLUEWATER (L),14.1124901347996,5151.058899201854
Med,dairy_cow,CED (mJ),1.13797665787086,415.36148012286395
Med,dairy_cow,Food_price ($),0,0
Med,dairy_cow,GHG (kgCO2eq),0.211246552654398,77.10499171885527
Med,dairy_cow,WATER (litereq),59.1395100559622,21585.9211704262
Med,dairy_soy,BLUEWATER (L),-0.0223003609358892,-8.139631741599558
Med,dairy_soy,CED (mJ),-0.00290558660590594,-1.0605391111556681
Med,dairy_soy,Food_price ($),0,0
Med,dairy_soy,GHG (kgCO2eq),-4.4600514820292e-4,-0.1627918790940658
Med,dairy_soy,WATER (litereq),-0.0388819869008606,-14.19192521881412
Med,dairy_tot,BLUEWATER (L),0,0
Med,dairy_tot,Cancer (cases),NA,4477.11608444943
Med,dairy_tot,CED (mJ),0,0
Med,dairy_tot,CVD (deaths),NA,0
Med,dairy_tot,Food_price ($),0.243282747287528,88.79820275994771
Med,dairy_tot,GHG (kgCO2eq),0,0
Med,dairy_tot,WATER (litereq),0,0
Med,fruit_exc_juice,BLUEWATER (L),88.826344785201,32421.615846598364
Med,fruit_exc_juice,Cancer (cases),NA,7428.24472556207
Med,fruit_exc_juice,CED (mJ),1.43835137214074,524.9982508313701
Med,fruit_exc_juice,CVD (deaths),NA,58259.9601887031
Med,fruit_exc_juice,Food_price ($),2.21193279013016,807.3554683975084
Med,fruit_exc_juice,GHG (kgCO2eq),0.189076225838566,69.0128224310766
Med,fruit_exc_juice,WATER (litereq),657.118096275215,239848.10514045347
Med,fruit_juice,BLUEWATER (L),31.892341825359,11640.704766256034
Med,fruit_juice,CED (mJ),0.789877224185313,288.30518682763926
Med,fruit_juice,Food_price ($),0.219895006431877,80.26167734763511
Med,fruit_juice,GHG (kgCO2eq),0.100052993781693,36.519342730317945
Med,fruit_juice,WATER (litereq),271.553225909509,99116.92745697079
Med,gr_refined,BLUEWATER (L),-30.1116781143998,-10990.762511755927
Med,gr_refined,CED (mJ),-0.351390040941821,-128.25736494376468
Med,gr_refined,Food_price ($),-1.04360658065236,-380.9164019381114
Med,gr_refined,GHG (kgCO2eq),-0.0612588835307059,-22.359492488707655
Med,gr_refined,WATER (litereq),-94.6923472594216,-34562.706749688885
Med,gr_whole,BLUEWATER (L),26.9533786319692,9837.98320066876
Med,gr_whole,Cancer (cases),NA,29263.258955636
Med,gr_whole,CED (mJ),0.440033138853737,160.61209568161402
Med,gr_whole,CVD (deaths),NA,50128.7648128309
Med,gr_whole,Food_price ($),0.744448829642949,271.7238228196764
Med,gr_whole,GHG (kgCO2eq),0.0695509352676728,25.38609137270057
Med,gr_whole,WATER (litereq),125.224445723944,45706.92268923956
Med,leg_tot,BLUEWATER (L),3.71180690863093,1354.8095216502895
