diet_pattern,outcome,perc_change
Med,BLUEWATER (L),17.102900452438984
US,BLUEWATER (L),13.781872062678973
Veg,BLUEWATER (L),-1.8091387877219878
Vegan,BLUEWATER (L),-13.65313704251147
Med,Cancer (cases),-5.372410180874522
US,Cancer (cases),-5.7529090931390865
Veg,Cancer (cases),-8.53943019727401
Vegan,Cancer (cases),-7.477306387648618
Med,CED (mJ),55.23519987708394
US,CED (mJ),28.99329926875137
Veg,CED (mJ),-29.95140378924332
Vegan,CED (mJ),-54.96415713445544
Med,CVD (deaths),-31.60371809024609
US,CVD (deaths),-28.14981658528442
Veg,CVD (deaths),-46.14635634542726
Vegan,CVD (deaths),-46.14634831999817
Med,Food_price ($),26.68065293030251
US,Food_price ($),10.84436252433656
Veg,Food_price ($),-26.26548545707851
Vegan,Food_price ($),-37.655840449360824
Med,GHG (kgCO2eq),9.478986738158198
US,GHG (kgCO2eq),6.376648375993459
Veg,GHG (kgCO2eq),-44.52679215870646
Vegan,GHG (kgCO2eq),-67.13877284645321
Med,WATER (litereq),33.472577643724016
US,WATER (litereq),25.50990254310412
Veg,WATER (litereq),12.654793403127776
Vegan,WATER (litereq),3.5953041622124546
