diet_pattern,outcome,food_group,total_impact_current,total_LB_current,total_UB_current,total_impact_CF,total_LB_CF,total_UB_CF,perc_change,perc_change_LB,perc_change_UB
DGAplus,BLUEWATER (L),added_sugar,2896405290.77626,2844527631.14166,2947773490.62967,329485926.64842,329485926.64842,329485926.64842,-88.62431553699741,-88.4168491442574,-88.82254936833567
DGAplus,BLUEWATER (L),dairy_cow,7658985730.83772,7540453742.71948,7781051471.38758,16773752973.978,16773752973.978,16773752973.978,119.00749738233722,122.45018066947937,115.57180331807737
DGAplus,BLUEWATER (L),dairy_soy,26289359.470551,20893699.527943,31724727.6942415,0,0,0,-100,-100,-100
DGAplus,BLUEWATER (L),dairy_tot,0,0,0,0,0,0,NA,NA,NA
DGAplus,BLUEWATER (L),fruit_exc_juice,9823457803.28211,9544004717.36571,10127070737.0527,28827569623.7627,28827569623.7627,28827569623.7627,193.4564407059512,202.0489875838991,184.65851945014103
DGAplus,BLUEWATER (L),fruit_juice,5137966320.70511,4904510577.68839,5379528738.42281,0,0,0,-100,-100,-100
DGAplus,BLUEWATER (L),gr_refined,17001570800.8583,16839653056.9905,17177314580.3413,8018911696.51462,8018911696.51462,8018911696.51462,-52.8342893110218,-52.38077845561195,-53.316849039419
DGAplus,BLUEWATER (L),gr_whole,2672031047.58597,2593716892.58387,2740951500.79239,10687537475.557,10687537475.557,10687537475.557,299.9780423664085,312.05489720622654,289.92070718753354
DGAplus,BLUEWATER (L),leg_tot,1605860430.83864,1556755395.13927,1659120592.74499,5198745982.44755,5198745982.44755,5198745982.44755,223.73585416340146,233.9475166541794,213.34346672451954
DGAplus,BLUEWATER (L),oil,2307766260.87295,2281350389.6519,2334608048.82712,2261110984.6876,2261110984.6876,2261110984.6876,-2.0216638476940827,-0.8871677518764627,-3.1481543197987247
DGAplus,BLUEWATER (L),pf_egg,4603479163.93707,4459815614.52312,4757624844.29795,1788717094.17002,1788717094.17002,1788717094.17002,-61.144233948476455,-59.892577434251514,-62.4031496238336
DGAplus,BLUEWATER (L),pf_ns,9956407064.8512,9558541214.78718,10346412568.5903,14714886851.2593,14714886851.2593,14714886851.2593,47.79314219892451,53.94490143009679,42.22211567254568
DGAplus,BLUEWATER (L),pf_pm,0,0,0,0,0,0,NA,NA,NA
DGAplus,BLUEWATER (L),pf_poultry,0,0,0,0,0,0,NA,NA,NA
DGAplus,BLUEWATER (L),pf_poultry_tot,13497908963.8353,13239611367.8433,13752516932.3738,7637497474.70473,7637497474.70473,7637497474.70473,-43.41718043018562,-42.31328048453993,-44.46472953088425
DGAplus,BLUEWATER (L),pf_redm,0,0,0,0,0,0,NA,NA,NA
DGAplus,BLUEWATER (L),pf_redm_tot,25801301656.9356,25337420103.4545,26273164153.0946,5976733115.92125,5976733115.92125,5976733115.92125,-76.83553645707384,-76.41143774102565,-77.25156710819212
DGAplus,BLUEWATER (L),pf_seafood,256560585.486872,246086719.933288,266933330.679777,489044489.455099,489044489.455099,489044489.455099,90.6155961279263,98.72851716162285,83.20847689184782
DGAplus,BLUEWATER (L),sat_fat,7622575510.46131,7573617617.7014,7673986574.76642,4083489109.29219,4083489109.29219,4083489109.29219,-46.429010723633205,-46.08271350077042,-46.78790392050585
DGAplus,BLUEWATER (L),veg_dg,1700170528.11052,1630689142.47233,1763167025.10373,2536326412.90315,2536326412.90315,2536326412.90315,49.18070693307982,55.537088390602754,43.85060387310351
DGAplus,BLUEWATER (L),veg_oth,3969494480.69818,3893814770.21753,4054741737.46764,4421000496.86083,4421000496.86083,4421000496.86083,11.37439586723487,13.539055084889132,9.032850502136657
DGAplus,BLUEWATER (L),veg_ro,1633100237.01543,1598759431.02533,1663683534.19474,3511706272.05894,3511706272.05894,3511706272.05894,115.03311263225054,119.65195037547221,111.08018441492145
DGAplus,BLUEWATER (L),veg_sta,2849809843.32283,2790743033.60013,2911810382.63905,4732970065.59387,4732970065.59387,4732970065.59387,66.08020625247427,69.5953374642386,62.54389687642556
Med,BLUEWATER (L),added_sugar,2895683291.07913,2845697289.18289,2942429550.06211,316455409.775318,316455409.775318,316455409.775318,-89.07147716222153,-88.87951255468269,-89.24509816152987
Med,BLUEWATER (L),dairy_cow,7661282795.67342,7536554000.81819,7797915763.44472,11182501982.652,11182501982.652,11182501982.652,45.961221911389686,48.3768573997877,43.40372891784283
Med,BLUEWATER (L),dairy_soy,26216210.3051696,20547319.204625,31738450.3093098,0,0,0,-100,-100,-100
Med,BLUEWATER (L),dairy_tot,0,0,0,0,0,0,NA,NA,NA
Med,BLUEWATER (L),fruit_exc_juice,9829635389.66217,9552705496.09268,10132405187.9851,27674466838.8122,27674466838.8122,27674466838.8122,181.54113292866836,189.70292081266214,173.12830789305872
Med,BLUEWATER (L),fruit_juice,5137881772.05719,4883790751.9562,5380633303.82473,12190402024.7213,12190402024.7213,12190402024.7213,137.26513309472875,149.60942521623068,126.56072875391757
Med,BLUEWATER (L),gr_refined,17005613835.8053,16824485504.0395,17187270422.8964,9622694035.81754,9622694035.81754,9622694035.81754,-43.414603384930636,-42.80541872435169,-44.01266868415327
Med,BLUEWATER (L),gr_whole,2669876113.95541,2594268901.06901,2746615106.53982,9160746407.62033,9160746407.62033,9160746407.62033,243.11503667669152,253.11476014862993,233.52858162791583
Med,BLUEWATER (L),leg_tot,1607091965.89104,1553673890.7871,1658488490.86193,2733055030.77242,2733055030.77242,2733055030.77242,70.06214260159642,75.9091819061102,64.79192022321656
Med,BLUEWATER (L),oil,2309128680.68664,2283298193.21953,2335557707.59089,2261110984.6876,2261110984.6876,2261110984.6876,-2.0794725040945385,-0.971717518010437,-3.18753515108308
Med,BLUEWATER (L),pf_egg,4610416527.26707,4459266409.43227,4750956596.9845505,3434336820.80644,3434336820.80644,3434336820.80644,-25.50918554766196,-22.98426455207727,-27.71273004290913
Med,BLUEWATER (L),pf_ns,9951593896.04567,9547087399.56777,10342998085.327,9270378716.29334,9270378716.29334,9270378716.29334,-6.845287165737482,-2.898357076808126,-10.370487939617052
Med,BLUEWATER (L),pf_pm,0,0,0,0,0,0,NA,NA,NA
Med,BLUEWATER (L),pf_poultry,0,0,0,0,0,0,NA,NA,NA
Med,BLUEWATER (L),pf_poultry_tot,13498883007.3282,13238450817.1696,13752946380.5193,11150746313.0689,11150746313.0689,11150746313.0689,-17.39504441207881,-15.770006120301128,-18.921036957843096
Med,BLUEWATER (L),pf_redm,0,0,0,0,0,0,NA,NA,NA
Med,BLUEWATER (L),pf_redm_tot,25817610408.5803,25360048059.0898,26301183004.2505,21157635230.3612,21157635230.3612,21157635230.3612,-18.049599108794325,-16.57099710117597,-19.556336203805202
Med,BLUEWATER (L),pf_seafood,256649792.442468,246027328.029594,267009189.992847,1046555207.43391,1046555207.43391,1046555207.43391,307.77559080571297,325.38169065024454,291.95475161807974
Med,BLUEWATER (L),sat_fat,7622017525.23111,7569128882.13222,7673690228.10109,3918855999.05435,3918855999.05435,3918855999.05435,-48.58505656695502,-48.225799030780806,-48.93127188398248
Med,BLUEWATER (L),veg_dg,1698279064.04091,1630484983.72011,1761132724.06288,2536326412.90315,2536326412.90315,2536326412.90315,49.346857451576774,55.55656373579565,44.0167670640928
Med,BLUEWATER (L),veg_oth,3973138504.01142,3882771216.40337,4054609770.82327,4421000496.86083,4421000496.86083,4421000496.86083,11.272247176815844,13.861988009585197,9.036399228208996
Med,BLUEWATER (L),veg_ro,1632289434.87107,1598112820.90384,1665344537.2473,3511706272.05894,3511706272.05894,3511706272.05894,115.13992537336493,119.7408234340323,110.86965450786232
Med,BLUEWATER (L),veg_sta,2848399435.49702,2789793309.08276,2906804584.25682,4732970065.59387,4732970065.59387,4732970065.59387,66.16244219863111,69.65307251202765,62.823813173665535
US,BLUEWATER (L),added_sugar,2896664036.18153,2847325605.6724,2943942771.47773,316455409.775318,316455409.775318,316455409.775318,-89.07517731353894,-88.88587209187175,-89.25062630832082
US,BLUEWATER (L),dairy_cow,7662055645.69659,7545510681.30478,7788117815.6594105,16773752973.978,16773752973.978,16773752973.978,118.91974881961363,122.30109640607468,115.37620990082296
US,BLUEWATER (L),dairy_soy,26158753.7100751,20517739.2731878,32212376.6943232,0,0,0,-100,-100,-100
US,BLUEWATER (L),dairy_tot,0,0,0,0,0,0,NA,NA,NA
US,BLUEWATER (L),fruit_exc_juice,9830834322.74023,9530845015.11038,10123927652.2581,22197228610.2973,22197228610.2973,22197228610.2973,125.79191024460353,132.89885183428538,119.25510901242265
US,BLUEWATER (L),fruit_juice,5126846079.4386,4902960651.44727,5381354200.06386,9668249881.67551,9668249881.67551,9668249881.67551,88.58084935396,97.19207574757117,79.6620241343857
US,BLUEWATER (L),gr_refined,17001057943.2505,16820446545.1296,17185776908.3105,9622694035.81754,9622694035.81754,9622694035.81754,-43.39943979993437,-42.791685048315124,-44.00780315515264
