diet_pattern,outcome,perc_change,perc_change_UB,perc_change_LB,perc_change_UB_new,perc_change_LB_new
DGAplus,BLUEWATER (L),0.800145294692076,-1.337476809313892,2.9838520689416015,-1.337476809313892,2.9838520689416015
Med,BLUEWATER (L),15.919031756509646,13.446722931030536,18.49894951156417,13.446722931030536,18.49894951156417
US,BLUEWATER (L),13.53215793154646,11.177246281772328,16.029141344793704,11.177246281772328,16.029141344793704
Veg,BLUEWATER (L),-3.244022587729839,-5.2399938648628925,-1.1541622838393177,-1.1541622838393177,-5.2399938648628925
Vegan,BLUEWATER (L),-15.840485674589916,-17.64202803587804,-13.980802733658798,-13.980802733658798,-17.64202803587804
DGAplus,CED (MJ),8.70138659397881,6.328276274753955,11.17182006022959,6.328276274753955,11.17182006022959
Med,CED (MJ),59.826404266974976,56.28036652323583,63.54939094132526,56.28036652323583,63.54939094132526
US,CED (MJ),32.86116385313555,29.86415670068372,35.90151425353049,29.86415670068372,35.90151425353049
Veg,CED (MJ),-29.44335939287947,-30.963678448867455,-27.813943487151114,-27.813943487151114,-30.963678448867455
Vegan,CED (MJ),-56.11289555221553,-57.133367840303585,-55.10541969638631,-55.10541969638631,-57.133367840303585
DGAplus,CVD (deaths),-49.21189807064484,-50.67201143599666,-47.699850438978274,-47.699850438978274,-50.67201143599666
Med,CVD (deaths),-33.82127592366588,-35.16175116228813,-32.58756819018741,-32.58756819018741,-35.16175116228813
US,CVD (deaths),-31.288580159334,-32.614697745004136,-30.046319868722975,-30.046319868722975,-32.614697745004136
Veg,CVD (deaths),-45.551545386709904,-46.94722098238022,-44.106264922728414,-44.106264922728414,-46.94722098238022
Vegan,CVD (deaths),-45.55152967135287,-46.947220809831094,-44.106256237660105,-44.106256237660105,-46.947220809831094
DGAplus,Cancer (cases),-7.959142882294036,-8.274927796070802,-7.675993964676747,-7.675993964676747,-8.274927796070802
Med,Cancer (cases),-5.538219683287113,-5.8390808504158755,-5.263819620394186,-5.263819620394186,-5.8390808504158755
US,Cancer (cases),-5.7934395536365795,-6.081257874742559,-5.5410328521766274,-5.5410328521766274,-6.081257874742559
Veg,Cancer (cases),-8.191594347770296,-8.502334536559342,-7.8999449137098585,-7.8999449137098585,-8.502334536559342
Vegan,Cancer (cases),-7.434882043527481,-7.751586443152264,-7.128161773635984,-7.128161773635984,-7.751586443152264
DGAplus,FL (mrh-eq),1.9324361918208652,-0.35360480465666,4.320410181313382,-0.35360480465666,4.320410181313382
Med,FL (mrh-eq),36.604264721046405,33.48829990420427,39.87404709697661,33.48829990420427,39.87404709697661
US,FL (mrh-eq),24.345472466886772,21.535913165044477,27.250794031172653,21.535913165044477,27.250794031172653
Veg,FL (mrh-eq),-11.800323745722482,-13.745389248238785,-9.730589336094395,-9.730589336094395,-13.745389248238785
Vegan,FL (mrh-eq),-7.191561469962163,-9.33850459240793,-5.000984977130767,-5.000984977130767,-9.33850459240793
DGAplus,Food_price (USD),4.412087888922425,1.8276883185708654,7.0997769904492305,1.8276883185708654,7.0997769904492305
Med,Food_price (USD),34.67462842063056,31.32184522654992,38.113672638767646,31.32184522654992,38.113672638767646
US,Food_price (USD),18.246040115220772,15.330659680082157,21.289965168994787,15.330659680082157,21.289965168994787
Veg,Food_price (USD),-19.95601067738765,-21.887537720852787,-17.90605811382366,-17.90605811382366,-21.887537720852787
Vegan,Food_price (USD),-31.671700602369825,-33.363042097344085,-29.930462645886895,-29.930462645886895,-33.363042097344085
DGAplus,GHG (kgCO2-eq),-25.340829043580648,-26.74553834510428,-23.911664750448985,-23.911664750448985,-26.74553834510428
Med,GHG (kgCO2-eq),10.10190744638327,8.007630967675627,12.244701056662608,8.007630967675627,12.244701056662608
US,GHG (kgCO2-eq),7.635688547923683,5.66216697144771,9.71336869419809,5.66216697144771,9.71336869419809
Veg,GHG (kgCO2-eq),-44.86499847110236,-45.8762324675296,-43.80493612063739,-43.80493612063739,-45.8762324675296
Vegan,GHG (kgCO2-eq),-68.32771022293697,-68.92754638933434,-67.70537318449215,-67.70537318449215,-68.92754638933434
DGAplus,WATER (L-eq),11.64153201327633,9.018463963910344,14.338977236014482,9.018463963910344,14.338977236014482
Med,WATER (L-eq),32.81539708609709,29.691481015897015,36.11600216587221,29.691481015897015,36.11600216587221
US,WATER (L-eq),25.87340945815097,22.935839444528007,28.915096871759193,22.935839444528007,28.915096871759193
Veg,WATER (L-eq),11.74633512943997,9.185243019325071,14.4267167615417,9.185243019325071,14.4267167615417
Vegan,WATER (L-eq),1.9087706964962832,-0.48974161927945936,4.386391604851387,-0.48974161927945936,4.386391604851387
