outcome,impact_median_10perc_Med,impact_LB_10perc_Med,impact_UB_10perc_Med,impact_median_10perc_DGAplus,impact_median_10perc_US,impact_LB_10perc_DGAplus,impact_LB_10perc_US,impact_UB_10perc_DGAplus,impact_UB_10perc_US,impact_median_10perc_Veg,impact_LB_10perc_Veg,impact_UB_10perc_Veg,impact_median_10perc_Vegan,impact_LB_10perc_Vegan,impact_UB_10perc_Vegan
BLUEWATER (L),343308619007.1264,303978615051.2627,382587420881.21686,-344117626479.02844,299708836604.02606,-386224527918.2539,260884330134.15036,-307165169915.9704,339436761780.7316,-459653570200.1994,-497693321752.6777,-416660073769.503,-1004019904952.8148,-1042357674851.1259,-965339537298.942
Cancer (cases),5561.074247964332,4840.301421345863,6317.918605919036,8459.57591605782,5946.05569063718,7467.381582807289,5237.255253218657,9477.037071133816,6689.804720526765,8765.628397020904,7750.791951983335,9821.77517415083,7681.433522204618,6748.697847773418,8662.204260203001
CED (MJ),91773398292.36511,89581048639.8241,94095721154.05994,3402586262.5514736,46221763661.00052,1081488453.3634639,43814359536.60534,5726777002.748559,48523060739.03415,-61623400886.681244,-64211379667.513145,-59377100727.661125,-107008311735.57005,-109411015415.17763,-104631833476.88872
CVD (deaths),25348.49939662082,22112.74713602138,28821.755017728643,40241.32779011746,22770.966279068467,35761.667712658294,19774.733496937904,44856.34323946454,25976.136782071622,36228.794947662114,32017.99149158643,40495.32147765779,36228.79012514177,32017.991491387067,40495.32133584412
FL (mrh-eq),1482022992.4739738,1433803280.2491338,1532980831.5205336,-280340121.36894596,917380207.0743445,-331087423.7897226,868837004.3200985,-234569581.9994204,967133978.5231254,-873890439.4019425,-923890853.1775885,-824805758.1649266,-599241113.2340772,-648765269.8789073,-548251359.4448951
Food_price (USD),42378903945.11135,40725399322.89128,43903437307.02745,-3935200023.886039,17363033210.548775,-5741837853.016277,15770684493.949377,-2203798183.895246,19088026577.40229,-41041509876.96802,-42842696639.46595,-39378175994.21761,-59052377667.94075,-60780674585.41257,-57334457530.23074
GHG (kgCO2-eq),2395337063.6932697,1917400534.3707175,2869737671.865811,-10780748536.659222,1582218937.8480825,-11272702384.142223,1130651261.529727,-10339342202.387629,2071261327.9908736,-17916409560.256924,-18399270693.901176,-17434371427.94637,-26520382225.633873,-27004312512.897903,-26009978099.239216
WATER (L-eq),4730884011655.45,4507173238232.182,4953145793290.342,-52373608856.5242,3664452597124.9087,-286392125294.9961,3445569120984.962,157697025867.81873,3877559590866.7837,483578174267.6541,257250914693.47583,715145939304.7373,-1646972161254.1418,-1872775962328.2654,-1419068049062.652
