subgroup_id,type,CancerSites,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
22,Incidence,Esophagus,2013,Male,Age_5564,Hispanic,176,1713053,10.274,1.13
23,Incidence,Esophagus,2013,Female,Age_5564,Other,0,0,0,0
24,Incidence,Esophagus,2013,Male,Age_5564,Other,61,852728,7.154,1.311
25,Incidence,Esophagus,2013,Female,Age_over65,Non-hispanic White,1814,19500000,9.283,0.502
26,Incidence,Esophagus,2013,Male,Age_over65,Non-hispanic White,6312,15600000,40.55,1.166
27,Incidence,Esophagus,2013,Female,Age_over65,Non-hispanic Black,221,2329909,9.485,1.476
28,Incidence,Esophagus,2013,Male,Age_over65,Non-hispanic Black,501,1542829,32.473,3.231
29,Incidence,Esophagus,2013,Female,Age_over65,Hispanic,80,1603518,4.989,1.238
30,Incidence,Esophagus,2013,Male,Age_over65,Hispanic,319,1354832,23.545,3.091
31,Incidence,Esophagus,2013,Female,Age_over65,Other,0,22029,0,0
32,Incidence,Esophagus,2013,Male,Age_over65,Other,130,785711,16.546,3.475
1,Incidence,Lung and Bronchus,2013,Female,Age_2044,Non-hispanic White,975,30600000,3.191,0.227
2,Incidence,Lung and Bronchus,2013,Male,Age_2044,Non-hispanic White,839,24600000,3.412,0.234
3,Incidence,Lung and Bronchus,2013,Female,Age_2044,Non-hispanic Black,175,4213789,4.153,0.546
4,Incidence,Lung and Bronchus,2013,Male,Age_2044,Non-hispanic Black,162,3782094,4.283,0.586
5,Incidence,Lung and Bronchus,2013,Female,Age_2044,Hispanic,102,5938136,1.718,0.317
6,Incidence,Lung and Bronchus,2013,Male,Age_2044,Hispanic,95,4307444,2.205,0.352
7,Incidence,Lung and Bronchus,2013,Female,Age_2044,Other,78,1626777,4.795,0.796
8,Incidence,Lung and Bronchus,2013,Male,Age_2044,Other,44,879151,5.005,0.866
9,Incidence,Lung and Bronchus,2013,Female,Age_4554,Non-hispanic White,6366,14700000,43.217,0.757
10,Incidence,Lung and Bronchus,2013,Male,Age_4554,Non-hispanic White,6037,14500000,41.526,0.746
11,Incidence,Lung and Bronchus,2013,Female,Age_4554,Non-hispanic Black,1186,2885488,41.102,1.682
12,Incidence,Lung and Bronchus,2013,Male,Age_4554,Non-hispanic Black,1268,2549908,49.727,1.971
13,Incidence,Lung and Bronchus,2013,Female,Age_4554,Hispanic,375,2783977,13.47,1.372
14,Incidence,Lung and Bronchus,2013,Male,Age_4554,Hispanic,341,2769496,12.313,0.962
15,Incidence,Lung and Bronchus,2013,Female,Age_4554,Other,302,1439250,20.983,2.738
16,Incidence,Lung and Bronchus,2013,Male,Age_4554,Other,281,1195835,23.498,2.737
17,Incidence,Lung and Bronchus,2013,Female,Age_5564,Non-hispanic White,16465,14700000,112.301,1.244
18,Incidence,Lung and Bronchus,2013,Male,Age_5564,Non-hispanic White,19489,14000000,139.365,1.422
19,Incidence,Lung and Bronchus,2013,Female,Age_5564,Non-hispanic Black,2649,2394848,110.612,3.068
20,Incidence,Lung and Bronchus,2013,Male,Age_5564,Non-hispanic Black,3704,2000803,185.126,4.359
21,Incidence,Lung and Bronchus,2013,Female,Age_5564,Hispanic,849,1889308,44.937,3.22
22,Incidence,Lung and Bronchus,2013,Male,Age_5564,Hispanic,1056,1746075,60.479,3.932
23,Incidence,Lung and Bronchus,2013,Female,Age_5564,Other,641,1178370,54.397,4.957
24,Incidence,Lung and Bronchus,2013,Male,Age_5564,Other,782,987955,79.153,6.223
25,Incidence,Lung and Bronchus,2013,Female,Age_over65,Non-hispanic White,57763,19500000,295.612,2.798
26,Incidence,Lung and Bronchus,2013,Male,Age_over65,Non-hispanic White,62487,15600000,401.433,3.734
27,Incidence,Lung and Bronchus,2013,Female,Age_over65,Non-hispanic Black,5633,2329909,241.769,7.297
