diet_pattern,food_group,mean_perc_diff
Med,added_sugar,-88.24691775931723
Med,dairy_cow,68.33245032039214
Med,fruit_exc_juice,168.76942800788737
Med,fruit_juice,180.7965634945393
Med,gr_refined,-44.797660542432254
Med,gr_whole,253.953885750765
Med,leg_tot,69.41814976295994
Med,oil,-1.9304456464490387
Med,pf_egg,-22.262349478911446
Med,pf_ns,8.085275546811234
Med,pf_poultry_tot,-17.80056491942697
Med,pf_redm_tot,-14.974025837839582
Med,pf_seafood,213.49905948806133
Med,sat_fat,-46.080688775008056
Med,veg_dg,45.29977952541227
Med,veg_oth,5.592009891188521
Med,veg_ro,122.94032980154645
Med,veg_sta,68.01682358921704
US,added_sugar,-88.24294236005379
US,dairy_cow,152.5502066179133
US,fruit_exc_juice,115.6964555226019
US,fruit_juice,123.23222171219501
US,gr_refined,-44.812466619815595
US,gr_whole,254.15392191977654
US,leg_tot,69.5794034404894
US,oil,-1.931837244695459
US,pf_egg,-22.247173851488387
US,pf_ns,7.851131266631867
US,pf_poultry_tot,-17.735052278091523
US,pf_redm_tot,-14.911740161147144
US,pf_seafood,67.00521464793994
US,sat_fat,-46.079636717669814
US,veg_dg,45.17734169560229
US,veg_oth,5.52110862178143
US,veg_ro,122.88247158640242
US,veg_sta,68.21674434931542
Veg,added_sugar,-87.76952225114077
Veg,dairy_cow,152.56586085025447
Veg,fruit_exc_juice,116.00979889355568
Veg,fruit_juice,122.86739477923508
Veg,gr_refined,-44.802621892065886
Veg,gr_whole,312.9913101331878
Veg,leg_tot,426.29472742957137
Veg,oil,-1.9066829612144525
Veg,pf_egg,-30.40823058341603
Veg,pf_ns,71.22877139303306
Veg,pf_poultry_tot,-100
Veg,pf_redm_tot,-100
Veg,pf_seafood,-100
Veg,sat_fat,-43.80079985927786
Veg,veg_dg,45.17388677970561
Veg,veg_oth,5.446038059347708
Veg,veg_ro,122.97976565729857
Veg,veg_sta,68.30219568116462
Vegan,added_sugar,-87.76026674116828
Vegan,dairy_cow,-100
Vegan,fruit_exc_juice,115.76415826071161
Vegan,fruit_juice,123.32048315526175
Vegan,gr_refined,-44.77330432745043
Vegan,gr_whole,312.9321263751715
Vegan,leg_tot,476.58240520174826
Vegan,oil,-1.8531481016654368
Vegan,pf_egg,-100
Vegan,pf_ns,95.30781411288866
Vegan,pf_poultry_tot,-100
Vegan,pf_redm_tot,-100
Vegan,pf_seafood,-100
Vegan,sat_fat,-43.81682868187649
Vegan,veg_dg,45.05422236584003
Vegan,veg_oth,5.4277095571616645
Vegan,veg_ro,122.88200287212055
Vegan,veg_sta,68.35917989823103
