subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,Food_desc,pro_gro
18,fruit_exc_juice,201,0.68,0.08,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.810061299508555
19,fruit_exc_juice,236,0.75,0.06,0.6,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8830956119731742
20,fruit_exc_juice,138,0.81,0.08,0.63,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8630052650720803
21,fruit_exc_juice,234,0.56,0.05,0.47,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.821898670697877
22,fruit_exc_juice,161,0.62,0.07,0.51,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.7998103466935106
23,fruit_exc_juice,198,0.82,0.06,0.63,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8314312446276598
24,fruit_exc_juice,162,0.9,0.12,0.69,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8448643937758128
25,fruit_exc_juice,269,0.57,0.05,0.48,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8362429058339719
26,fruit_exc_juice,243,0.72,0.05,0.58,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8423802048473986
27,fruit_exc_juice,297,0.71,0.06,0.56,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8991350353302133
28,fruit_exc_juice,136,0.81,0.08,0.64,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8753998718606579
29,fruit_exc_juice,291,0.54,0.05,0.45,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8890052753199209
30,fruit_exc_juice,238,0.67,0.08,0.54,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8326990336933097
31,fruit_exc_juice,263,0.79,0.07,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.835601866514857
32,fruit_exc_juice,132,1.03,0.17,0.77,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.892291755391593
33,fruit_exc_juice,249,0.62,0.04,0.51,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8959447688602592
34,fruit_exc_juice,134,0.59,0.06,0.49,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8900687043067141
35,fruit_exc_juice,203,0.77,0.06,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.9107957774418152
36,fruit_exc_juice,89,1.04,0.08,0.79,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.9178069402957966
37,fruit_exc_juice,286,0.75,0.06,0.6,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8812684593290996
38,fruit_exc_juice,158,0.76,0.08,0.61,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.892232299961062
39,fruit_exc_juice,184,0.95,0.1,0.72,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.9135839359825276
40,fruit_exc_juice,84,0.86,0.1,0.66,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.905850520546756
41,fruit_exc_juice,310,0.67,0.04,0.54,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8902154202315754
42,fruit_exc_juice,95,0.83,0.08,0.64,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8151292584097979
43,fruit_exc_juice,85,0.78,0.1,0.62,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8562162689308452
44,fruit_exc_juice,44,0.78,0.1,0.64,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8520275194818577
45,fruit_exc_juice,334,0.72,0.05,0.58,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.862431824355802
46,fruit_exc_juice,82,0.68,0.08,0.55,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.9257317742419556
47,fruit_exc_juice,58,0.61,0.1,0.5,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.960712738002738
48,fruit_exc_juice,36,0.71,0.11,0.56,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)",0.8443097191316313
1,fruit_juice,381,0.2,0.03,0.29,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7501230988505475
2,fruit_juice,282,0.33,0.04,0.46,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7451549242113172
3,fruit_juice,337,0.28,0.03,0.4,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.644414853544888
4,fruit_juice,234,0.27,0.04,0.4,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7388998383787342
5,fruit_juice,354,0.26,0.03,0.37,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7758048821223531
6,fruit_juice,240,0.29,0.04,0.41,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.5406966957444784
7,fruit_juice,290,0.37,0.04,0.51,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7002795347721403
8,fruit_juice,235,0.26,0.05,0.38,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7885244034107042
9,fruit_juice,237,0.14,0.02,0.21,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.7999520091491739
10,fruit_juice,199,0.32,0.06,0.45,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.6983567032083468
11,fruit_juice,252,0.25,0.03,0.34,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.8384357148107567
12,fruit_juice,141,0.21,0.04,0.31,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)",0.9477100928942108
