subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,Food_desc,pro_gro
13,dairy_soy,215,0.03,0.02,0.15,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9801553863141318
14,dairy_soy,155,0.11,0.06,0.52,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
15,dairy_soy,198,0.02,0.01,0.08,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
16,dairy_soy,134,0.02,0.02,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9507699829360068
17,dairy_soy,245,0.06,0.03,0.26,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
18,dairy_soy,201,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),NA
19,dairy_soy,236,0.03,0.02,0.14,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
20,dairy_soy,138,0.06,0.03,0.27,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
21,dairy_soy,234,0.06,0.03,0.27,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
22,dairy_soy,161,0.06,0.04,0.27,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9242080525008788
23,dairy_soy,198,0.08,0.04,0.35,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
24,dairy_soy,162,0.04,0.02,0.2,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
25,dairy_soy,269,0.03,0.02,0.13,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
26,dairy_soy,243,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.9409732630539156
27,dairy_soy,297,0.07,0.04,0.29,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
28,dairy_soy,136,0.03,0.02,0.15,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.6345016289966521
29,dairy_soy,291,0.05,0.02,0.23,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
30,dairy_soy,238,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),NA
31,dairy_soy,263,0.05,0.03,0.24,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
32,dairy_soy,132,0.04,0.02,0.19,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
33,dairy_soy,249,0.03,0.02,0.13,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
34,dairy_soy,134,0.07,0.04,0.31,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
35,dairy_soy,203,0.03,0.01,0.14,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
36,dairy_soy,89,0.04,0.02,0.17,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0
37,dairy_soy,286,0.06,0.03,0.3,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
38,dairy_soy,158,0.03,0.02,0.16,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
39,dairy_soy,184,0.03,0.02,0.14,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
40,dairy_soy,84,0.03,0.02,0.16,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),0.8540832202145776
41,dairy_soy,310,0.07,0.03,0.31,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
42,dairy_soy,95,0.06,0.03,0.27,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
43,dairy_soy,85,0.03,0.02,0.16,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
44,dairy_soy,44,0.04,0.02,0.19,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
45,dairy_soy,334,0.05,0.03,0.22,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
46,dairy_soy,82,0.01,0,0.03,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),1
47,dairy_soy,58,0.02,0.01,0.1,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),NA
48,dairy_soy,36,0.02,0.01,0.11,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.),NA
1,dairy_tot,381,1.51,0.05,0.59,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6431143673123824
2,dairy_tot,282,1.16,0.06,0.5,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.562828494035791
3,dairy_tot,337,1.35,0.06,0.56,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6248192265239476
4,dairy_tot,234,1.17,0.09,0.51,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5944610922257814
5,dairy_tot,354,1.59,0.06,0.62,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6155698953143811
6,dairy_tot,240,1.26,0.07,0.53,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5585381336554504
7,dairy_tot,290,1.45,0.07,0.59,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5670754746155944
8,dairy_tot,235,1.31,0.05,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5502676505733816
9,dairy_tot,237,1.48,0.06,0.6,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.731811810389196
10,dairy_tot,199,1.1,0.06,0.48,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.5674688054394768
11,dairy_tot,252,1.35,0.05,0.55,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6988398416001262
12,dairy_tot,141,1.29,0.08,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.72607437890726
13,dairy_tot,215,1.55,0.13,0.61,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6697947860716846
14,dairy_tot,155,1.06,0.07,0.47,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.4737281195550383
15,dairy_tot,198,1.3,0.08,0.54,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6194544089553502
16,dairy_tot,134,1.18,0.08,0.5,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.7160965492791288
17,dairy_tot,245,1.5,0.09,0.59,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6893751442934706
18,dairy_tot,201,1.04,0.07,0.47,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)",0.6388576420073485
