Diet_var,Diet_label,mean_100g_FAH,mean_100g_FAFH,ratio_FAFH_FAH
dairy,Dairy,0.33697115,0.695497112,2.06396634
pf_redm,Red meat,0.732557507,3.687731867,5.034051022
pf_poultry,Poultry,0.436600787,2.459189174,5.63258072
pf_pm,Processed meat,0.563104875,2.037958875,3.619146209
pf_seafood,Seafood,0.844723998,4.194399189,4.96540787
pf_egg,Eggs,0.238667141,2.270748118,9.51428884
leg_tot,Legumes (including soy),0.53611821,0.885586736,1.651849759
pf_ns,Nuts and seeds,0.851932312,1.486395732,1.744734543
gr_total,All grains (including refined and whole),0.530863709,1.079663613,2.033786817
gr_whole,Whole grains,0.530863709,1.079663613,2.033786817
gr_refined,Refined grains,0.530863709,1.079663613,2.033786817
sat_fat,Saturated fats,0.52781075,0.146660022,0.277864787
oil,Oils,0.429672054,0.132593178,0.308591579
added_sugar,Added sugars,0.736190979,1.418813906,1.927236201
ssb,Sugar sweetened beverages,0.523965725,0.183345913,0.34991967
fruit_exc_juice,Fruit excluding juice,0.392568418,0.449734666,1.14562111
fruit_juice,Fruit juice,0.210664736,0.187452696,0.889815256
veg_sta,Starchy vegetables,0.634744551,0.479794299,0.755885653
veg_dg,Dark-green vegetables,0.40009246,0.418694305,1.046493864
veg_ro,Red and orange vegetables,0.283779769,0.337315293,1.188651662
veg_oth,Other vegetables,0.3823159,0.767741668,2.008134289
other,Everything else,0.520381284,1.116046596,2.144670898
total,Total,4.433476586,7.696592984,1.73601751
