Food_group,Var_label
added_sugar,Added sugars
dairy,Dairy
fruit,Fruits
gr_refined,Refined Grains
gr_whole,Whole Grains
oil,Oils
pf_egg,Eggs
pf_leg,"Beans, Peas, Lentils (protein)"
pf_ns,Nuts and seeds
pf_pm,Processed meat
pf_poultry,Poultry
pf_redm,Red meat
pf_seafood,Seafood
pf_soy,Soy foods
sat_fat,Saturated fats
veg_dg,Dark-Green Vegetables
veg_leg,"Beans, Peas, Lentils (vegetables)"
veg_oth,Other Vegetables
veg_ro,Red and Orange Vegetables
veg_sta,Starchy Vegetables
veg_exc_sta,Vegetables excluding starchy
leg_tot,"Beans, Peas, Lentils (TOTAL)"
fruit_exc_juice,Fruit excluding juice
fruit_juice,Fruit juice
ssb,Sugar sweetened beverages
sea_omega3_fa,Seafood omega-3 fats
sodium,Sodium
fiber,Fiber
pf_animal,Animal-protein foods
pf_plant,Plant-protein foods
pufa_rep_carb,PUFA replace carbs
pufa_rep_sfa,PUFA replace sfa
pufa_rep_carbsfa,PUFA replace carbs or sfa
babyfood,Baby food
coffee_tea,Coffee and tea
other,Other
water,Water
