Food_group,Var_label,Var_desc
added_sugar,Added sugars,Foods defined as added sugars (tsp. eq.) 
dairy,Dairy,"Total milk, yogurt, cheese, and whey (cup ep.)"
fruit,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.) 
gr_refined,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.) 
gr_whole,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.) "
oil,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)"
pf_egg,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.) "
pf_leg,"Beans, peas, lentils (protein)",Beans and Peas (legumes) computed as protein foods (oz. eq.) 
pf_ns,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.) "
pf_pm,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.) "
pf_poultry,Poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.) "
pf_redm,Red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.) "
pf_seafood,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.) "
pf_soy,Soy foods,"Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.) "
sat_fat,Saturated fats,Total saturated fatty acids (gm)
veg_dg,Dark-green vegetables,Dark green vegetables (cup eq.) 
veg_leg,"Beans, peas, lentils (vegetables)","Beans, peas, and lentils  (legumes) computed as vegetables (cup eq.) "
veg_oth,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.)
veg_ro,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"
veg_sta,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)
veg_exc_sta,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.) "
leg_tot,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.) "
fruit_exc_juice,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.) "
fruit_juice,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.) "
ssb,Sugar sweetened beverages,Sugar sweetened beverages (gm)
sea_omega3_fa,Seafood omega-3 fats,PFA 20:5 (Eicosapentaenoic) (gm); PFA 22:6 (Docosahexaenoic) (gm)
sodium,Sodium,Sodium (mg)
fiber,Fiber,Dietary fiber (gm)
pf_animal,Animal-protein foods,"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.); Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.) "
pf_plant,Plant-protein foods,"Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.); Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
pufa_energy,PUFA as percent of total energy intake,Total polyunsaturated fatty acids (%E)
sfat_energy,Saturated fat as percent of total energy intake,Total saturated fatty acids (%E)
babyfood,Baby food,Baby food
coffee_tea,Coffee and tea,
other,Other,Other
water,Water,Water
