food,subgroup,N,mean,SE,StdDev
added_sugar,0,9759,15.7,0.28,8.37
dairy_cow,0,9759,1.38,0.02,0.62
dairy_soy,0,9759,0.04,0.02,0.2
dairy_tot,0,9759,1.39,0.02,0.62
fruit_exc_juice,0,9759,0.68,0.02,0.54
fruit_juice,0,9759,0.23,0.01,0.32
fruit_tot,0,9759,0.9,0.03,0.66
gr_refined,0,9759,5.23,0.05,1.66
gr_whole,0,9759,0.87,0.03,0.59
leg_tot,0,9759,0.53,0.03,0.52
oil,0,9759,27.73,0.41,8.98
pf_egg,0,9759,0.64,0.02,0.6
pf_ns,0,9759,0.67,0.04,0.72
pf_pm,0,9759,0.94,0.03,0.57
pf_poultry,0,9759,1.53,0.05,0.78
pf_redm,0,9759,1.45,0.04,0.7
pf_redm_tot,0,9759,2.17,0.05,0.97
pf_seafood,0,9759,0.52,0.03,0.55
pf_poultry_tot,0,9759,1.79,0.05,0.85
sat_fat,0,9759,26.03,0.19,5.65
sodium,0,9759,3471.5,46.98,959.1
ssb,0,9759,299.82,12.16,262.3
veg_dg,0,9759,0.15,0.01,0.17
veg_exc_sta,0,9759,1.06,0.03,0.52
veg_oth,0,9759,0.51,0.01,0.25
veg_ro,0,9759,0.36,0.01,0.15
veg_sta,0,9759,0.43,0.01,0.2
