subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
7,Mortality,Larynx,2015,Male,Age_2044,Hispanic,1,11306346,0.00884459,0.1
8,Mortality,Larynx,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Larynx,2015,Female,Age_4554,Non-hispanic White,57,14238423,0.400325233,0.1
10,Mortality,Larynx,2015,Female,Age_4554,Non-hispanic Black,6,2860342,0.209765126,0.2
11,Mortality,Larynx,2015,Female,Age_4554,Hispanic,5,3213000,0.155617803,0.1
12,Mortality,Larynx,2015,Female,Age_4554,Other,1,1529112,0.065397433,0.2
13,Mortality,Larynx,2015,Male,Age_4554,Non-hispanic White,190,14096551,1.347847427,0.161047523
14,Mortality,Larynx,2015,Male,Age_4554,Non-hispanic Black,41,2528856,1.621286463,0.318124804
15,Mortality,Larynx,2015,Male,Age_4554,Hispanic,22,3272152,0.672340405,0.251202207
16,Mortality,Larynx,2015,Male,Age_4554,Other,4,1352454,0.295758673,0.718502144
17,Mortality,Larynx,2015,Female,Age_5564,Non-hispanic White,158,15111568,1.045556623,0.1
18,Mortality,Larynx,2015,Female,Age_5564,Non-hispanic Black,32,2546832,1.256462931,0.348811575
19,Mortality,Larynx,2015,Female,Age_5564,Hispanic,6,2198328,0.272934703,0.163920114
20,Mortality,Larynx,2015,Female,Age_5564,Other,2,1272047,0.157226895,0.2
21,Mortality,Larynx,2015,Male,Age_5564,Non-hispanic White,579,14415002,4.016648766,0.252253658
22,Mortality,Larynx,2015,Male,Age_5564,Non-hispanic Black,173,2137700,8.092810029,0.844798489
23,Mortality,Larynx,2015,Male,Age_5564,Hispanic,51,2058899,2.477052055,0.544496227
24,Mortality,Larynx,2015,Male,Age_5564,Other,15,1066033,1.407085897,0.737656226
25,Mortality,Larynx,2015,Female,Age_over65,Non-hispanic White,415,20639658,2.010692231,0.251069929
26,Mortality,Larynx,2015,Female,Age_over65,Non-hispanic Black,66,2552333,2.585869477,0.714346051
27,Mortality,Larynx,2015,Female,Age_over65,Hispanic,12,2132451,0.562732743,0.493390332
28,Mortality,Larynx,2015,Female,Age_over65,Other,10,1339138,0.746749028,1.027524761
29,Mortality,Larynx,2015,Male,Age_over65,Non-hispanic White,1410,16705087,8.440542692,0.526048383
30,Mortality,Larynx,2015,Male,Age_over65,Non-hispanic Black,279,1714280,16.27505425,2.273542301
31,Mortality,Larynx,2015,Male,Age_over65,Hispanic,132,1619259,8.151876877,3.131010921
32,Mortality,Larynx,2015,Male,Age_over65,Other,49,1032086,4.747666377,2.846056356
1,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_2044,Non-hispanic White,82,30523184,0.268648251,0.062171225
2,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_2044,Non-hispanic Black,29,7676770,0.377763044,0.173027346
3,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_2044,Hispanic,35,10518884,0.332734918,0.22900735
4,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_2044,Other,21,4433343,0.473683178,0.340908409
5,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_2044,Non-hispanic White,122,31292111,0.389874624,0.088975585
6,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_2044,Non-hispanic Black,55,7275243,0.755988494,0.247873407
7,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_2044,Hispanic,45,11306346,0.398006571,0.216878122
8,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_2044,Other,64,4155228,1.540228358,0.592368642
9,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_4554,Non-hispanic White,351,14238423,2.465160643,0.161505998
10,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_4554,Non-hispanic Black,80,2860342,2.796868347,0.414707904
11,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_4554,Hispanic,83,3213000,2.583255524,0.493248161
12,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_4554,Other,39,1529112,2.550499898,0.824525996
13,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_4554,Non-hispanic White,856,14096551,6.072407357,0.257993232
14,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_4554,Non-hispanic Black,239,2528856,9.450913773,0.890799652
15,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_4554,Hispanic,288,3272152,8.801547116,1.380187919
16,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_4554,Other,146,1352454,10.79519156,1.953764427
17,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_5564,Non-hispanic White,1153,15111568,7.629916366,0.351473725
18,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_5564,Non-hispanic Black,345,2546832,13.54624098,1.046434724
19,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_5564,Hispanic,222,2198328,10.09858401,1.48787547
20,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_5564,Other,115,1272047,9.040546458,1.900088376
21,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_5564,Non-hispanic White,3883,14415002,26.93721444,0.602854176
22,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_5564,Non-hispanic Black,1130,2137700,52.86055106,2.292934005
23,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_5564,Hispanic,716,2058899,34.77586807,2.396828209
24,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_5564,Other,374,1066033,35.0833417,3.810527157
25,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_over65,Non-hispanic White,3982,20639658,19.29295534,0.729622471
26,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_over65,Non-hispanic Black,573,2552333,22.45004864,2.208028665
27,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_over65,Hispanic,764,2132451,35.82731795,4.236109835
28,Mortality,Liver and Intrahepatic Bile Duct,2015,Female,Age_over65,Other,434,1339138,32.40890782,5.329767401
29,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_over65,Non-hispanic White,6653,16705087,39.82619187,1.134202651
30,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_over65,Non-hispanic Black,1059,1714280,61.77520592,4.123558047
31,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_over65,Hispanic,1025,1619259,63.30055908,6.492036559
32,Mortality,Liver and Intrahepatic Bile Duct,2015,Male,Age_over65,Other,660,1032086,63.94815936,8.05402148
1,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_2044,Non-hispanic White,31,30523184,0.101562144,0.158684123
2,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_2044,Non-hispanic Black,36,7676770,0.468947227,0.651443265
3,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_2044,Hispanic,5,10518884,0.04753356,0.2
4,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_2044,Other,4,4433343,0.090225367,0.4
5,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_2044,Non-hispanic White,40,31292111,0.127827745,0.156965885
6,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_2044,Non-hispanic Black,30,7275243,0.41235736,0.692293722
7,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_2044,Hispanic,8,11306346,0.070756724,0.471988536
8,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_4554,Non-hispanic White,152,14238423,1.067533954,0.25847046
10,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_4554,Non-hispanic Black,133,2860342,4.649793626,1.163421746
11,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_4554,Hispanic,42,3213000,1.307189542,1.37426804
12,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_4554,Other,18,1529112,1.177153799,1.14026316
13,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_4554,Non-hispanic White,269,14096551,1.9082682,0.356629655
14,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_4554,Non-hispanic Black,114,2528856,4.507967239,1.252001224
15,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_4554,Hispanic,56,3272152,1.711411939,0.6
16,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_4554,Other,30,1352454,2.218190046,1.390130439
17,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_5564,Non-hispanic White,517,15111568,3.421220088,0.450682659
18,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_5564,Non-hispanic Black,314,2546832,12.32904251,2.154268261
19,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_5564,Hispanic,84,2198328,3.821085843,1.522266771
20,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_5564,Other,43,1272047,3.380378241,2.22296552
21,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_5564,Non-hispanic White,1037,14415002,7.19389425,0.659036327
22,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_5564,Non-hispanic Black,345,2137700,16.13884081,2.632889638
23,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_5564,Hispanic,135,2058899,6.5569025,1.895341997
24,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_5564,Other,56,1066033,5.253120682,2.914225781
25,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_over65,Non-hispanic White,4342,20639658,21.03717029,1.615037333
26,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_over65,Non-hispanic Black,1112,2552333,43.5679827,6.890532292
27,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_over65,Hispanic,404,2132451,18.94533567,8.347922931
28,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Female,Age_over65,Other,212,1339138,15.8310794,7.402618892
29,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_over65,Non-hispanic White,5852,16705087,35.03124527,2.465340411
30,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_over65,Non-hispanic Black,1183,1714280,69.00856336,11.02842352
31,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_over65,Hispanic,468,1619259,28.90210893,8.088774191
32,Mortality,Myeloma: Multiple myeloma/plasma-cell leuk,2015,Male,Age_over65,Other,152,1032086,14.72745488,8.427689042
1,Mortality,Oral Cavity and Pharynx,2015,Female,Age_2044,Non-hispanic White,40,30523184,0.131047927,0.076817235
2,Mortality,Oral Cavity and Pharynx,2015,Female,Age_2044,Non-hispanic Black,10,7676770,0.130263118,0.130451019
3,Mortality,Oral Cavity and Pharynx,2015,Female,Age_2044,Hispanic,8,10518884,0.076053695,0.1
4,Mortality,Oral Cavity and Pharynx,2015,Female,Age_2044,Other,7,4433343,0.157894393,0.174012847
5,Mortality,Oral Cavity and Pharynx,2015,Male,Age_2044,Non-hispanic White,111,31292111,0.354721994,0.088975585
6,Mortality,Oral Cavity and Pharynx,2015,Male,Age_2044,Non-hispanic Black,28,7275243,0.38486687,0.169404674
7,Mortality,Oral Cavity and Pharynx,2015,Male,Age_2044,Hispanic,17,11306346,0.150358038,0.180221998
8,Mortality,Oral Cavity and Pharynx,2015,Male,Age_2044,Other,30,4155228,0.721982043,0.423287129
9,Mortality,Oral Cavity and Pharynx,2015,Female,Age_4554,Non-hispanic White,169,14238423,1.186929199,0.1
10,Mortality,Oral Cavity and Pharynx,2015,Female,Age_4554,Non-hispanic Black,56,2860342,1.957807843,0.354777969
11,Mortality,Oral Cavity and Pharynx,2015,Female,Age_4554,Hispanic,14,3213000,0.435729847,0.41911547
12,Mortality,Oral Cavity and Pharynx,2015,Female,Age_4554,Other,21,1529112,1.373346099,0.629661089
13,Mortality,Oral Cavity and Pharynx,2015,Male,Age_4554,Non-hispanic White,524,14096551,3.717221326,0.257993232
14,Mortality,Oral Cavity and Pharynx,2015,Male,Age_4554,Non-hispanic Black,111,2528856,4.389336522,0.572982831
15,Mortality,Oral Cavity and Pharynx,2015,Male,Age_4554,Hispanic,49,3272152,1.497485447,0.349776454
16,Mortality,Oral Cavity and Pharynx,2015,Male,Age_4554,Other,60,1352454,4.436380091,1.236229391
17,Mortality,Oral Cavity and Pharynx,2015,Female,Age_5564,Non-hispanic White,436,15111568,2.885206883,0.2
18,Mortality,Oral Cavity and Pharynx,2015,Female,Age_5564,Non-hispanic Black,97,2546832,3.80865326,0.547509251
19,Mortality,Oral Cavity and Pharynx,2015,Female,Age_5564,Hispanic,24,2198328,1.091738812,0.626592842
20,Mortality,Oral Cavity and Pharynx,2015,Female,Age_5564,Other,27,1272047,2.122563081,0.812628526
21,Mortality,Oral Cavity and Pharynx,2015,Male,Age_5564,Non-hispanic White,1574,14415002,10.91917989,0.35083425
22,Mortality,Oral Cavity and Pharynx,2015,Male,Age_5564,Non-hispanic Black,287,2137700,13.42564438,1.141329029
23,Mortality,Oral Cavity and Pharynx,2015,Male,Age_5564,Hispanic,126,2058899,6.119775667,1.100515443
24,Mortality,Oral Cavity and Pharynx,2015,Male,Age_5564,Other,73,1066033,6.847818032,1.642890658
25,Mortality,Oral Cavity and Pharynx,2015,Female,Age_over65,Non-hispanic White,1599,20639658,7.747221393,0.465834367
26,Mortality,Oral Cavity and Pharynx,2015,Female,Age_over65,Non-hispanic Black,154,2552333,6.033695446,1.14805571
27,Mortality,Oral Cavity and Pharynx,2015,Female,Age_over65,Hispanic,111,2132451,5.20527787,1.728479896
28,Mortality,Oral Cavity and Pharynx,2015,Female,Age_over65,Other,88,1339138,6.571391447,2.56353872
29,Mortality,Oral Cavity and Pharynx,2015,Male,Age_over65,Non-hispanic White,3175,16705087,19.00618656,0.782011291
30,Mortality,Oral Cavity and Pharynx,2015,Male,Age_over65,Non-hispanic Black,320,1714280,18.66672889,2.305224909
31,Mortality,Oral Cavity and Pharynx,2015,Male,Age_over65,Hispanic,213,1619259,13.15416496,3.555678187
32,Mortality,Oral Cavity and Pharynx,2015,Male,Age_over65,Other,142,1032086,13.75854338,3.666965797
1,Mortality,Ovary,2015,Female,Age_2044,Non-hispanic White,260,30523184,0.851811528,0.117648693
2,Mortality,Ovary,2015,Female,Age_2044,Non-hispanic Black,51,7676770,0.664341904,0.206437192
3,Mortality,Ovary,2015,Female,Age_2044,Hispanic,65,10518884,0.617936275,0.191452887
4,Mortality,Ovary,2015,Female,Age_2044,Other,36,4433343,0.812028305,0.443440598
5,Mortality,Ovary,2015,Male,Age_2044,Non-hispanic White,0,31292111,0,0
6,Mortality,Ovary,2015,Male,Age_2044,Non-hispanic Black,0,7275243,0,0
7,Mortality,Ovary,2015,Male,Age_2044,Hispanic,0,11306346,0,0
8,Mortality,Ovary,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Ovary,2015,Female,Age_4554,Non-hispanic White,866,14238423,6.082134236,0.3
10,Mortality,Ovary,2015,Female,Age_4554,Non-hispanic Black,140,2860342,4.894519606,0.610715947
11,Mortality,Ovary,2015,Female,Age_4554,Hispanic,171,3213000,5.322128852,0.791067591
12,Mortality,Ovary,2015,Female,Age_4554,Other,91,1529112,5.951166429,1.32165221
13,Mortality,Ovary,2015,Male,Age_4554,Non-hispanic White,0,14096551,0,0
14,Mortality,Ovary,2015,Male,Age_4554,Non-hispanic Black,0,2528856,0,0
15,Mortality,Ovary,2015,Male,Age_4554,Hispanic,0,3272152,0,0
16,Mortality,Ovary,2015,Male,Age_4554,Other,0,1352454,0,0
17,Mortality,Ovary,2015,Female,Age_5564,Non-hispanic White,2240,15111568,14.82308123,0.450682659
18,Mortality,Ovary,2015,Female,Age_5564,Non-hispanic Black,346,2546832,13.58550544,1.046434724
19,Mortality,Ovary,2015,Female,Age_5564,Hispanic,223,2198328,10.14407313,1.376532096
20,Mortality,Ovary,2015,Female,Age_5564,Other,146,1272047,11.47756333,2.022935564
21,Mortality,Ovary,2015,Male,Age_5564,Non-hispanic White,0,14415002,0,0
22,Mortality,Ovary,2015,Male,Age_5564,Non-hispanic Black,0,2137700,0,0
23,Mortality,Ovary,2015,Male,Age_5564,Hispanic,0,2058899,0,0
24,Mortality,Ovary,2015,Male,Age_5564,Other,0,1066033,0,0
25,Mortality,Ovary,2015,Female,Age_over65,Non-hispanic White,7652,20639658,37.07425772,0.97493473
26,Mortality,Ovary,2015,Female,Age_over65,Non-hispanic Black,797,2552333,31.22633293,2.546516221
27,Mortality,Ovary,2015,Female,Age_over65,Hispanic,538,2132451,25.22918463,4.120179865
28,Mortality,Ovary,2015,Female,Age_over65,Other,259,1339138,19.34079983,4.563211255
29,Mortality,Ovary,2015,Male,Age_over65,Non-hispanic White,0,16705087,0,0
30,Mortality,Ovary,2015,Male,Age_over65,Non-hispanic Black,0,1714280,0,0
31,Mortality,Ovary,2015,Male,Age_over65,Hispanic,0,1619259,0,0
32,Mortality,Ovary,2015,Male,Age_over65,Other,0,1032086,0,0
1,Mortality,Pancreas,2015,Female,Age_2044,Non-hispanic White,125,30523184,0.409524773,0.098655863
2,Mortality,Pancreas,2015,Female,Age_2044,Non-hispanic Black,45,7676770,0.586184033,0.206300979
3,Mortality,Pancreas,2015,Female,Age_2044,Hispanic,27,10518884,0.256681222,0.172650362
4,Mortality,Pancreas,2015,Female,Age_2044,Other,16,4433343,0.360901469,0.349428949
5,Mortality,Pancreas,2015,Male,Age_2044,Non-hispanic White,209,31292111,0.66789997,0.107726449
6,Mortality,Pancreas,2015,Male,Age_2044,Non-hispanic Black,48,7275243,0.659771777,0.221810854
7,Mortality,Pancreas,2015,Male,Age_2044,Hispanic,40,11306346,0.353783619,0.167658736
8,Mortality,Pancreas,2015,Male,Age_2044,Other,10,4155228,0.240660681,0.407059586
9,Mortality,Pancreas,2015,Female,Age_4554,Non-hispanic White,703,14238423,4.937344536,0.25847046
10,Mortality,Pancreas,2015,Female,Age_4554,Non-hispanic Black,210,2860342,7.34177941,0.670695682
11,Mortality,Pancreas,2015,Female,Age_4554,Hispanic,133,3213000,4.139433551,0.646712182
12,Mortality,Pancreas,2015,Female,Age_4554,Other,46,1529112,3.008281931,0.991747985
13,Mortality,Pancreas,2015,Male,Age_4554,Non-hispanic White,1105,14096551,7.83879688,0.356629655
14,Mortality,Pancreas,2015,Male,Age_4554,Non-hispanic Black,279,2528856,11.03265666,0.964736289
15,Mortality,Pancreas,2015,Male,Age_4554,Hispanic,170,3272152,5.195357673,0.761300762
16,Mortality,Pancreas,2015,Male,Age_4554,Other,54,1352454,3.992742082,1.114762136
17,Mortality,Pancreas,2015,Female,Age_5564,Non-hispanic White,2458,15111568,16.26568467,0.450682659
18,Mortality,Pancreas,2015,Female,Age_5564,Non-hispanic Black,633,2546832,24.85440736,1.447760814
19,Mortality,Pancreas,2015,Female,Age_5564,Hispanic,255,2198328,11.59972488,1.470931815
20,Mortality,Pancreas,2015,Female,Age_5564,Other,125,1272047,9.826680932,1.959250267
21,Mortality,Pancreas,2015,Male,Age_5564,Non-hispanic White,3566,14415002,24.73811658,0.602854176
22,Mortality,Pancreas,2015,Male,Age_5564,Non-hispanic Black,700,2137700,32.74547411,1.795315976
23,Mortality,Pancreas,2015,Male,Age_5564,Hispanic,388,2058899,18.84502348,2.238928553
24,Mortality,Pancreas,2015,Male,Age_5564,Other,155,1066033,14.5398876,2.557564292
25,Mortality,Pancreas,2015,Female,Age_over65,Non-hispanic White,12010,20639658,58.18894867,1.247411549
26,Mortality,Pancreas,2015,Female,Age_over65,Non-hispanic Black,1779,2552333,69.70093636,3.963959643
27,Mortality,Pancreas,2015,Female,Age_over65,Hispanic,1004,2132451,47.08197281,5.397632075
28,Mortality,Pancreas,2015,Female,Age_over65,Other,605,1339138,45.1783162,6.56969729
29,Mortality,Pancreas,2015,Male,Age_over65,Non-hispanic White,11961,16705087,71.60094407,1.560107614
30,Mortality,Pancreas,2015,Male,Age_over65,Non-hispanic Black,1328,1714280,77.46692489,5.119705268
31,Mortality,Pancreas,2015,Male,Age_over65,Hispanic,804,1619259,49.65234098,5.937153113
32,Mortality,Pancreas,2015,Male,Age_over65,Other,505,1032086,48.93003102,7.425906106
1,Mortality,Prostate,2015,Female,Age_2044,Non-hispanic White,0,30523184,0,0
2,Mortality,Prostate,2015,Female,Age_2044,Non-hispanic Black,0,7676770,0,0
3,Mortality,Prostate,2015,Female,Age_2044,Hispanic,0,10518884,0,0
4,Mortality,Prostate,2015,Female,Age_2044,Other,0,4433343,0,0
5,Mortality,Prostate,2015,Male,Age_2044,Non-hispanic White,10,31292111,0.031956936,0
6,Mortality,Prostate,2015,Male,Age_2044,Non-hispanic Black,9,7275243,0.123707208,0.137781549
7,Mortality,Prostate,2015,Male,Age_2044,Hispanic,3,11306346,0.026533771,0.054800779
8,Mortality,Prostate,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Prostate,2015,Female,Age_4554,Non-hispanic White,0,14238423,0,0
10,Mortality,Prostate,2015,Female,Age_4554,Non-hispanic Black,0,2860342,0,0
11,Mortality,Prostate,2015,Female,Age_4554,Hispanic,0,3213000,0,0
12,Mortality,Prostate,2015,Female,Age_4554,Other,0,1529112,0,0
13,Mortality,Prostate,2015,Male,Age_4554,Non-hispanic White,226,14096551,1.603229045,0.161047523
14,Mortality,Prostate,2015,Male,Age_4554,Non-hispanic Black,108,2528856,4.270705805,0.572982831
15,Mortality,Prostate,2015,Male,Age_4554,Hispanic,49,3272152,1.497485447,0.622512077
16,Mortality,Prostate,2015,Male,Age_4554,Other,10,1352454,0.739396682,0.601404878
17,Mortality,Prostate,2015,Female,Age_5564,Non-hispanic White,0,15111568,0,0
18,Mortality,Prostate,2015,Female,Age_5564,Non-hispanic Black,0,2546832,0,0
19,Mortality,Prostate,2015,Female,Age_5564,Hispanic,0,2198328,0,0
20,Mortality,Prostate,2015,Female,Age_5564,Other,0,1272047,0,0
21,Mortality,Prostate,2015,Male,Age_5564,Non-hispanic White,1708,14415002,11.848767,0.406966958
22,Mortality,Prostate,2015,Male,Age_5564,Non-hispanic Black,696,2137700,32.55835711,1.808023595
23,Mortality,Prostate,2015,Male,Age_5564,Hispanic,230,2058899,11.17101907,1.495369265
24,Mortality,Prostate,2015,Male,Age_5564,Other,76,1066033,7.129235211,2.024540354
25,Mortality,Prostate,2015,Female,Age_over65,Non-hispanic White,0,20639658,0,0
26,Mortality,Prostate,2015,Female,Age_over65,Non-hispanic Black,0,2552333,0,0
27,Mortality,Prostate,2015,Female,Age_over65,Hispanic,0,2132451,0,0
28,Mortality,Prostate,2015,Female,Age_over65,Other,0,1339138,0,0
29,Mortality,Prostate,2015,Male,Age_over65,Non-hispanic White,19569,16705087,117.1439574,2.247002152
30,Mortality,Prostate,2015,Male,Age_over65,Non-hispanic Black,3865,1714280,225.4590849,10.00977548
31,Mortality,Prostate,2015,Male,Age_over65,Hispanic,1585,1619259,97.88427917,9.57343813
32,Mortality,Prostate,2015,Male,Age_over65,Other,631,1032086,61.13831599,11.05129592
1,Mortality,Stomach,2015,Female,Age_2044,Non-hispanic White,79,30523184,0.258819657,0.076817235
2,Mortality,Stomach,2015,Female,Age_2044,Non-hispanic Black,45,7676770,0.586184033,0.211968779
3,Mortality,Stomach,2015,Female,Age_2044,Hispanic,119,10518884,1.13129872,0.34495607
4,Mortality,Stomach,2015,Female,Age_2044,Other,39,4433343,0.87969733,0.477298287
5,Mortality,Stomach,2015,Male,Age_2044,Non-hispanic White,111,31292111,0.354721994,0.076374396
6,Mortality,Stomach,2015,Male,Age_2044,Non-hispanic Black,50,7275243,0.687262267,0.234219321
7,Mortality,Stomach,2015,Male,Age_2044,Hispanic,114,11306346,1.008283313,0.24095764
8,Mortality,Stomach,2015,Male,Age_2044,Other,29,4155228,0.697915975,0.508233383
9,Mortality,Stomach,2015,Female,Age_4554,Non-hispanic White,170,14238423,1.193952448,0.1
10,Mortality,Stomach,2015,Female,Age_4554,Non-hispanic Black,75,2860342,2.622064075,0.453999161
11,Mortality,Stomach,2015,Female,Age_4554,Hispanic,114,3213000,3.548085901,0.532292082
12,Mortality,Stomach,2015,Female,Age_4554,Other,53,1529112,3.466063964,0.749532114
13,Mortality,Stomach,2015,Male,Age_4554,Non-hispanic White,306,14096551,2.170743751,0.2
14,Mortality,Stomach,2015,Male,Age_4554,Non-hispanic Black,150,2528856,5.931535841,0.709089495
15,Mortality,Stomach,2015,Male,Age_4554,Hispanic,156,3272152,4.767504688,0.678285925
16,Mortality,Stomach,2015,Male,Age_4554,Other,56,1352454,4.140621419,1.250489621
17,Mortality,Stomach,2015,Female,Age_5564,Non-hispanic White,358,15111568,2.369046018,0.2
18,Mortality,Stomach,2015,Female,Age_5564,Non-hispanic Black,137,2546832,5.379231924,0.647159032
19,Mortality,Stomach,2015,Female,Age_5564,Hispanic,156,2198328,7.096302281,1.0554827
20,Mortality,Stomach,2015,Female,Age_5564,Other,75,1272047,5.896008559,1.348464871
21,Mortality,Stomach,2015,Male,Age_5564,Non-hispanic White,800,14415002,5.54977377,0.252253658
22,Mortality,Stomach,2015,Male,Age_5564,Non-hispanic Black,313,2137700,14.64190485,1.192079339
23,Mortality,Stomach,2015,Male,Age_5564,Hispanic,208,2058899,10.10248681,1.330684366
24,Mortality,Stomach,2015,Male,Age_5564,Other,96,1066033,9.005349741,1.845339733
25,Mortality,Stomach,2015,Female,Age_over65,Non-hispanic White,1964,20639658,9.515661548,0.523780645
26,Mortality,Stomach,2015,Female,Age_over65,Non-hispanic Black,521,2552333,20.41269693,2.211542972
27,Mortality,Stomach,2015,Female,Age_over65,Hispanic,385,2132451,18.05434216,2.987112264
28,Mortality,Stomach,2015,Female,Age_over65,Other,261,1339138,19.49014963,3.776067911
29,Mortality,Stomach,2015,Male,Age_over65,Non-hispanic White,2797,16705087,16.74340277,0.797314431
30,Mortality,Stomach,2015,Male,Age_over65,Non-hispanic Black,702,1714280,40.9501365,3.948809879
31,Mortality,Stomach,2015,Male,Age_over65,Hispanic,499,1619259,30.81656486,4.786952689
32,Mortality,Stomach,2015,Male,Age_over65,Other,346,1032086,33.52433809,5.813261497
1,Mortality,Stomach Cardia,2015,Female,Age_2044,Non-hispanic White,13,30523184,0.042590576,0.1
2,Mortality,Stomach Cardia,2015,Female,Age_2044,Non-hispanic Black,4,7676770,0.052105247,0.3
3,Mortality,Stomach Cardia,2015,Female,Age_2044,Hispanic,14,10518884,0.133093967,0.15747041
4,Mortality,Stomach Cardia,2015,Female,Age_2044,Other,0,4433343,0,0
5,Mortality,Stomach Cardia,2015,Male,Age_2044,Non-hispanic White,120,31292111,0.383483236,0.176243742
6,Mortality,Stomach Cardia,2015,Male,Age_2044,Non-hispanic Black,0,7275243,0,0
7,Mortality,Stomach Cardia,2015,Male,Age_2044,Hispanic,18,11306346,0.159202628,0.235438167
8,Mortality,Stomach Cardia,2015,Male,Age_2044,Other,4,4155228,0.096264272,0.4
9,Mortality,Stomach Cardia,2015,Female,Age_4554,Non-hispanic White,49,14238423,0.344139235,0.161505998
10,Mortality,Stomach Cardia,2015,Female,Age_4554,Non-hispanic Black,17,2860342,0.594334524,0.414707904
11,Mortality,Stomach Cardia,2015,Female,Age_4554,Hispanic,16,3213000,0.497976969,0.310409916
12,Mortality,Stomach Cardia,2015,Female,Age_4554,Other,8,1529112,0.523179466,1.05884211
