subgroup_id,type,CancerSite,year,Sex,age_gp,race_gp,count,population,crude_rate,crude_SE
19,Mortality,Colon and Rectum,2015,Female,Age_5564,Hispanic,311,2198328,14.14711544,1.653763044
20,Mortality,Colon and Rectum,2015,Female,Age_5564,Other,198,1272047,15.5654626,2.31258199
21,Mortality,Colon and Rectum,2015,Male,Age_5564,Non-hispanic White,4166,14415002,28.90044691,0.649186383
22,Mortality,Colon and Rectum,2015,Male,Age_5564,Non-hispanic Black,1030,2137700,48.18262619,2.13545711
23,Mortality,Colon and Rectum,2015,Male,Age_5564,Hispanic,509,2058899,24.72195091,2.02847913
24,Mortality,Colon and Rectum,2015,Male,Age_5564,Other,217,1066033,20.35584264,2.974212488
25,Mortality,Colon and Rectum,2015,Female,Age_over65,Non-hispanic White,14182,20639658,68.71237886,1.386743971
26,Mortality,Colon and Rectum,2015,Female,Age_over65,Non-hispanic Black,2101,2552333,82.31684502,4.398330915
27,Mortality,Colon and Rectum,2015,Female,Age_over65,Hispanic,964,2132451,45.206197,4.776117704
28,Mortality,Colon and Rectum,2015,Female,Age_over65,Other,630,1339138,47.04518877,6.991668569
29,Mortality,Colon and Rectum,2015,Male,Age_over65,Non-hispanic White,14014,16705087,83.89061368,1.761838161
30,Mortality,Colon and Rectum,2015,Male,Age_over65,Non-hispanic Black,1961,1714280,114.392048,6.484762549
31,Mortality,Colon and Rectum,2015,Male,Age_over65,Hispanic,1172,1619259,72.37878561,6.968643088
32,Mortality,Colon and Rectum,2015,Male,Age_over65,Other,639,1032086,61.9134452,9.99899011
1,Mortality,Corpus Uteri,2015,Female,Age_2044,Non-hispanic White,46,30523184,0.150705116,0.062171225
2,Mortality,Corpus Uteri,2015,Female,Age_2044,Non-hispanic Black,12,7676770,0.156315742,0.157659561
3,Mortality,Corpus Uteri,2015,Female,Age_2044,Hispanic,14,10518884,0.133093967,0.088409385
4,Mortality,Corpus Uteri,2015,Female,Age_2044,Other,8,4433343,0.180450734,0.361554171
5,Mortality,Corpus Uteri,2015,Male,Age_2044,Non-hispanic White,0,31292111,0,0
6,Mortality,Corpus Uteri,2015,Male,Age_2044,Non-hispanic Black,0,7275243,0,0
7,Mortality,Corpus Uteri,2015,Male,Age_2044,Hispanic,0,11306346,0,0
8,Mortality,Corpus Uteri,2015,Male,Age_2044,Other,0,4155228,0,0
9,Mortality,Corpus Uteri,2015,Female,Age_4554,Non-hispanic White,183,14238423,1.285254694,0.161505998
10,Mortality,Corpus Uteri,2015,Female,Age_4554,Non-hispanic Black,45,2860342,1.573238445,0.354777969
11,Mortality,Corpus Uteri,2015,Female,Age_4554,Hispanic,36,3213000,1.120448179,0.405551646
12,Mortality,Corpus Uteri,2015,Female,Age_4554,Other,22,1529112,1.438743532,0.532399906
13,Mortality,Corpus Uteri,2015,Male,Age_4554,Non-hispanic White,0,14096551,0,0
14,Mortality,Corpus Uteri,2015,Male,Age_4554,Non-hispanic Black,0,2528856,0,0
15,Mortality,Corpus Uteri,2015,Male,Age_4554,Hispanic,0,3272152,0,0
16,Mortality,Corpus Uteri,2015,Male,Age_4554,Other,0,1352454,0,0
17,Mortality,Corpus Uteri,2015,Female,Age_5564,Non-hispanic White,692,15111568,4.579273309,0.25288871
18,Mortality,Corpus Uteri,2015,Female,Age_5564,Non-hispanic Black,202,2546832,7.931422253,0.827239247
19,Mortality,Corpus Uteri,2015,Female,Age_5564,Hispanic,76,2198328,3.457172906,0.928766023
20,Mortality,Corpus Uteri,2015,Female,Age_5564,Other,51,1272047,4.00928582,0.99162295
21,Mortality,Corpus Uteri,2015,Male,Age_5564,Non-hispanic White,0,14415002,0,0
22,Mortality,Corpus Uteri,2015,Male,Age_5564,Non-hispanic Black,0,2137700,0,0
23,Mortality,Corpus Uteri,2015,Male,Age_5564,Hispanic,0,2058899,0,0
24,Mortality,Corpus Uteri,2015,Male,Age_5564,Other,0,1066033,0,0
25,Mortality,Corpus Uteri,2015,Female,Age_over65,Non-hispanic White,2226,20639658,10.78506243,0.538218474
26,Mortality,Corpus Uteri,2015,Female,Age_over65,Non-hispanic Black,488,2552333,19.11976219,1.925549241
27,Mortality,Corpus Uteri,2015,Female,Age_over65,Hispanic,156,2132451,7.315525656,2.03656471
28,Mortality,Corpus Uteri,2015,Female,Age_over65,Other,76,1339138,5.675292614,1.923666505
29,Mortality,Corpus Uteri,2015,Male,Age_over65,Non-hispanic White,0,16705087,0,0
30,Mortality,Corpus Uteri,2015,Male,Age_over65,Non-hispanic Black,0,1714280,0,0
31,Mortality,Corpus Uteri,2015,Male,Age_over65,Hispanic,0,1619259,0,0
32,Mortality,Corpus Uteri,2015,Male,Age_over65,Other,0,1032086,0,0
1,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_2044,Non-hispanic White,18,30523184,0.058971567,0.1
2,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_2044,Non-hispanic Black,0,7676770,0,0
3,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_2044,Hispanic,0,10518884,0,0
4,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_2044,Other,0,4433343,0,0
5,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_2044,Non-hispanic White,79,31292111,0.252459797,0.156374617
6,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_2044,Non-hispanic Black,4,7275243,0.054980981,0.4
7,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_2044,Hispanic,22,11306346,0.19458099,0.491987152
8,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_2044,Other,10,4155228,0.240660681,0.920793835
9,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_4554,Non-hispanic White,58,14238423,0.407348482,0.161505998
10,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_4554,Non-hispanic Black,9,2860342,0.314647689,0.4
11,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_4554,Hispanic,11,3213000,0.342359166,0.4
12,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_4554,Other,0,1529112,0,0
13,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_4554,Non-hispanic White,432,14096551,3.064579414,0.418322394
14,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_4554,Non-hispanic Black,44,2528856,1.73991718,0.8
15,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_4554,Hispanic,37,3272152,1.130754317,0.502404413
16,Mortality,Esophageal Adenocarcinoma,2015,Male,Age_4554,Other,23,1352454,1.700612368,1.994949631
17,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_5564,Non-hispanic White,131,15111568,0.866885554,0.2
18,Mortality,Esophageal Adenocarcinoma,2015,Female,Age_5564,Non-hispanic Black,19,2546832,0.746024865,0.520546497
