year,race_gp,age_gp,sex,subgroup_id,crude_rate
2020,NHW,age_65+,Female,25,29.121617463
2020,NHB,age_65+,Female,26,27.478477939
2020,HIS,age_65+,Female,27,34.150095265
2020,Other,age_65+,Female,28,32.108461435
2020,NHW,age_65+,Male,29,20.383326808
2020,NHB,age_65+,Male,30,12.448881616
2020,HIS,age_65+,Male,31,16.620649359
2020,Other,age_65+,Male,32,17.640765111
2021,NHW,age_2044,Female,1,36.929239036
2021,NHB,age_2044,Female,2,18.208972223
2021,HIS,age_2044,Female,3,30.497439436
2021,Other,age_2044,Female,4,36.541463071
2021,NHW,age_2044,Male,5,10.283554284
2021,NHB,age_2044,Male,6,3.4036319843
2021,HIS,age_2044,Male,7,6.0030662286
2021,Other,age_2044,Male,8,10.72609547
2021,NHW,age_4554,Female,9,44.930059636
2021,NHB,age_4554,Female,10,30.897340278
2021,HIS,age_4554,Female,11,47.111984153
2021,Other,age_4554,Female,12,51.331448942
2021,NHW,age_4554,Male,13,17.527846751
2021,NHB,age_4554,Male,14,8.4151632696
2021,HIS,age_4554,Male,15,11.713960581
2021,Other,age_4554,Male,16,17.706709054
2021,NHW,age_5564,Female,17,37.78928563
2021,NHB,age_5564,Female,18,31.384028781
2021,HIS,age_5564,Female,19,43.17290654
2021,Other,age_5564,Female,20,44.595132983
2021,NHW,age_5564,Male,21,20.048984386
2021,NHB,age_5564,Male,22,11.068018353
2021,HIS,age_5564,Male,23,14.806409591
2021,Other,age_5564,Male,24,18.126093902
2021,NHW,age_65+,Female,25,30.220017776
2021,NHB,age_65+,Female,26,28.777781343
2021,HIS,age_65+,Female,27,35.206815977
2021,Other,age_65+,Female,28,32.982745649
2021,NHW,age_65+,Male,29,21.200409774
2021,NHB,age_65+,Male,30,12.9106993
2021,HIS,age_65+,Male,31,17.06527909
2021,Other,age_65+,Male,32,18.145031685
2022,NHW,age_2044,Female,1,38.810950739
2022,NHB,age_2044,Female,2,19.399322501
2022,HIS,age_2044,Female,3,32.528894032
2022,Other,age_2044,Female,4,38.726216462
2022,NHW,age_2044,Male,5,11.0395658
2022,NHB,age_2044,Male,6,3.6770457324
2022,HIS,age_2044,Male,7,6.4808427096
2022,Other,age_2044,Male,8,11.667419405
2022,NHW,age_4554,Female,9,46.404335393
2022,NHB,age_4554,Female,10,32.489444918
2022,HIS,age_4554,Female,11,49.338478942
2022,Other,age_4554,Female,12,53.821799504
2022,NHW,age_4554,Male,13,18.546043646
2022,NHB,age_4554,Male,14,8.9644609407
2022,HIS,age_4554,Male,15,12.461916623
2022,Other,age_4554,Male,16,18.762572626
2022,NHW,age_5564,Female,17,38.060715913
2022,NHB,age_5564,Female,18,32.326788709
2022,HIS,age_5564,Female,19,43.680458992
2022,Other,age_5564,Female,20,44.645046373
2022,NHW,age_5564,Male,21,21.016648585
2022,NHB,age_5564,Male,22,11.718833537
2022,HIS,age_5564,Male,23,15.578135572
2022,Other,age_5564,Male,24,18.771811647
2022,NHW,age_65+,Female,25,31.359847384
2022,NHB,age_65+,Female,26,30.138521862
2022,HIS,age_65+,Female,27,36.296238009
2022,Other,age_65+,Female,28,33.880842509
2022,NHW,age_65+,Male,29,22.050246586
2022,NHB,age_65+,Male,30,13.389649364
2022,HIS,age_65+,Male,31,17.521800981
2022,Other,age_65+,Male,32,18.663709654
2023,NHW,age_2044,Female,1,40.794730288
2023,NHB,age_2044,Female,2,20.6626389
2023,HIS,age_2044,Female,3,34.69451438
2023,Other,age_2044,Female,4,41.035846568
2023,NHW,age_2044,Male,5,11.842015253
2023,NHB,age_2044,Male,6,3.969520739
2023,HIS,age_2044,Male,7,6.9872510725
2023,Other,age_2044,Male,8,12.694206867
2023,NHW,age_4554,Female,9,47.962365517
2023,NHB,age_4554,Female,10,34.160821487
2023,HIS,age_4554,Female,11,51.647836271
2023,Other,age_4554,Female,12,56.511929177
2023,NHW,age_4554,Male,13,19.589397433
2023,NHB,age_4554,Male,14,9.5261643602
2023,HIS,age_4554,Male,15,13.23994814
2023,Other,age_4554,Male,16,19.785091282
2023,NHW,age_5564,Female,17,38.234642537
2023,NHB,age_5564,Female,18,33.329997108
2023,HIS,age_5564,Female,19,43.996516407
2023,Other,age_5564,Female,20,44.345965235
2023,NHW,age_5564,Male,21,22.044319132
2023,NHB,age_5564,Male,22,12.431182655
2023,HIS,age_5564,Male,23,16.379920482
2023,Other,age_5564,Male,24,19.392861074
2023,NHW,age_65+,Female,25,32.542668632
2023,NHB,age_65+,Female,26,31.563604444
2023,HIS,age_65+,Female,27,37.419368141
2023,Other,age_65+,Female,28,34.803390807
2023,NHW,age_65+,Male,29,22.93414959
2023,NHB,age_65+,Male,30,13.886367943
2023,HIS,age_65+,Male,31,17.990540049
2023,Other,age_65+,Male,32,19.197218862
2024,NHW,age_2044,Female,1,42.890633455
2024,NHB,age_2044,Female,2,22.018421621
2024,HIS,age_2044,Female,3,37.005352373
2024,Other,age_2044,Female,4,43.500744166
2024,NHW,age_2044,Male,5,12.696126295
2024,NHB,age_2044,Male,6,4.2858109103
2024,HIS,age_2044,Male,7,7.5223561502
2024,Other,age_2044,Male,8,13.824843445
2024,NHW,age_4554,Female,9,49.590597086
2024,NHB,age_4554,Female,10,35.913287403
2024,HIS,age_4554,Female,11,54.040606224
2024,Other,age_4554,Female,12,59.423789456
2024,NHW,age_4554,Male,13,20.669713872
2024,NHB,age_4554,Male,14,10.097542306
2024,HIS,age_4554,Male,15,14.0423827
2024,Other,age_4554,Male,16,20.752632267
2024,NHW,age_5564,Female,17,38.314110672
2024,NHB,age_5564,Female,18,34.385955085
2024,HIS,age_5564,Female,19,44.060683585
2024,Other,age_5564,Female,20,43.695435491
2024,NHW,age_5564,Male,21,23.133827549
2024,NHB,age_5564,Male,22,13.216364945
