year,race_gp,age_gp,sex,subgroup_id,crude_rate
2020,Other,age_5564,Male,24,38.592091345
2020,NHW,age_65+,Female,25,26.623618466
2020,NHB,age_65+,Female,26,15.681899082
2020,HIS,age_65+,Female,27,17.231032754
2020,Other,age_65+,Female,28,19.532564402
2020,NHW,age_65+,Male,29,73.87448162
2020,NHB,age_65+,Male,30,47.345650378
2020,HIS,age_65+,Male,31,43.326387713
2020,Other,age_65+,Male,32,43.057742624
2021,NHW,age_2044,Female,1,3.3221006396
2021,NHB,age_2044,Female,2,2.510305871
2021,HIS,age_2044,Female,3,1.7843769258
2021,Other,age_2044,Female,4,3.1646444896
2021,NHW,age_2044,Male,5,7.7015378832
2021,NHB,age_2044,Male,6,4.4731140349
2021,HIS,age_2044,Male,7,2.7405160019
2021,Other,age_2044,Male,8,7.0204432709
2021,NHW,age_4554,Female,9,13.497413927
2021,NHB,age_4554,Female,10,10.471488963
2021,HIS,age_4554,Female,11,6.2163778239
2021,Other,age_4554,Female,12,9.7042451152
2021,NHW,age_4554,Male,13,47.189065065
2021,NHB,age_4554,Male,14,25.637011799
2021,HIS,age_4554,Male,15,15.918514242
2021,Other,age_4554,Male,16,26.707157694
2021,NHW,age_5564,Female,17,21.564760109
2021,NHB,age_5564,Female,18,15.150635937
2021,HIS,age_5564,Female,19,11.901305548
2021,Other,age_5564,Female,20,15.111731613
2021,NHW,age_5564,Male,21,71.058607613
2021,NHB,age_5564,Male,22,41.74812992
2021,HIS,age_5564,Male,23,31.979664641
2021,Other,age_5564,Male,24,39.717013195
2021,NHW,age_65+,Female,25,26.678807844
2021,NHB,age_65+,Female,26,15.581744296
2021,HIS,age_65+,Female,27,17.19102165
2021,Other,age_65+,Female,28,19.478581462
2021,NHW,age_65+,Male,29,74.839566273
2021,NHB,age_65+,Male,30,46.93560017
2021,HIS,age_65+,Male,31,43.127048148
2021,Other,age_65+,Male,32,43.367417311
2022,NHW,age_2044,Female,1,3.648380404
2022,NHB,age_2044,Female,2,2.6749729186
2022,HIS,age_2044,Female,3,1.9036157291
2022,Other,age_2044,Female,4,3.3608584625
2022,NHW,age_2044,Male,5,8.7854758502
2022,NHB,age_2044,Male,6,4.7872116558
2022,HIS,age_2044,Male,7,2.9757786923
2022,Other,age_2044,Male,8,7.5551739495
2022,NHW,age_4554,Female,9,14.506232868
