foodcode,description
91200040,"Sugar substitute, saccharin, powder"
92410320,"Soft drink, cola, diet"
92410520,"Soft drink, fruit flavored, diet, caffeine free"
92410370,"Soft drink, pepper type, diet"
92410350,"Soft drink, cola, decaffeinated, diet"
91201010,"Sugar substitute, aspartame, powder"
91107000,"Sugar substitute, sucralose, powder"
92410210,"Carbonated water, unsweetened"
93301217,Vodka and water
93301218,Vodka and tonic
91108000,"Sugar substitute, stevia, powder"
93106000,"Alcoholic malt beverage, sweetened"
93505000,Vodka
92410560,"Soft drink, fruit flavored, caffeine containing, diet"
95330100,"Fluid replacement, electrolyte solution"
93502000,Whiskey
92411610,"Soft drink, cola, fruit or vanilla flavored, diet"
92410720,"Soft drink, root beer, diet"
93301182,Whiskey and cola
71962020,"Dasheen, fried"
92410400,"Soft drink, pepper type, decaffeinated, diet"
93301211,Vodka and soda
91200000,"Sugar substitute, powder, NFS"
92410250,"Carbonated water, sweetened, with low-calorie or no-calorie sweetener"
93501000,Brandy
94210100,"Water, bottled, flavored (Propel Water)"
93505100,Tequila
93502100,Scotch
92400100,"Soft drink, NFS, diet"
91770020,Dietetic or low calorie hard candy
93503000,Gin
93301215,Vodka and diet cola
92410420,"Soft drink, cream soda, diet"
93301181,Whiskey and water
93301216,Vodka and energy drink
93301240,Black Russian
93301183,Whiskey and diet cola
92410620,"Soft drink, ginger ale, diet"
92550610,"Fruit flavored drink, with high vitamin C, diet"
93201000,Cordial or liqueur
75236500,Yeast extract spread
75236000,Yeast
56207210,"Whole wheat cereal, cooked, fat added in cooking"
93301170,Whiskey and soda
93301205,Brandy and cola
93301214,Vodka and cola
27450660,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce"
91200110,"Sugar substitute, saccharin, liquid"
91106010,Sugar substitute and sugar blend
93301184,Whiskey and ginger ale
75215990,"Corn, cooked, from restaurant"
93202000,"Cordial or liqueur, coffee flavored"
56207210,"Whole wheat cereal, cooked, fat added"
71962020,"Dasheen, cooked"
93301045,"Gelatin shot, alcoholic"
91108020,"Sugar substitute, monk fruit, powder"
26141130,"Sea bass, coated, baked or broiled, fat added"
