subgroup,agecat,female,race,racecat,Age,Age_label,Sex,Sex_label,Race,Race_label,AAmn,AFFmn,APCAmn,BCmn,CCmn,CMmn,DIABmn,ECAmn,ENDOmn,GCmn,HHDmn,HSTKmn,IHDmn,ISTKmn,KCmn,LCmn,LVCmn,MLPCmn,MMCmn,OCmn,OSTKmn,OTHmn,PCmn,PVDmn,RHDmn,SCCmn,SCNCmn,TCmn,UCmn,AA_medBMImn,AFF_medBMImn,APCA_medBMImn,BC_medBMImn,CC_medBMImn,CM_medBMImn,DIAB_medBMImn,ECA_medBMImn,ENDO_medBMImn,GC_medBMImn,HHD_medBMImn,HSTK_medBMImn,IHD_medBMImn,ISTK_medBMImn,KC_medBMImn,LC_medBMImn,LVC_medBMImn,MLPC_medBMImn,MMC_medBMImn,OC_medBMImn,OSTK_medBMImn,OTH_medBMImn,PC_medBMImn,PVD_medBMImn,RHD_medBMImn,SCC_medBMImn,SCNC_medBMImn,TC_medBMImn,UC_medBMImn,AA_medSBPmn,AFF_medSBPmn,APCA_medSBPmn,BC_medSBPmn,CC_medSBPmn,CM_medSBPmn,DIAB_medSBPmn,ECA_medSBPmn,ENDO_medSBPmn,GC_medSBPmn,HHD_medSBPmn,HSTK_medSBPmn,IHD_medSBPmn,ISTK_medSBPmn,KC_medSBPmn,LC_medSBPmn,LVC_medSBPmn,MLPC_medSBPmn,MMC_medSBPmn,OC_medSBPmn,OSTK_medSBPmn,OTH_medSBPmn,PC_medSBPmn,PVD_medSBPmn,RHD_medSBPmn,SCC_medSBPmn,SCNC_medSBPmn,TC_medSBPmn,UC_medSBPmn,AAse,AFFse,APCAse,BCse,CCse,CMse,DIABse,ECAse,ENDOse,GCse,HHDse,HSTKse,IHDse,ISTKse,KCse,LCse,LVCse,MLPCse,MMCse,OCse,OSTKse,OTHse,PCse,PVDse,RHDse,SCCse,SCNCse,TCse,UCse,AA_medBMIse,AFF_medBMIse,APCA_medBMIse,BC_medBMIse,CC_medBMIse,CM_medBMIse,DIAB_medBMIse,ECA_medBMIse,ENDO_medBMIse,GC_medBMIse,HHD_medBMIse,HSTK_medBMIse,IHD_medBMIse,ISTK_medBMIse,KC_medBMIse,LC_medBMIse,LVC_medBMIse,MLPC_medBMIse,MMC_medBMIse,OC_medBMIse,OSTK_medBMIse,OTH_medBMIse,PC_medBMIse,PVD_medBMIse,RHD_medBMIse,SCC_medBMIse,SCNC_medBMIse,TC_medBMIse,UC_medBMIse,AA_medSBPse,AFF_medSBPse,APCA_medSBPse,BC_medSBPse,CC_medSBPse,CM_medSBPse,DIAB_medSBPse,ECA_medSBPse,ENDO_medSBPse,GC_medSBPse,HHD_medSBPse,HSTK_medSBPse,IHD_medSBPse,ISTK_medSBPse,KC_medSBPse,LC_medSBPse,LVC_medSBPse,MLPC_medSBPse,MMC_medSBPse,OC_medSBPse,OSTK_medSBPse,OTH_medSBPse,PC_medSBPse,PVD_medSBPse,RHD_medSBPse,SCC_medSBPse,SCNC_medSBPse,TC_medSBPse,UC_medSBPse
1,1,1,1,1,1,20-34,1,Female,1,NHW,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,20,0,0,0,803,98,169,9,74,0,59,36,142,38,244,89,36,218,23,457,20,155,89,0,44,18,40,3899,413,4,0,0,0,61,10,13,6,10,0,8,6,12,6,33,21,13,31,10,46,4,13,21,0,8,10,13,131,44,4,0,0,0,61,10,13,6,10,0,8,6,12,6,33,21,13,31,10,46,4,13,21,0,8,10,13,131,44,4,0,0,0,61,10,13,6,10,0,8,6,12,6,33,21,13,31,10,46,4,13,21,0,8,10,13,131,44
2,1,1,2,2,1,20-34,1,Female,2,NHB,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,13,0,0,0,160,59,109,0,9,4,84,38,79,14,60,36,24,44,16,84,13,85,44,0,8,0,16,379,80,4,0,0,0,26,8,11,0,2,5,10,7,10,4,16,12,10,14,8,19,4,10,14,0,2,0,8,39,18,4,0,0,0,26,8,11,0,2,5,10,7,10,4,16,12,10,14,8,19,4,10,14,0,2,0,8,39,18,4,0,0,0,26,8,11,0,2,5,10,7,10,4,16,12,10,14,8,19,4,10,14,0,2,0,8,39,18
3,1,1,3,3,1,20-34,1,Female,3,HIS,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,9,0,0,0,290,28,39,3,9,3,12,29,23,9,94,42,21,65,3,179,8,28,60,0,9,3,37,1177,262,2,0,0,0,28,6,7,3,2,3,4,6,5,2,16,11,8,14,3,22,2,6,13,0,2,3,10,56,27,2,0,0,0,28,6,7,3,2,3,4,6,5,2,16,11,8,14,3,22,2,6,13,0,2,3,10,56,27,2,0,0,0,28,6,7,3,2,3,4,6,5,2,16,11,8,14,3,22,2,6,13,0,2,3,10,56,27
4,1,1,4,4,1,20-34,1,Female,4,OTH,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,4,0,0,0,130,9,10,0,8,4,9,9,9,6,33,33,10,72,7,114,4,9,23,0,5,4,10,794,143,1,0,0,0,21,2,4,0,1,4,2,1,2,1,11,11,6,16,5,20,1,2,9,0,1,4,6,51,22,1,0,0,0,21,2,4,0,1,4,2,1,2,1,11,11,6,16,5,20,1,2,9,0,1,4,6,51,22,1,0,0,0,21,2,4,0,1,4,2,1,2,1,11,11,6,16,5,20,1,2,9,0,1,4,6,51,22
5,1,0,1,1,1,20-34,2,Male,1,NHW,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,45,6,5,0,827,215,263,36,63,5,179,75,391,34,392,107,67,240,23,0,25,172,85,5,23,27,14,920,0,6,2,4,0,60,16,16,14,8,4,14,10,20,6,43,22,18,33,10,0,6,14,20,2,4,12,8,64,0,6,2,4,0,60,16,16,14,8,4,14,10,20,6,43,22,18,33,10,0,6,14,20,2,4,12,8,64,0,6,2,4,0,60,16,16,14,8,4,14,10,20,6,43,22,18,33,10,0,6,14,20,2,4,12,8,64,0
6,1,0,2,2,1,20-34,2,Male,2,NHB,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,27,2,0,0,111,143,148,0,9,0,154,35,190,22,58,15,15,40,18,0,7,83,8,2,6,4,8,50,0,5,1,0,0,20,12,12,0,2,0,13,6,14,5,15,8,8,12,8,0,1,9,6,1,1,4,6,14,0,5,1,0,0,20,12,12,0,2,0,13,6,14,5,15,8,8,12,8,0,1,9,6,1,1,4,6,14,0,5,1,0,0,20,12,12,0,2,0,13,6,14,5,15,8,8,12,8,0,1,9,6,1,1,4,6,14,0
7,1,0,3,3,1,20-34,2,Male,3,HIS,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,20,3,3,0,253,65,59,11,13,0,58,47,124,11,101,46,23,64,13,0,9,31,23,2,9,16,41,237,0,5,1,3,0,26,9,8,5,4,0,8,7,12,3,16,12,8,13,6,0,2,6,8,1,2,7,11,25,0,5,1,3,0,26,9,8,5,4,0,8,7,12,3,16,12,8,13,6,0,2,6,8,1,2,7,11,25,0,5,1,3,0,26,9,8,5,4,0,8,7,12,3,16,12,8,13,6,0,2,6,8,1,2,7,11,25,0
8,1,0,4,4,1,20-34,2,Male,4,OTH,9,1,0,0,101,25,21,0,8,0,24,9,51,6,60,23,26,111,13,0,4,15,4,1,4,13,7,133,0,9,1,0,0,101,25,21,0,8,0,24,9,51,6,60,23,26,111,13,0,4,15,4,1,4,13,7,133,0,9,1,0,0,101,25,21,0,8,0,24,9,51,6,60,23,26,111,13,0,4,15,4,1,4,13,7,133,0,1,1,0,0,18,5,5,0,1,0,5,2,8,1,14,9,10,19,7,0,1,4,4,1,1,7,5,21,0,1,1,0,0,18,5,5,0,1,0,5,2,8,1,14,9,10,19,7,0,1,4,4,1,1,7,5,21,0,1,1,0,0,18,5,5,0,1,0,5,2,8,1,14,9,10,19,7,0,1,4,4,1,1,7,5,21,0
9,2,1,1,1,2,35-44,1,Female,1,NHW,44,12,0,0,1742,144,389,0,50,21,232,229,697,59,709,402,107,398,123,570,90,253,242,12,33,25,119,3815,1131,44,12,0,0,1742,144,389,0,50,21,232,229,697,59,709,402,107,398,123,570,90,253,242,12,33,25,119,3815,1131,44,12,0,0,1742,144,389,0,50,21,232,229,697,59,709,402,107,398,123,570,90,253,242,12,33,25,119,3815,1131,8,4,0,0,85,12,21,0,8,9,16,16,26,9,54,42,21,40,23,49,10,16,32,4,6,10,22,126,68,8,4,0,0,85,12,21,0,8,9,16,16,26,9,54,42,21,40,23,49,10,16,32,4,6,10,22,126,68,8,4,0,0,85,12,21,0,8,9,16,16,26,9,54,42,21,40,23,49,10,16,32,4,6,10,22,126,68
10,2,1,2,2,2,35-44,1,Female,2,NHB,25,3,0,0,587,109,241,5,10,13,224,125,303,33,183,175,39,73,107,154,46,139,86,3,15,22,77,485,302,25,3,0,0,587,109,241,5,10,13,224,125,303,33,183,175,39,73,107,154,46,139,86,3,15,22,77,485,302,25,3,0,0,587,109,241,5,10,13,224,125,303,33,183,175,39,73,107,154,46,139,86,3,15,22,77,485,302,6,1,0,0,51,11,16,5,4,8,16,12,18,6,28,28,13,18,22,26,7,12,20,1,4,10,19,46,36,6,1,0,0,51,11,16,5,4,8,16,12,18,6,28,28,13,18,22,26,7,12,20,1,4,10,19,46,36,6,1,0,0,51,11,16,5,4,8,16,12,18,6,28,28,13,18,22,26,7,12,20,1,4,10,19,46,36
