diet_pattern,outcome,perc_change,perc_change_UB,perc_change_LB,perc_change_UB_new,perc_change_LB_new
DGAplus,BLUEWATER (L),1.671743462457797,-0.4843879531830193,3.8743108131314217,-0.4843879531830193,3.8743108131314217
Med,BLUEWATER (L),16.755267659419935,14.265137015689325,19.353796808834797,14.265137015689325,19.353796808834797
US,BLUEWATER (L),14.368435211063582,11.996170930666539,16.883836316358288,11.996170930666539,16.883836316358288
Veg,BLUEWATER (L),-2.372566352178068,-4.386511795759185,-0.2638816608677402,-0.2638816608677402,-4.386511795759185
Vegan,BLUEWATER (L),-14.969253174303862,-16.78942135292042,-13.090311411615255,-13.090311411615255,-16.78942135292042
DGAplus,CED (MJ),9.82553120433402,7.427858310162859,12.321543972895848,7.427858310162859,12.321543972895848
Med,CED (MJ),60.904875456557505,57.33490612260786,64.6529857268596,57.33490612260786,64.6529857268596
US,CED (MJ),33.9394622109188,30.918130009328298,37.0045110736092,30.918130009328298,37.0045110736092
Veg,CED (MJ),-28.319495351410833,-29.86406372155696,-26.664135565179564,-26.664135565179564,-29.86406372155696
Vegan,CED (MJ),-54.98908194388016,-56.035685958193795,-53.95580968144108,-53.95580968144108,-56.035685958193795
DGAplus,CVD (deaths),-49.21189807064484,-50.67201143599666,-47.699850438978274,-47.699850438978274,-50.67201143599666
Med,CVD (deaths),-33.82127592366588,-35.16175116228813,-32.58756819018741,-32.58756819018741,-35.16175116228813
US,CVD (deaths),-31.288580159334,-32.614697745004136,-30.046319868722975,-30.046319868722975,-32.614697745004136
Veg,CVD (deaths),-45.551545386709904,-46.94722098238022,-44.106264922728414,-44.106264922728414,-46.94722098238022
Vegan,CVD (deaths),-45.55152967135287,-46.947220809831094,-44.106256237660105,-44.106256237660105,-46.947220809831094
DGAplus,Cancer (cases),-7.959142882294036,-8.274927796070802,-7.675993964676747,-7.675993964676747,-8.274927796070802
Med,Cancer (cases),-5.538219683287113,-5.8390808504158755,-5.263819620394186,-5.263819620394186,-5.8390808504158755
US,Cancer (cases),-5.7934395536365795,-6.081257874742559,-5.5410328521766274,-5.5410328521766274,-6.081257874742559
Veg,Cancer (cases),-8.191594347770296,-8.502334536559342,-7.8999449137098585,-7.8999449137098585,-8.502334536559342
Vegan,Cancer (cases),-7.434882043527481,-7.751586443152264,-7.128161773635984,-7.128161773635984,-7.751586443152264
DGAplus,FL (mrh-eq),3.6889422456333136,1.3634740569936208,6.1180720913197,1.3634740569936208,6.1180720913197
Med,FL (mrh-eq),38.28934915318041,35.134926423320756,41.59948110690978,35.134926423320756,41.59948110690978
US,FL (mrh-eq),26.03046154820174,23.182817102974802,28.975210496345532,23.182817102974802,28.975210496345532
Veg,FL (mrh-eq),-10.044154656007926,-12.027998704967542,-7.933188081060538,-7.933188081060538,-12.027998704967542
Vegan,FL (mrh-eq),-5.435436850557078,-7.6229890825147875,-3.2033893164002425,-3.2033893164002425,-7.6229890825147875
DGAplus,Food_price (USD),11.696562836270994,9.004971381641532,14.492362585925974,9.004971381641532,14.492362585925974
Med,Food_price (USD),37.17850054934045,33.85669088572996,40.5865904268791,33.85669088572996,40.5865904268791
US,Food_price (USD),24.812259137019073,21.816567221702922,27.947410371185704,21.816567221702922,27.947410371185704
Veg,Food_price (USD),-11.55424083342882,-13.633727999257555,-9.348752668988395,-9.348752668988395,-13.633727999257555
Vegan,Food_price (USD),-32.679873457031235,-34.30633839636851,-31.00196514578591,-31.00196514578591,-34.30633839636851
DGAplus,GHG (kgCO2-eq),-24.801455180073916,-26.216419151913982,-23.362018449475528,-23.362018449475528,-26.216419151913982
Med,GHG (kgCO2-eq),10.619656024991798,8.515497077968213,12.772550552833506,8.515497077968213,12.772550552833506
US,GHG (kgCO2-eq),8.153387365446386,6.170332457776941,10.241126323442233,6.170332457776941,10.241126323442233
Veg,GHG (kgCO2-eq),-44.3261598630775,-45.34735948277123,-43.25573119347311,-43.25573119347311,-45.34735948277123
Vegan,GHG (kgCO2-eq),-67.78921096028337,-68.39921410329622,-67.15626446133184,-67.15626446133184,-68.39921410329622
DGAplus,WATER (L-eq),12.293407146823942,9.65495369319364,15.006565244738363,9.65495369319364,15.006565244738363
Med,WATER (L-eq),33.440688280693685,30.302024184908667,36.756836002834824,30.302024184908667,36.756836002834824
US,WATER (L-eq),26.498791948643998,23.546575767371326,29.55562618761717,23.546575767371326,29.55562618761717
Veg,WATER (L-eq),12.398082486481036,9.82196914787398,15.094063416925355,9.82196914787398,15.094063416925355
Vegan,WATER (L-eq),2.560482264462213,0.1466548709747325,5.053973388733944,0.1466548709747325,5.053973388733944
