diet_pattern,food_cat,food_group,outcome,impact_median_year,LB_year,UB_year,impact_median_day,LB_day,UB_day
US,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
Veg,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
Vegan,Dairy,dairy_tot,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot_calculated,BLUEWATER (L),9088477883.66976,8960976774.89621,9212405531.730608,24899939.40731441,24550621.301085506,25239467.210220844
Med,Dairy,dairy_tot_calculated,BLUEWATER (L),3495002976.6734304,3352847768.89799,3625400662.6291947,9575350.621023098,9185884.298350658,9932604.555148479
US,Dairy,dairy_tot_calculated,BLUEWATER (L),9085538574.571365,8953422781.624287,9207724553.400063,24891886.505674973,24529925.429107636,25226642.612054966
Veg,Dairy,dairy_tot_calculated,BLUEWATER (L),9084226289.169264,8951979023.890633,9215562711.042707,24888291.203203462,24525969.928467486,25248117.01655536
Vegan,Dairy,dairy_tot_calculated,BLUEWATER (L),-5927782247.24982,-6064041039.97719,-5802259149.3775,-16240499.307533752,-16613811.068430658,-15896600.409253424
DGAplus,Fruit,fruit_exc_juice,BLUEWATER (L),19004111820.4806,18700498886.7101,19283564906.397,52066059.78213862,51234243.52523315,52831684.67506027
Med,Fruit,fruit_exc_juice,BLUEWATER (L),17844831449.1501,17542061650.8271,18121761342.7195,48889949.1757537,48060442.87897836,49648661.21293014
US,Fruit,fruit_exc_juice,BLUEWATER (L),12366394287.5571,12073300958.0392,12666383595.1869,33880532.29467699,33077536.871340275,34702420.80873123
Veg,Fruit,fruit_exc_juice,BLUEWATER (L),12373385859.8219,12070941065.7109,12637463306.7369,33899687.287183285,33071071.412906572,34623187.141744934
Vegan,Fruit,fruit_exc_juice,BLUEWATER (L),12361338147.2894,12059330790.3018,12656913999.1687,33866679.8555874,33039262.43918301,34676476.71005123
DGAplus,Fruit,fruit_juice,BLUEWATER (L),-5137966320.70511,-5379528738.42281,-4904510577.68839,-14076620.056726327,-14738434.89978852,-13437015.281338055
Med,Fruit,fruit_juice,BLUEWATER (L),7052520252.6641,6809768720.89656,7306611272.76509,19321973.294970136,18656900.605196055,20018113.07606874
US,Fruit,fruit_juice,BLUEWATER (L),4541403802.23691,4286895681.61164,4765289230.22825,12442202.197909342,11744919.675648328,13055586.93213219
Veg,Fruit,fruit_juice,BLUEWATER (L),4528287140.51507,4296961623.79373,4779739374.89116,12406266.138397451,11772497.599434877,13095176.369564822
Vegan,Fruit,fruit_juice,BLUEWATER (L),4534170405.65593,4284367929.11156,4777427360.82498,12422384.673029944,11737994.32633304,13088842.084452
DGAplus,Grains,gr_refined,BLUEWATER (L),-8982659104.34367,-9158402883.82664,-8820741360.47589,-24610024.943407316,-25091514.75020997,-24166414.686235312
Med,Grains,gr_refined,BLUEWATER (L),-7382919799.98776,-7564576387.07883,-7201791468.22197,-20227177.53421304,-20724866.8139146,-19730935.52937526
US,Grains,gr_refined,BLUEWATER (L),-7378363907.43299,-7563082872.49298,-7197752509.31201,-20214695.636802714,-20720774.99313145,-19719869.888526056
Veg,Grains,gr_refined,BLUEWATER (L),-7380715510.57404,-7550243374.05461,-7200948747.16977,-20221138.385134358,-20685598.285081126,-19728626.70457471
Vegan,Grains,gr_refined,BLUEWATER (L),-7379629763.04061,-7570351060.7086,-7200870293.14176,-20218163.734357838,-20740687.837557808,-19728411.76203222
DGAplus,Grains,gr_whole,BLUEWATER (L),8015506427.97108,7946585974.76466,8093820582.97317,21960291.58348241,21771468.424012765,22174850.91225526
Med,Grains,gr_whole,BLUEWATER (L),6490870293.66491,6414131301.08051,6566477506.55132,17783206.284013454,17572962.468713727,17990349.333017316
US,Grains,gr_whole,BLUEWATER (L),6490613773.77493,6418164437.15251,6568438956.62994,17782503.48979433,17584012.156582218,17995723.16884915
Veg,Grains,gr_whole,BLUEWATER (L),8013711373.38936,7948555835.84622,8087612254.16342,21955373.625724275,21776865.303688273,22157841.792228546
Vegan,Grains,gr_whole,BLUEWATER (L),8015614017.82117,7945522023.80409,8092068679.28909,21960586.350194987,21768553.489874218,22170051.176134493
DGAplus,Protein,leg_tot,BLUEWATER (L),3592885551.60891,3539625389.70255,3641990587.30828,9843522.059202494,9697603.807404246,9978056.40358433
Med,Protein,leg_tot,BLUEWATER (L),1125963064.88139,1074566539.91049,1179381139.98533,3084830.3147435347,2944017.9175629863,3231181.2054392607
US,Protein,leg_tot,BLUEWATER (L),1126058036.07475,1073811121.43236,1180251966.8277,3085090.5097938357,2941948.2778968764,3233567.0324046575
Veg,Protein,leg_tot,BLUEWATER (L),6889020308.20763,6838920906.55174,6941849382.37502,18874028.24166474,18736769.606991068,19018765.43116444
Vegan,Protein,leg_tot,BLUEWATER (L),7689793560.6935,7636683614.08041,7743840582.55475,21067927.563543834,20922420.860494275,21216001.596040413
DGAplus,Other,oil,BLUEWATER (L),-46655276.1853483,-73497064.1395177,-20239404.9643004,-127822.6744804063,-201361.81956032244,-55450.42455972713
Med,Other,oil,BLUEWATER (L),-48017695.9990363,-74446722.9032939,-22187208.5319326,-131555.33150420903,-203963.624392586,-60786.8726902263
US,Other,oil,BLUEWATER (L),-46503342.521809,-71813342.664142,-22510974.7389853,-127406.41786796985,-196748.88401134795,-61673.90339448027
Veg,Other,oil,BLUEWATER (L),-46936990.0772538,-72965518.3282947,-21412306.3428069,-128594.49336233918,-199905.52966656082,-58663.85299399151
Vegan,Other,oil,BLUEWATER (L),-48302760.2253002,-74025812.120343,-20083678.1531134,-132336.32938438412,-202810.44416532328,-55023.775761954515
DGAplus,Protein,pf_egg,BLUEWATER (L),-2814762069.76705,-2968907750.12793,-2671098520.3531,-7711676.903471369,-8133993.835966932,-7318078.137953698
Med,Protein,pf_egg,BLUEWATER (L),-1176079706.46063,-1316619776.17811,-1024929588.62583,-3222136.182083918,-3607177.468981123,-2808026.2702077534
US,Protein,pf_egg,BLUEWATER (L),-1172309380.73177,-1318212806.19762,-1015084824.14863,-3211806.522552795,-3611541.934788,-2781054.3127359725
Veg,Protein,pf_egg,BLUEWATER (L),-1529493119.02731,-1680484841.93248,-1385721178.53225,-4190392.1069241366,-4604068.0600889865,-3796496.379540411
Vegan,Protein,pf_egg,BLUEWATER (L),-4608181044.89365,-4767844954.93017,-4453886319.65644,-12625153.547653835,-13062588.917616904,-12202428.273031343
DGAplus,Protein,pf_ns,BLUEWATER (L),4758479786.40807,4368474282.66901,5156345636.4721,13036930.921665944,11968422.692243863,14126974.346498905
Med,Protein,pf_ns,BLUEWATER (L),-681215179.752331,-1072619369.03368,-276708683.274419,-1866342.9582255643,-2938683.202832,-758105.9815737507
US,Protein,pf_ns,BLUEWATER (L),-684856601.13789,-1071952642.37124,-294828213.201981,-1876319.4551723013,-2936856.5544417533,-807748.5293204959
Veg,Protein,pf_ns,BLUEWATER (L),4760131818.21718,4384403083.07329,5133182548.33243,13041457.036211453,12012063.241296684,14063513.831047753
Vegan,Protein,pf_ns,BLUEWATER (L),6818378246.55435,6447981773.71121,7180778172.12247,18680488.346724246,17665703.489619754,19673364.855130054
DGAplus,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_poultry_tot,BLUEWATER (L),-5860411489.13055,-6115019457.66904,-5602113893.13852,-16055921.888028905,-16753477.966216547,-15348257.241475398
Med,Protein,pf_poultry_tot,BLUEWATER (L),-2348136694.25934,-2602200067.45039,-2087704504.10073,-6433251.217148876,-7129315.253288739,-5719738.36739926
US,Protein,pf_poultry_tot,BLUEWATER (L),-2349927002.16845,-2572692985.63031,-2087597366.77593,-6438156.17032452,-7048473.933233726,-5719444.840482
Veg,Protein,pf_poultry_tot,BLUEWATER (L),-13487157086.4803,-13741194570.5235,-13236259280.2275,-36951115.30542548,-37647108.41239315,-36263724.05541781
Vegan,Protein,pf_poultry_tot,BLUEWATER (L),-13494866903.2902,-13762119931.3912,-13234106611.8721,-36972238.09120603,-37704438.16819507,-36257826.33389617
DGAplus,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_redm_tot,BLUEWATER (L),-19824568541.0144,-20296431037.1733,-19360686987.5333,-54313886.41373809,-55606660.37581726,-53042978.048036434
Med,Protein,pf_redm_tot,BLUEWATER (L),-4659975178.21912,-5143547773.88932,-4202412828.72861,-12767055.28279211,-14091911.709285809,-11513459.804735918
US,Protein,pf_redm_tot,BLUEWATER (L),-4665796699.89529,-5106168262.67335,-4205516770.44841,-12783004.65724737,-13989502.089516029,-11521963.754653178
Veg,Protein,pf_redm_tot,BLUEWATER (L),-25822031144.0525,-26260761902.0373,-25360828082.8274,-70745290.8056233,-71947292.88229397,-69481720.77486959
Vegan,Protein,pf_redm_tot,BLUEWATER (L),-25826916536.1532,-26286868295.3878,-25347213248.4925,-70758675.44151561,-72018817.24763781,-69444419.85888356
DGAplus,Protein,pf_seafood,BLUEWATER (L),232483903.968227,222111158.775322,242957769.521811,636942.2026526767,608523.7226721151,665637.7247172905
Med,Protein,pf_seafood,BLUEWATER (L),789905414.991444,779546017.441065,800527879.404318,2164124.424634093,2135742.5135371643,2193227.066861145
US,Protein,pf_seafood,BLUEWATER (L),300826029.522706,289124649.571293,311286295.112279,824180.9028019342,792122.3275925836,852839.1646911753
Veg,Protein,pf_seafood,BLUEWATER (L),-256659940.832177,-267036466.805916,-245620320.176604,-703177.9200881562,-731606.7583723726,-672932.3840454904
Vegan,Protein,pf_seafood,BLUEWATER (L),-256772927.115448,-267672105.013283,-246294079.238965,-703487.4715491727,-733348.2329131041,-674778.2992848356
DGAplus,Other,sat_fat,BLUEWATER (L),-3539086401.16912,-3590497465.47422,-3490128508.40921,-9696127.12649074,-9836979.357463615,-9561995.91344989
Med,Other,sat_fat,BLUEWATER (L),-3703161526.17676,-3754834229.04674,-3650272883.07788,-10145648.01692263,-10287217.06588148,-10000747.624870904
US,Other,sat_fat,BLUEWATER (L),-3704389513.00931,-3756949062.59165,-3650933256.24371,-10149012.364409069,-10293011.130388083,-10002556.866421124
Veg,Other,sat_fat,BLUEWATER (L),-3540093677.41292,-3593743838.86593,-3489511688.22865,-9698886.787432658,-9845873.531139534,-9560305.995146986
Vegan,Other,sat_fat,BLUEWATER (L),-3540227984.84759,-3592378509.53758,-3486972760.78903,-9699254.753007095,-9842132.902842686,-9553350.029558986
DGAplus,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Med,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
US,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Veg,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
Vegan,Other,sodium,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Med,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
US,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Veg,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
Vegan,Other,ssb,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Vegetables,veg_dg,BLUEWATER (L),836155884.792628,773159387.799425,905637270.43082,2290838.040527748,2118244.8980806163,2481198.001180329
Med,Vegetables,veg_dg,BLUEWATER (L),838047348.862239,775193688.840277,905841429.183045,2296020.133869148,2123818.3255898,2481757.3402275206
US,Vegetables,veg_dg,BLUEWATER (L),838034435.604757,769420389.138967,901237839.684003,2295984.755081526,2108001.066134156,2469144.7662575427
Veg,Vegetables,veg_dg,BLUEWATER (L),836174842.957514,767127127.476758,900234557.207206,2290889.980705518,2101718.15747057,2466396.04714303
Vegan,Vegetables,veg_dg,BLUEWATER (L),837154709.675476,768292312.506179,913589629.483819,2293574.5470560985,2104910.445222408,2502985.2862570384
DGAplus,Vegetables,veg_exc_sta,BLUEWATER (L),3166267935.998794,2987440885.0568223,3345769838.107737,0,0,0
Med,Vegetables,veg_exc_sta,BLUEWATER (L),3165326178.8995333,2987946149.689493,3357664160.795622,0,0,0
US,Vegetables,veg_exc_sta,BLUEWATER (L),3168071110.183549,2984361501.290462,3350653389.997325,0,0,0
Veg,Vegetables,veg_exc_sta,BLUEWATER (L),3166590560.946988,2983322787.985811,3352816233.5329046,0,0,0
Vegan,Vegetables,veg_exc_sta,BLUEWATER (L),3169476073.975753,2982058820.424048,3354856349.9088397,0,0,0
DGAplus,Vegetables,veg_oth,BLUEWATER (L),451506016.162656,366258759.393197,527185726.643307,1237002.7840072766,1003448.6558717726,1444344.4565570054
Med,Vegetables,veg_oth,BLUEWATER (L),447861992.849414,366390726.037566,538229280.457467,1227019.1584915451,1003810.2083220986,1474600.7683766219
US,Vegetables,veg_oth,BLUEWATER (L),449658781.767392,365307882.627835,537880224.589662,1231941.8678558685,1000843.514048863,1473644.4509305807
Veg,Vegetables,veg_oth,BLUEWATER (L),450306868.232874,369078347.887543,539283328.914259,1233717.4472133534,1011173.5558562822,1477488.5723678328
Vegan,Vegetables,veg_oth,BLUEWATER (L),451495043.892837,365601315.539059,528412569.483911,1236972.722994074,1001647.4398330383,1447705.6698189343
DGAplus,Vegetables,veg_ro,BLUEWATER (L),1878606035.04351,1848022737.8642,1912946841.03361,5146865.849434274,5063075.994148494,5240950.249407151
Med,Vegetables,veg_ro,BLUEWATER (L),1879416837.18788,1846361734.81165,1913593451.15511,5149087.225172274,5058525.300853835,5242721.783986602
US,Vegetables,veg_ro,BLUEWATER (L),1880377892.8114,1849633229.52366,1911535325.72366,5151720.254277808,5067488.300064822,5237083.084174411
Veg,Vegetables,veg_ro,BLUEWATER (L),1880108849.7566,1847117312.62151,1913298347.41144,5150983.150018082,5060595.377045233,5241913.280579288
Vegan,Vegetables,veg_ro,BLUEWATER (L),1880826320.40744,1848165192.37881,1912854150.94111,5152948.823034082,5063466.28048989,5240696.303948246
DGAplus,Vegetables,veg_sta,BLUEWATER (L),1883160222.27104,1821159682.95482,1942227031.99374,5159343.0747151775,4989478.583437863,5321169.950667781
Med,Vegetables,veg_sta,BLUEWATER (L),1884570630.09685,1826165481.33705,1943176756.51111,5163207.205744795,5003193.099553562,5323771.935646877
US,Vegetables,veg_sta,BLUEWATER (L),1883421398.98923,1825328191.976,1939959770.51737,5160058.627367754,5000899.15609863,5314958.275390055
Veg,Vegetables,veg_sta,BLUEWATER (L),1885778235.83994,1827670455.41739,1942740883.30391,5166515.714629972,5007316.316212027,5322577.762476466
Vegan,Vegetables,veg_sta,BLUEWATER (L),1882543873.75396,1822305075.38658,1943057359.89567,5157654.448640986,4992616.64489474,5323444.821631973
DGAplus,Other,added_sugar,CED (MJ),-129387426.804328,-132051134.78896,-126812662.042562,-354486.1008337753,-361783.93092865753,-347431.9508015397
Med,Other,added_sugar,CED (MJ),-130014573.246812,-132390617.038186,-127530495.13739,-356204.31026523834,-362714.01928270137,-349398.6168147671
US,Other,added_sugar,CED (MJ),-130073601.276746,-132395474.325972,-127591667.948356,-356366.03089519456,-362727.32692047127,-349566.21355713974
Veg,Other,added_sugar,CED (MJ),-129279277.146738,-131646649.57276,-126956427.865685,-354189.8004020219,-360675.752254137,-347825.829769
Vegan,Other,added_sugar,CED (MJ),-129288995.883315,-131880149.045519,-126809671.516876,-354216.42707757535,-361315.47683703835,-347423.75758048217
DGAplus,Dairy,dairy_cow,CED (MJ),734979600.73273,725136691.214662,744537562.113122,2013642.741733507,1986675.8663415397,2039828.9372962245
Med,Dairy,dairy_cow,CED (MJ),283937505.270437,272919950.85345,293995153.194641,777910.973343663,747725.8927491781,805466.1731360027
US,Dairy,dairy_cow,CED (MJ),734732054.664129,724566888.524916,744129790.131326,2012964.533326381,1985114.7630819618,2038711.7537844547
Veg,Dairy,dairy_cow,CED (MJ),734627228.65831,724451553.500178,744754475.176598,2012677.3387898905,1984798.7767128164,2040423.2196619122
Vegan,Dairy,dairy_cow,CED (MJ),-617609483.030422,-628153977.744809,-607966745.880803,-1692080.7754258136,-1720969.8020405727,-1665662.3174816521
DGAplus,Dairy,dairy_soy,CED (MJ),-3425326.20772732,-4133518.02373982,-2722308.11289306,-9384.455363636493,-11324.706914355671,-7458.378391487835
Med,Dairy,dairy_soy,CED (MJ),-3415795.36489582,-4135305.9879192,-2677177.0932259,-9358.343465468,-11329.605446353973,-7334.73176226274
US,Dairy,dairy_soy,CED (MJ),-3408309.15812063,-4197055.3990807,-2673323.02768703,-9337.833309919533,-11498.78191528959,-7324.172678594602
Veg,Dairy,dairy_soy,CED (MJ),-3409911.42969983,-4198806.9749841,-2661440.80632984,-9342.223095068026,-11503.580753381097,-7291.618647479013
Vegan,Dairy,dairy_soy,CED (MJ),225593991.229628,224878365.704118,226367903.525927,618065.7293962411,616105.1115181316,620186.0370573343
DGAplus,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Med,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
US,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Veg,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
Vegan,Dairy,dairy_tot,CED (MJ),0,0,0,0,0,0
DGAplus,Dairy,dairy_tot_calculated,CED (MJ),731554274.5250027,721003173.1909221,741815254.0002289,2004258.2863698704,1975351.159427184,2032370.5589047368
Med,Dairy,dairy_tot_calculated,CED (MJ),280521709.9055412,268784644.8655308,291317976.1014151,768552.629878195,736396.2873028241,798131.44137374
US,Dairy,dairy_tot_calculated,CED (MJ),731323745.5060084,720369833.1258353,741456467.1036389,2003626.7000164613,1973615.981166672,2031387.58110586
Veg,Dairy,dairy_tot_calculated,CED (MJ),731217317.2286103,720252746.5251939,742093034.3702681,2003335.1156948227,1973295.1959594353,2033131.6010144332
Vegan,Dairy,dairy_tot_calculated,CED (MJ),-392015491.800794,-403275612.040691,-381598842.354876,-1074015.0460295726,-1104864.6905224412,-1045476.2804243178
DGAplus,Fruit,fruit_exc_juice,CED (MJ),307352925.834715,302661642.809064,311917376.629147,842062.8105060685,829209.9802988054,854568.155148348
Med,Fruit,fruit_exc_juice,CED (MJ),288586891.123503,283723633.19098,293139653.334719,790649.0167767206,777325.0224410412,803122.3379033398
US,Fruit,fruit_exc_juice,CED (MJ),200262875.608502,195692866.712332,204944343.945298,548665.4126260328,536144.8403077589,561491.353274789
Veg,Fruit,fruit_exc_juice,CED (MJ),200388733.462763,195536328.200153,204703792.893526,549010.2286651041,535715.9676716521,560832.3092973315
Vegan,Fruit,fruit_exc_juice,CED (MJ),200186208.231348,195500405.184852,204783645.111321,548455.3650173919,535617.5484516494,561051.0824967698
DGAplus,Fruit,fruit_juice,CED (MJ),-128784511.786744,-134902230.520182,-122949222.146942,-352834.27886779176,-369595.1521100877,-336847.18396422465
Med,Fruit,fruit_juice,CED (MJ),174470044.478875,168460902.156362,180590448.767701,478000.12185993156,461536.7182366082,494768.3527882219
US,Fruit,fruit_juice,CED (MJ),112028092.934164,105712405.180456,117508220.300734,306926.28201140824,289623.0278916603,321940.329591052
Veg,Fruit,fruit_juice,CED (MJ),111667627.602743,105956834.865567,117859040.454004,305938.70576093975,290292.6982618274,322901.4806959014
Vegan,Fruit,fruit_juice,CED (MJ),111894948.540545,105460005.532781,118036097.447731,306561.5028508082,288931.5220076192,323386.568349948
DGAplus,Grains,gr_refined,CED (MJ),-104592493.76036,-106627205.871442,-102682763.315441,-286554.7774256439,-292129.33115463564,-281322.6392203863
Med,Grains,gr_refined,CED (MJ),-86049131.075356,-88181324.6438361,-83927230.1224804,-235751.04404207124,-241592.6702570852,-229937.6167739189
US,Grains,gr_refined,CED (MJ),-86012748.3029324,-88198844.0802528,-83889179.447591,-235651.3652135134,-241640.66871302135,-229833.3683495644
Veg,Grains,gr_refined,CED (MJ),-86024259.4004484,-87989853.5331531,-83958896.4092886,-235682.9024669819,-241068.09187165234,-230024.37372407835
Vegan,Grains,gr_refined,CED (MJ),-86028313.9593796,-88202322.9321723,-83891151.9693486,-235694.01084761534,-241650.1998141707,-229838.77251876326
DGAplus,Grains,gr_whole,CED (MJ),130545115.860461,129445711.480841,131783589.900286,357657.8516724959,354645.7848790164,361050.93123366026
Med,Grains,gr_whole,CED (MJ),105744902.698156,104528619.224379,106963454.120023,289712.06218672876,286379.77869692876,293050.55923293973
US,Grains,gr_whole,CED (MJ),105730591.939466,104574019.928634,106975013.953022,289672.854628674,286504.1641880384,293082.23000827944
Veg,Grains,gr_whole,CED (MJ),130497429.587412,129492780.211058,131707745.980635,357527.204349074,354774.7403042685,360843.1396729726
Vegan,Grains,gr_whole,CED (MJ),130541296.033278,129445534.57758,131740718.193816,357647.38639254245,354645.30021254794,360933.4745036055
DGAplus,Protein,leg_tot,CED (MJ),60441255.2279325,59588635.1160124,61293125.4027853,165592.4800765274,163256.53456441752,167926.37096653506
Med,Protein,leg_tot,CED (MJ),19771937.0696585,18890476.9451727,20638122.6498392,54169.690601804105,51754.73135663754,56542.80178038137
US,Protein,leg_tot,CED (MJ),19765504.3866789,18918260.3240447,20684530.6750959,54152.066812818906,51830.850202862195,56669.947055057266
Veg,Protein,leg_tot,CED (MJ),114792712.795774,113912006.168695,115651798.429105,314500.58300212055,312087.688133411,316854.24227152055
Vegan,Protein,leg_tot,CED (MJ),128002460.66109,127123548.172904,128863389.788854,350691.6730440822,348283.69362439454,353050.38298316166
DGAplus,Other,oil,CED (MJ),-1498569.93251323,-2363848.73928901,-656172.941607259,-4105.671047981452,-6476.297915860301,-1797.73408659523
Med,Other,oil,CED (MJ),-1539879.24520086,-2397901.59813838,-714423.56340723,-4218.847247125644,-6569.593419557205,-1957.3248312526848
US,Other,oil,CED (MJ),-1495380.39312963,-2302021.62455069,-711336.649651154,-4096.932583916795,-6306.9085604128495,-1948.8675332908326
Veg,Other,oil,CED (MJ),-1509906.53907264,-2349642.28198263,-689486.086599172,-4136.73024403463,-6437.376115020904,-1889.0029769840328
Vegan,Other,oil,CED (MJ),-1547843.73511889,-2391097.2194905,-639721.007448969,-4240.667767449014,-6550.951286275343,-1752.6602943807368
DGAplus,Protein,pf_egg,CED (MJ),-143890007.756918,-151769900.477178,-136545959.227349,-394219.19933402195,-415807.9465128165,-374098.5184310932
Med,Protein,pf_egg,CED (MJ),-60120931.6776742,-67305308.6234242,-52394171.4440788,-164714.88130869644,-184398.10581760056,-143545.675189257
US,Protein,pf_egg,CED (MJ),-59928193.4692842,-67386743.9618945,-51890909.2848347,-164186.83142269644,-184621.21633395753,-142166.87475297178
Veg,Protein,pf_egg,CED (MJ),-78187346.3213201,-85906009.4415224,-70837756.8639156,-214211.90772964412,-235358.9299767737,-194076.0462025085
Vegan,Protein,pf_egg,CED (MJ),-235569184.840516,-243731168.228177,-227681672.979498,-645395.0269603179,-667756.6252826768,-623785.4054232822
DGAplus,Protein,pf_ns,CED (MJ),12754046.3565838,11749926.6170517,13848094.0565005,34942.592757763836,32191.579772744382,37939.983716439725
Med,Protein,pf_ns,CED (MJ),-1460007.96454803,-2486412.75045857,-427118.095009245,-4000.021820679534,-6812.089727283754,-1170.1865616691643
US,Protein,pf_ns,CED (MJ),-1473989.26803248,-2472017.8551591,-432347.82627548,-4038.326761732822,-6772.651657970137,-1184.5145925355616
Veg,Protein,pf_ns,CED (MJ),12771397.2226495,11749391.6046939,13747999.810811,34990.12937712192,32190.113985462744,37665.75290633151
Vegan,Protein,pf_ns,CED (MJ),18135630.2002177,17194650.054349,19093471.6308316,49686.65808278822,47108.63028588767,52310.88118036055
DGAplus,Protein,pf_pm,CED (MJ),0,0,0,0,0,0
Med,Protein,pf_pm,CED (MJ),0,0,0,0,0,0
US,Protein,pf_pm,CED (MJ),0,0,0,0,0,0
Veg,Protein,pf_pm,CED (MJ),0,0,0,0,0,0
Vegan,Protein,pf_pm,CED (MJ),0,0,0,0,0,0
DGAplus,Protein,pf_poultry,CED (MJ),0,0,0,0,0,0
Med,Protein,pf_poultry,CED (MJ),0,0,0,0,0,0
US,Protein,pf_poultry,CED (MJ),0,0,0,0,0,0
Veg,Protein,pf_poultry,CED (MJ),0,0,0,0,0,0
Vegan,Protein,pf_poultry,CED (MJ),0,0,0,0,0,0
DGAplus,Protein,pf_poultry_tot,CED (MJ),-183095873.449108,-191055399.761792,-175028148.784141,-501632.5299975562,-523439.4514021699,-479529.17475107126
