diet_pattern,food_cat,food_group,outcome,impact_median_day,LB_day,UB_day,impact_median_year,LB_year,UB_year
Veg,Grains,gr_whole,BLUEWATER (L),32.7218308895107,32.4558552726772,33.0235200480767,11943.468274671404,11846.387174527177,12053.584817547995
Vegan,Grains,gr_whole,BLUEWATER (L),32.7295551938029,32.4434290709736,33.0417157702289,11946.287645738059,11841.851610905363,12060.226256133548
DGAplus,Protein,leg_tot,BLUEWATER (L),14.6721819841086,14.4546816791031,14.8727067953269,5355.346424199639,5275.958812872632,5428.537980294319
Med,Protein,leg_tot,BLUEWATER (L),4.59806650851874,4.38818044694695,4.81620916651189,1678.2942756093403,1601.6858631356367,1757.91634577684
US,Protein,leg_tot,BLUEWATER (L),4.59845500882393,4.38509514551306,4.81976584904835,1678.4360782207345,1600.5597281122668,1759.2145349026478
Veg,Protein,leg_tot,BLUEWATER (L),28.1325290175372,27.9279387067921,28.3482656389122,10268.373091401078,10193.697627979118,10347.116958202952
Vegan,Protein,leg_tot,BLUEWATER (L),31.4026280592041,31.1857429704046,31.6233394356875,11461.959241609497,11382.79618419768,11542.518894025938
DGAplus,Other,oil,BLUEWATER (L),-0.190524930225435,-0.300137929660803,-0.0826515510445336,-69.54159953228378,-109.5503443261931,-30.167816131254764
Med,Other,oil,BLUEWATER (L),-0.196088836687289,-0.304015851973411,-0.0906056385985547,-71.57242539086049,-110.96578597029502,-33.07105808847246
US,Other,oil,BLUEWATER (L),-0.189904630783046,-0.293262138835224,-0.0919282473385373,-69.3151902358118,-107.04068067485676,-33.55381027856611
Veg,Other,oil,BLUEWATER (L),-0.191675632761603,-0.297967461406833,-0.087440929449496,-69.96160595798509,-108.75812341349405,-31.91593924906604
Vegan,Other,oil,BLUEWATER (L),-0.197253244081742,-0.302297347978285,-0.0820160278729874,-71.99743408983583,-110.33853201207403,-29.9358501736404
DGAplus,Protein,pf_egg,BLUEWATER (L),-11.4945459619585,-12.1240253153918,-10.9078721220863,-4195.509276114853,-4425.269240118007,-3981.3733245614994
Med,Protein,pf_egg,BLUEWATER (L),-4.80271579116354,-5.37663438563931,-4.18546931222709,-1752.9912637746922,-1962.471550758348,-1527.6962989628878
US,Protein,pf_egg,BLUEWATER (L),-4.78731904312314,-5.38313978692163,-4.14526658994968,-1747.371450739946,-1964.846022226395,-1513.022305331633
Veg,Protein,pf_egg,BLUEWATER (L),-6.24593785172531,-6.86253749879686,-5.65882137896523,-2279.7673158797384,-2504.826187060854,-2065.469803322309
Vegan,Protein,pf_egg,BLUEWATER (L),-18.8182686524335,-19.4702826084595,-18.1881806496228,-6868.668058138227,-7106.653152087717,-6638.685937112322
DGAplus,Protein,pf_ns,BLUEWATER (L),19.4320383955028,17.8393864849573,21.0567893289389,7092.6940143585225,6511.376067009414,7685.728105062699
Med,Protein,pf_ns,BLUEWATER (L),-2.78185473569886,-4.38021840974464,-1.12998562547564,-1015.376978530084,-1598.7797195567937,-412.4447532986086
US,Protein,pf_ns,BLUEWATER (L),-2.79672508155606,-4.37749572126318,-1.20397971961188,-1020.8046547679619,-1597.785938261061,-439.4525976583362
Veg,Protein,pf_ns,BLUEWATER (L),19.438784740341,17.9044343731367,20.9621990315557,7095.156430224465,6535.118546194895,7651.20264651783
Vegan,Protein,pf_ns,BLUEWATER (L),27.8439740903299,26.3313988972177,29.323894061469,10163.050542970414,9610.96059748446,10703.221332436186
DGAplus,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_pm,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_poultry,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_poultry_tot,BLUEWATER (L),-23.9319585627981,-24.9716922682081,-22.8771576540877,-8735.164875421307,-9114.667677895955,-8350.16254374201
Med,Protein,pf_poultry_tot,BLUEWATER (L),-9.5890041460446,-10.6265139063763,-8.52548626938107,-3499.986513306279,-3878.6775758273493,-3111.8024883240905
US,Protein,pf_poultry_tot,BLUEWATER (L),-9.59631516418299,-10.5060168626556,-8.52504875641422,-3502.6550349267914,-3834.696154869294,-3111.64279609119
Veg,Protein,pf_poultry_tot,BLUEWATER (L),-55.0770342871403,-56.1144383248595,-54.0524516424104,-20103.11751480621,-20481.769988573717,-19729.144849479795
Vegan,Protein,pf_poultry_tot,BLUEWATER (L),-55.1085185978862,-56.1998904932143,-54.043660865521,-20114.609288228465,-20512.96003002322,-19725.936215915164
DGAplus,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Med,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
US,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Veg,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
Vegan,Protein,pf_redm,BLUEWATER (L),0,0,0,0,0,0
DGAplus,Protein,pf_redm_tot,BLUEWATER (L),-80.9570876583226,-82.8840403064999,-79.0627236729339,-29549.33699528775,-30252.674711872463,-28857.894140620872
Med,Protein,pf_redm_tot,BLUEWATER (L),-19.0298607567387,-21.0046081307199,-17.1613148933327,-6945.899176209626,-7666.681967712764,-6263.879936066436
US,Protein,pf_redm_tot,BLUEWATER (L),-19.0536274894376,-20.851984011078,-17.1739507950166,-6954.574033644723,-7610.9741640434695,-6268.49204018106
Veg,Protein,pf_redm_tot,BLUEWATER (L),-105.448717701402,-107.240355904303,-103.565309230403,-38488.78196101173,-39142.7299050706,-37801.33786909709
Vegan,Protein,pf_redm_tot,BLUEWATER (L),-105.468691969733,-107.346929440846,-103.509771851386,-38496.07256895254,-39181.629245908785,-37781.06672575589
