diet_pattern,outcome,age_gp,sex_gp,perc_change,perc_change_LB,perc_change_UB
DGAplus,BLUEWATER (L),20-34,Female,3.937534935841743,14.945278724699657,-5.1489352677678335
DGAplus,BLUEWATER (L),20-34,Male,-5.379939669144786,5.223745264867909,-13.956174280649183
DGAplus,BLUEWATER (L),35-44,Female,3.9115866835293813,17.65055194281509,-7.181342351201046
DGAplus,BLUEWATER (L),35-44,Male,-4.034625506984728,9.769718068800598,-14.754234561332835
DGAplus,BLUEWATER (L),45-54,Female,2.7336465937434813,19.55453557284934,-10.015375456001498
DGAplus,BLUEWATER (L),45-54,Male,-3.4287758203622114,12.547561197325102,-15.325408122012737
DGAplus,BLUEWATER (L),55-64,Female,3.864576871141527,18.81098640357,-7.651156550200905
DGAplus,BLUEWATER (L),55-64,Male,-2.5901079193080085,12.580757406025203,-14.073841796702647
DGAplus,BLUEWATER (L),65-74,Female,0.964750116366251,17.911208557442816,-11.699195759959121
DGAplus,BLUEWATER (L),65-74,Male,-3.637579686997073,12.6810379493015,-15.856162513801486
DGAplus,BLUEWATER (L),75+,Female,0.05151932976836704,19.45732051396379,-13.860395987392241
DGAplus,BLUEWATER (L),75+,Male,-3.739832228691655,19.453703574360112,-19.523894898713497
Med,BLUEWATER (L),20-34,Female,19.35666177850264,32.055555890267705,8.901112324937053
Med,BLUEWATER (L),20-34,Male,8.110942698080835,20.432837554705685,-1.8781977145483026
Med,BLUEWATER (L),35-44,Female,19.584270080596948,35.5471290017585,6.845287209138819
Med,BLUEWATER (L),35-44,Male,9.204935040231605,24.80519086146423,-2.9793198470713373
Med,BLUEWATER (L),45-54,Female,17.20996093668077,36.33151766009763,2.52106415975501
Med,BLUEWATER (L),45-54,Male,9.557228779964966,27.46567163369148,-4.255541534173879
Med,BLUEWATER (L),55-64,Female,18.266570212819463,35.24447123091831,5.254568384904001
Med,BLUEWATER (L),55-64,Male,11.911919869220315,29.196089300229406,-1.3854303577010885
Med,BLUEWATER (L),65-74,Female,15.023295384082347,34.3767223308173,0.6502359946664413
Med,BLUEWATER (L),65-74,Male,9.606515617819204,27.940218127032608,-4.209860762513947
Med,BLUEWATER (L),75+,Female,15.925978051781566,38.67713440642104,-0.29354300124664584
Med,BLUEWATER (L),75+,Male,11.557503791230966,38.71381038248035,-6.491971917068913
US,BLUEWATER (L),20-34,Female,17.140720450627565,29.685517092853203,6.758144654170793
US,BLUEWATER (L),20-34,Male,6.738271930742326,18.765127873448453,-3.0449095108583495
US,BLUEWATER (L),35-44,Female,17.215491008098642,33.02840768887423,4.984024685918877
US,BLUEWATER (L),35-44,Male,7.220591121682861,22.55927733773975,-4.766614853554946
