subgroup,2018_pop
1,18192633
2,4596338
3,6549965
4,3878604
5,19295314
6,4186659
7,6886181
8,3785306
9,10789518
10,2841551
11,4706043
12,2705155
13,10698668
14,2373836
15,4477083
16,2268050
17,12961330
18,2294986
19,2981376
20,1908325
21,10622756
22,2323392
23,3207152
24,2807268
25,16626401
26,3005374
27,2911586
28,2629488
29,15564860
30,2050599
31,2832735
32,2195076
33,11513863
34,1390166
35,1616432
36,1089947
37,10345066
38,1099252
39,1168063
40,989548
41,9145660
42,1249362
43,737080
44,689818
45,6831819
46,670963
47,548525
48,638884
