foodcode,description,Foodgroup
91200040,"Sugar substitute, saccharin, powder",other
92410320,"Soft drink, cola, diet",other
92410520,"Soft drink, fruit flavored, diet, caffeine free",other
92410370,"Soft drink, pepper type, diet",other
92410350,"Soft drink, cola, decaffeinated, diet",other
91201010,"Sugar substitute, aspartame, powder",other
91107000,"Sugar substitute, sucralose, powder",other
92410210,"Carbonated water, unsweetened",water
93301217,Vodka and water,other
93301218,Vodka and tonic,other
91108000,"Sugar substitute, stevia, powder",other
93106000,"Alcoholic malt beverage, sweetened",other
93505000,Vodka,other
92410560,"Soft drink, fruit flavored, caffeine containing, diet",other
95330100,"Fluid replacement, electrolyte solution",other
93502000,Whiskey,other
92411610,"Soft drink, cola, fruit or vanilla flavored, diet",other
92410720,"Soft drink, root beer, diet",other
93301182,Whiskey and cola,other
92410400,"Soft drink, pepper type, decaffeinated, diet",other
93301211,Vodka and soda,other
91200000,"Sugar substitute, powder, NFS",other
92410250,"Carbonated water, sweetened, with low-calorie or no-calorie sweetener",water
93501000,Brandy,other
94210100,"Water, bottled, flavored (Propel Water)",water
93505100,Tequila,other
93502100,Scotch,other
92400100,"Soft drink, NFS, diet",other
91770020,Dietetic or low calorie hard candy,other
93503000,Gin,other
93301215,Vodka and diet cola,other
92410420,"Soft drink, cream soda, diet",other
93301181,Whiskey and water,other
93301216,Vodka and energy drink,other
93301240,Black Russian,other
93301183,Whiskey and diet cola,other
92410620,"Soft drink, ginger ale, diet",other
92550610,"Fruit flavored drink, with high vitamin C, diet",other
93201000,Cordial or liqueur,other
75236500,Yeast extract spread,other
75236000,Yeast,other
93301170,Whiskey and soda,other
93301205,Brandy and cola,other
93301214,Vodka and cola,other
27450660,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce",pf_seafood
91200110,"Sugar substitute, saccharin, liquid",other
91106010,Sugar substitute and sugar blend,other
93301184,Whiskey and ginger ale,other
75215990,"Corn, cooked, from restaurant",veg_oth
93202000,"Cordial or liqueur, coffee flavored",other
56207210,"Whole wheat cereal, cooked, fat added",gr_whole
71962020,"Dasheen, cooked",veg_sta
93301045,"Gelatin shot, alcoholic",other
91108020,"Sugar substitute, monk fruit, powder",other
26141130,"Sea bass, coated, baked or broiled, fat added",pf_seafood
