foodcode_prefix,foodcode_desc,mixed_dish
27,"Meat, poultry, fish mixtures",1
28,"Frozen meals, soups, gravies",1
32,Egg mixtures,1
33,Egg substitutes,1
416,Legume - mixed,1
418,Legume - mixed,1
419,Legume - mixed,1
423,Nuts - mixed,1
58,"Grain mixtures, frozen meals, soups",1
59,Meat substitutes,1
76,Vegetables and mixtures mostly vegetables baby food,1
77,"Vegetables with meat, poultry, fish",1
78,"Mixtures mostly vegetables without meat, poultry, fish",1
