note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
sat_fat_adj,Overall,16147,26.27,0.17,22.34,0.18,26.10,0.17,30.01,0.22,5.67,0.07,32.19,0.16,0.02,1.79,36
sat_fat_adj,1,9759,26.03,0.19,22.12,0.18,25.86,0.19,29.77,0.25,5.65,,,0.16,,,36
sat_fat_adj,2,6388,26.94,0.20,22.99,0.24,26.77,0.20,30.69,0.22,5.70,,,0.16,,,36
