note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_ns_adj,Overall,16147,0.64,0.03,0.17,0.02,0.42,0.03,0.86,0.04,0.70,0.00,0.49,0.04,0.00,0.05,36
pf_ns_adj,1,9759,0.67,0.04,0.18,0.02,0.44,0.04,0.90,0.05,0.72,,,0.04,,,36
pf_ns_adj,2,6388,0.57,0.03,0.15,0.02,0.37,0.03,0.76,0.04,0.62,,,0.03,,,36
