note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
ssb_adj,Overall,16147,282.75,10.76,88.42,6.89,218.92,11.79,407.27,15.39,251.28,204.84,63142.77,6.86,69.98,3479.88,36
ssb_adj,1,9759,299.82,12.16,95.37,7.70,234.77,13.49,433.56,17.71,262.30,,,7.39,,,36
ssb_adj,2,6388,233.52,8.69,72.51,5.70,180.28,9.45,335.76,12.19,208.70,,,6.08,,,36
