note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
leg_tot_adj,Overall,16147,0.48,0.03,0.16,0.01,0.33,0.02,0.64,0.03,0.49,0.00,0.24,0.03,0.00,0.03,36
leg_tot_adj,1,9759,0.53,0.03,0.19,0.02,0.37,0.02,0.71,0.04,0.52,,,0.03,,,36
leg_tot_adj,2,6388,0.34,0.02,0.11,0.01,0.23,0.02,0.45,0.03,0.35,,,0.02,,,36
