note,inAnalysis_num,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_egg_adj,Overall,16147,0.60,0.01,0.23,0.01,0.43,0.01,0.77,0.02,0.58,0.00,0.33,0.03,0.00,0.03,36
pf_egg_adj,1,9759,0.64,0.02,0.25,0.01,0.46,0.01,0.82,0.02,0.60,,,0.03,,,36
pf_egg_adj,2,6388,0.50,0.02,0.19,0.01,0.35,0.02,0.63,0.02,0.48,,,0.02,,,36
