food_cat,food_group
Other,added_sugar
Dairy,dairy_tot
Dairy,dairy_tot_calculated
Dairy,dairy_cow
Dairy,dairy_soy
Fruit,fruit_tot
Fruit,fruit_exc_juice
Fruit,fruit_juice
Grains,gr_refined
Grains,gr_whole
Other,oil
Protein,pf_egg
Protein,pf_leg
Protein,pf_ns
Protein,pf_pm
Protein,pf_poultry_tot
Protein,pf_poultry
Protein,pf_redm_tot
Protein,pf_redm
Protein,pf_seafood
Protein,pf_soy
Other,sat_fat
Vegetables,veg_dg
Vegetables,veg_leg
Vegetables,veg_oth
Vegetables,veg_ro
Vegetables,veg_sta
Vegetables,veg_exc_sta
Protein,leg_tot
Other,ssb
Other,sea_omega3_fa
Other,sodium
Other,fiber
Other,pf_animal
Other,pf_plant
Other,pufa_rep_carb
Other,pufa_rep_sfa
Other,pufa_rep_carbsfa
Other,babyfood
Other,coffee_tea
Other,other
Other,water
