year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,9.212000038
2017,NHB,age_2044,Female,2,9.1460000193
2017,HIS,age_2044,Female,3,6.7639999328
2017,Other,age_2044,Female,4,6.8290000118
2017,NHW,age_2044,Male,5,9.7719999399
2017,NHB,age_2044,Male,6,9.3119999933
2017,HIS,age_2044,Male,7,6.5759999211
2017,Other,age_2044,Male,8,7.7000008395
2017,NHW,age_4554,Female,9,40.279999789
2017,NHB,age_4554,Female,10,52.500000539
2017,HIS,age_4554,Female,11,33.794999959
2017,Other,age_4554,Female,12,37.143000875
2017,NHW,age_4554,Male,13,52.171000078
2017,NHB,age_4554,Male,14,60.956000114
2017,HIS,age_4554,Male,15,39.162000052
2017,Other,age_4554,Male,16,48.153999588
2017,NHW,age_5564,Female,17,59.905999962
2017,NHB,age_5564,Female,18,85.609999931
2017,HIS,age_5564,Female,19,58.711999581
2017,Other,age_5564,Female,20,56.690000919
2017,NHW,age_5564,Male,21,88.64599999
2017,NHB,age_5564,Male,22,124.22900001
2017,HIS,age_5564,Male,23,87.616999854
2017,Other,age_5564,Male,24,90.332999763
2017,NHW,age_65+,Female,25,150.37300008
2017,NHB,age_65+,Female,26,162.44099938
2017,HIS,age_65+,Female,27,125.9699997
2017,Other,age_65+,Female,28,122.55500041
2017,NHW,age_65+,Male,29,193.69599987
2017,NHB,age_65+,Male,30,229.06199965
2017,HIS,age_65+,Male,31,191.04900047
2017,Other,age_65+,Male,32,168.80899752
2018,NHW,age_2044,Female,1,10.943756466
2018,NHB,age_2044,Female,2,10.874903527
2018,HIS,age_2044,Female,3,8.0005153503
2018,Other,age_2044,Female,4,8.1613992256
2018,NHW,age_2044,Male,5,11.894096559
2018,NHB,age_2044,Male,6,11.114969388
2018,HIS,age_2044,Male,7,7.8948528458
2018,Other,age_2044,Male,8,9.4008907143
2018,NHW,age_4554,Female,9,42.975485317
2018,NHB,age_4554,Female,10,55.15908637
2018,HIS,age_4554,Female,11,36.236526079
2018,Other,age_4554,Female,12,39.65695326
2018,NHW,age_4554,Male,13,56.7764396
2018,NHB,age_4554,Male,14,66.821089512
2018,HIS,age_4554,Male,15,43.286349529
2018,Other,age_4554,Male,16,53.616356202
2018,NHW,age_5564,Female,17,64.805976701
2018,NHB,age_5564,Female,18,87.036502816
2018,HIS,age_5564,Female,19,61.813405734
2018,Other,age_5564,Female,20,60.273588905
2018,NHW,age_5564,Male,21,92.664826376
2018,NHB,age_5564,Male,22,126.35735216
2018,HIS,age_5564,Male,23,91.620876796
2018,Other,age_5564,Male,24,95.295619596
2018,NHW,age_65+,Female,25,139.1199935
2018,NHB,age_65+,Female,26,150.01786952
2018,HIS,age_65+,Female,27,117.8965112
2018,Other,age_65+,Female,28,114.02921285
2018,NHW,age_65+,Male,29,177.1283157
2018,NHB,age_65+,Male,30,212.78653766
2018,HIS,age_65+,Male,31,178.80956983
2018,Other,age_65+,Male,32,157.04606425
2019,NHW,age_2044,Female,1,12.394833533
2019,NHB,age_2044,Female,2,12.422534947
2019,HIS,age_2044,Female,3,9.1067281257
2019,Other,age_2044,Female,4,9.4166261067
2019,NHW,age_2044,Male,5,13.748017829
2019,NHB,age_2044,Male,6,12.791052517
2019,HIS,age_2044,Male,7,9.1105995248
2019,Other,age_2044,Male,8,11.033146542
2019,NHW,age_4554,Female,9,44.803419501
2019,NHB,age_4554,Female,10,57.613310712
2019,HIS,age_4554,Female,11,38.376175652
2019,Other,age_4554,Female,12,41.520895895
2019,NHW,age_4554,Male,13,60.148051872
2019,NHB,age_4554,Male,14,72.235223054
2019,HIS,age_4554,Male,15,47.216741601
2019,Other,age_4554,Male,16,58.025120335
2019,NHW,age_5564,Female,17,70.553192172
2019,NHB,age_5564,Female,18,90.401816021
2019,HIS,age_5564,Female,19,65.563231622
2019,Other,age_5564,Female,20,64.256691708
2019,NHW,age_5564,Male,21,98.166565792
2019,NHB,age_5564,Male,22,130.86308353
2019,HIS,age_5564,Male,23,96.959670085
2019,Other,age_5564,Male,24,99.973203117
2019,NHW,age_65+,Female,25,133.81333411
2019,NHB,age_65+,Female,26,144.16726687
2019,HIS,age_65+,Female,27,114.05592738
2019,Other,age_65+,Female,28,109.99138424
2019,NHW,age_65+,Male,29,169.38371893
2019,NHB,age_65+,Male,30,205.08773837
2019,HIS,age_65+,Male,31,172.98711384
2019,Other,age_65+,Male,32,151.47563175
2020,NHW,age_2044,Female,1,13.894239428
2020,NHB,age_2044,Female,2,13.989279145
2020,HIS,age_2044,Female,3,10.242406837
2020,Other,age_2044,Female,4,10.694160056
2020,NHW,age_2044,Male,5,15.679582249
2020,NHB,age_2044,Male,6,14.520270813
2020,HIS,age_2044,Male,7,10.370165422
2020,Other,age_2044,Male,8,12.72287337
2020,NHW,age_4554,Female,9,46.199816626
2020,NHB,age_4554,Female,10,59.700556515
2020,HIS,age_4554,Female,11,40.396234579
2020,Other,age_4554,Female,12,43.139030023
2020,NHW,age_4554,Male,13,62.854866164
2020,NHB,age_4554,Male,14,77.202876598
2020,HIS,age_4554,Male,15,51.077009114
2020,Other,age_4554,Male,16,62.218516852
2020,NHW,age_5564,Female,17,75.789012356
2020,NHB,age_5564,Female,18,93.500119045
2020,HIS,age_5564,Female,19,69.213275643
2020,Other,age_5564,Female,20,67.983326494
2020,NHW,age_5564,Male,21,103.006988
2020,NHB,age_5564,Male,22,135.18673876
2020,HIS,age_5564,Male,23,102.34945337
2020,Other,age_5564,Male,24,104.11758517
2020,NHW,age_65+,Female,25,128.70909421
2020,NHB,age_65+,Female,26,138.54483389
2020,HIS,age_65+,Female,27,110.34045545
2020,Other,age_65+,Female,28,106.09653981
2020,NHW,age_65+,Male,29,161.9777396
2020,NHB,age_65+,Male,30,197.66749194
2020,HIS,age_65+,Male,31,167.35424932
2020,Other,age_65+,Male,32,146.10278697
2021,NHW,age_2044,Female,1,15.367682841
2021,NHB,age_2044,Female,2,15.489561181
2021,HIS,age_2044,Female,3,11.368911841
2021,Other,age_2044,Female,4,11.950216792
2021,NHW,age_2044,Male,5,17.57360699
2021,NHB,age_2044,Male,6,16.188264302
2021,HIS,age_2044,Male,7,11.603735415
2021,Other,age_2044,Male,8,14.390422061
2021,NHW,age_4554,Female,9,47.157613393
2021,NHB,age_4554,Female,10,61.315228841
2021,HIS,age_4554,Female,11,42.2165917
2021,Other,age_4554,Female,12,44.509003467
2021,NHW,age_4554,Male,13,64.856578885
2021,NHB,age_4554,Male,14,81.419651623
2021,HIS,age_4554,Male,15,54.647515485
2021,Other,age_4554,Male,16,66.112443188
2021,NHW,age_5564,Female,17,80.374848771
2021,NHB,age_5564,Female,18,96.181882576
2021,HIS,age_5564,Female,19,72.531060252
2021,Other,age_5564,Female,20,71.179845341
2021,NHW,age_5564,Male,21,107.0028476
2021,NHB,age_5564,Male,22,138.96614827
2021,HIS,age_5564,Male,23,107.33550262
2021,Other,age_5564,Male,24,107.4517344
2021,NHW,age_65+,Female,25,123.79955287
2021,NHB,age_65+,Female,26,133.14167297
2021,HIS,age_65+,Female,27,106.7460182
2021,Other,age_65+,Female,28,102.33961017
2021,NHW,age_65+,Male,29,154.89557246
2021,NHB,age_65+,Male,30,190.51571368
2021,HIS,age_65+,Male,31,161.90480511
2021,Other,age_65+,Male,32,140.92052087
2022,NHW,age_2044,Female,1,16.900682309
2022,NHB,age_2044,Female,2,17.027419782
2022,HIS,age_2044,Female,3,12.509542942
2022,Other,age_2044,Female,4,13.232995512
2022,NHW,age_2044,Male,5,19.553452292
2022,NHB,age_2044,Male,6,17.907842623
2022,HIS,age_2044,Male,7,12.848389867
2022,Other,age_2044,Male,8,16.08849139
2022,NHW,age_4554,Female,9,47.775552316
2022,NHB,age_4554,Female,10,62.528982834
2022,HIS,age_4554,Female,11,43.881829233
2022,Other,age_4554,Female,12,45.654963481
