year,race_gp,age_gp,sex,subgroup_id,crude_rate
2017,NHW,age_2044,Female,1,0.1050000807
2017,NHB,age_2044,Female,2,0.0230001168
2017,HIS,age_2044,Female,3,0.0440002023
2017,Other,age_2044,Female,4,0.0259996971
2017,NHW,age_2044,Male,5,0.5770000056
2017,NHB,age_2044,Male,6,0.1089999251
2017,HIS,age_2044,Male,7,0.2850003207
2017,Other,age_2044,Male,8,0.201000887
2017,NHW,age_4554,Female,9,0.7620000382
2017,NHB,age_4554,Female,10,0.1720000934
2017,HIS,age_4554,Female,11,0.2430002764
2017,Other,age_4554,Female,12,0.212000659
2017,NHW,age_4554,Male,13,5.2739999776
2017,NHB,age_4554,Male,14,0.9930003419
2017,HIS,age_4554,Male,15,1.7160001189
2017,Other,age_4554,Male,16,1.5090007214
2017,NHW,age_5564,Female,17,1.8710000103
2017,NHB,age_5564,Female,18,0.7520006978
2017,HIS,age_5564,Female,19,0.82400026
2017,Other,age_5564,Female,20,0.5919986172
2017,NHW,age_5564,Male,21,15.134000045
2017,NHB,age_5564,Male,22,3.3299999728
2017,HIS,age_5564,Male,23,5.6280003267
2017,Other,age_5564,Male,24,3.6670002374
2017,NHW,age_65+,Female,25,4.1820000889
2017,NHB,age_65+,Female,26,1.487999912
2017,HIS,age_65+,Female,27,2.1680014002
2017,Other,age_65+,Female,28,1.0579986631
2017,NHW,age_65+,Male,29,29.185999832
2017,NHB,age_65+,Male,30,5.4089986933
2017,HIS,age_65+,Male,31,12.747000275
2017,Other,age_65+,Male,32,6.956000244
2018,NHW,age_2044,Female,1,0.1342777399
2018,NHB,age_2044,Female,2,0.0282775937
2018,HIS,age_2044,Female,3,0.0510618153
2018,Other,age_2044,Female,4,0.0332162354
2018,NHW,age_2044,Male,5,0.7492553045
2018,NHB,age_2044,Male,6,0.1363484853
2018,HIS,age_2044,Male,7,0.3341350756
2018,Other,age_2044,Male,8,0.2487980033
2018,NHW,age_4554,Female,9,0.9194944241
2018,NHB,age_4554,Female,10,0.2310685457
2018,HIS,age_4554,Female,11,0.2943356909
2018,Other,age_4554,Female,12,0.2482254
2018,NHW,age_4554,Male,13,6.3361093846
2018,NHB,age_4554,Male,14,1.1881470364
2018,HIS,age_4554,Male,15,2.057468337
2018,Other,age_4554,Male,16,1.7207264519
2018,NHW,age_5564,Female,17,2.1309928382
2018,NHB,age_5564,Female,18,0.8109683597
2018,HIS,age_5564,Female,19,0.9248836563
2018,Other,age_5564,Female,20,0.6326318074
2018,NHW,age_5564,Male,21,16.585783481
2018,NHB,age_5564,Male,22,3.4739039032
2018,HIS,age_5564,Male,23,6.249958457
2018,Other,age_5564,Male,24,4.0260763129
2018,NHW,age_65+,Female,25,4.2443804661
2018,NHB,age_65+,Female,26,1.4619035481
2018,HIS,age_65+,Female,27,2.1189014712
2018,Other,age_65+,Female,28,1.0579998923
2018,NHW,age_65+,Male,29,29.640138817
2018,NHB,age_65+,Male,30,5.3525690088
2018,HIS,age_65+,Male,31,12.676162064
2018,Other,age_65+,Male,32,7.1304393414
2019,NHW,age_2044,Female,1,0.1622972178
2019,NHB,age_2044,Female,2,0.0333496857
2019,HIS,age_2044,Female,3,0.0580978475
2019,Other,age_2044,Female,4,0.0401702476
2019,NHW,age_2044,Male,5,0.9157745049
2019,NHB,age_2044,Male,6,0.1613628914
2019,HIS,age_2044,Male,7,0.3827380785
2019,Other,age_2044,Male,8,0.2952618695
2019,NHW,age_4554,Female,9,1.0605845798
2019,NHB,age_4554,Female,10,0.2907369999
2019,HIS,age_4554,Female,11,0.3479672119
2019,Other,age_4554,Female,12,0.2847817853
2019,NHW,age_4554,Male,13,7.4268093841
2019,NHB,age_4554,Male,14,1.411158266
2019,HIS,age_4554,Male,15,2.4286218355
2019,Other,age_4554,Male,16,1.9395732684
2019,NHW,age_5564,Female,17,2.3769897693
2019,NHB,age_5564,Female,18,0.8715395936
2019,HIS,age_5564,Female,19,1.0283010968
2019,Other,age_5564,Female,20,0.6747668451
2019,NHW,age_5564,Male,21,18.027246718
2019,NHB,age_5564,Male,22,3.6338755285
2019,HIS,age_5564,Male,23,6.8404282309
2019,Other,age_5564,Male,24,4.3704692862
2019,NHW,age_65+,Female,25,4.2759184543
2019,NHB,age_65+,Female,26,1.4490265053
2019,HIS,age_65+,Female,27,2.0947718558
2019,Other,age_65+,Female,28,1.0580006121
2019,NHW,age_65+,Male,29,29.869851378
2019,NHB,age_65+,Male,30,5.3245754667
2019,HIS,age_65+,Male,31,12.640888903
2019,Other,age_65+,Male,32,7.2192926626
2020,NHW,age_2044,Female,1,0.1920973388
2020,NHB,age_2044,Female,2,0.0385478227
2020,HIS,age_2044,Female,3,0.0652918166
2020,Other,age_2044,Female,4,0.0470797667
2020,NHW,age_2044,Male,5,1.0856772036
2020,NHB,age_2044,Male,6,0.1859786062
2020,HIS,age_2044,Male,7,0.432996178
2020,Other,age_2044,Male,8,0.3417106324
2020,NHW,age_4554,Female,9,1.1982470875
2020,NHB,age_4554,Female,10,0.3506038989
2020,HIS,age_4554,Female,11,0.4033716932
2020,Other,age_4554,Female,12,0.3208196843
2020,NHW,age_4554,Male,13,8.5004652311
2020,NHB,age_4554,Male,14,1.6396224278
2020,HIS,age_4554,Male,15,2.8301841082
2020,Other,age_4554,Male,16,2.1659479165
2020,NHW,age_5564,Female,17,2.6304740479
2020,NHB,age_5564,Female,18,0.9332774385
2020,HIS,age_5564,Female,19,1.1360818058
2020,Other,age_5564,Female,20,0.7194827118
2020,NHW,age_5564,Male,21,19.543730284
2020,NHB,age_5564,Male,22,3.8043085525
2020,HIS,age_5564,Male,23,7.470825565
2020,Other,age_5564,Male,24,4.744744818
2020,NHW,age_65+,Female,25,4.3076911662
2020,NHB,age_65+,Female,26,1.4362627387
2020,HIS,age_65+,Female,27,2.0709152179
2020,Other,age_65+,Female,28,1.0580000383
2020,NHW,age_65+,Male,29,30.101344059
2020,NHB,age_65+,Male,30,5.2967279284
