diet_pattern,race_gp,BLUEWATER,CED,GHG,WATER,Food_price
Med,HIS,73.4698135424222,11.0473000195397,0.309906815665313,808.949384087412,3.59008576947982
Med,NHB,128.096877833372,12.4313145983049,0.934077199582305,1133.53123946109,6.0302529803548
Med,NHW,112.365246967871,12.3039197958183,0.63136555453616,1015.54037452314,6.17395257814129
Med,OTH,75.8427807625305,10.3827868494989,0.409461681539677,772.587213352001,4.61600912537356
US,HIS,60.5878084464381,5.37715959529845,0.173629483284601,642.291100822094,1.91115499747166
US,NHB,107.70388154397,6.28029028556454,0.744757887639981,910.158631233633,4.12396249816751
US,NHW,91.3262505427334,7.03798619230374,0.489242283215454,770.191172030652,3.73463925930874
US,OTH,48.6357408275314,4.65863033639329,0.25624646359871,507.843612057126,2.28755198241322
Veg,HIS,17.8538956795183,-5.86396398058675,-1.58468383561832,500.081334165676,-3.79463212370396
Veg,NHB,56.1110910844636,-5.12358229214238,-0.955020179123849,707.53767127587,-1.66032339991064
Veg,NHW,43.7148733772388,-3.37502946886919,-1.1876710848093,602.8665412177,-2.23607481015496
Veg,OTH,5.89036285331461,-6.44693347818317,-1.35127860845224,352.216750298263,-2.92763247231051
Vegan,HIS,-46.912095546715904,-12.0537133143915,-2.65390176339527,269.382781099837,-7.55676600688905
Vegan,NHB,-14.4244869382805,-11.2082923545723,-2.06951601542241,449.074022170151,-5.68868754760742
Vegan,NHW,-25.5839760894615,-9.35271545511746,-2.25973818979844,360.634622278603,-5.95555340542722
Vegan,OTH,-52.8545617252352,-11.736399529557,-2.30889672137557,133.982439580955,-6.59170034210254
