diet_pattern,age_gp,BLUEWATER,CED,GHG,WATER,Food_price
Med,20-34,102.801305882285,13.0315071583184,0.726899935302421,1007.03929961756,6.0869445491567
Med,35-44,118.178856817571,12.6609345906828,0.704667251666373,1055.12222809852,5.5547342292061
Med,45-54,103.329520039764,13.4577486365734,0.669650905463171,965.715870925829,6.37099862213019
Med,55-64,98.5322182647909,10.195969470278,0.350321926576844,946.587494989194,4.88463567429361
Med,65-74,97.7905054858726,9.39108997474017,0.339563889225236,879.821664086193,4.5764611589261
Med,75+,115.343319414918,11.6462309105551,0.67330747083393,965.405990630296,5.67161635245731
US,20-34,88.7947024169337,7.32762266350774,0.581921335325492,819.249095421987,3.78758440089163
US,35-44,91.3179397028186,7.0294243892218,0.479798247866912,790.273902028787,3.43914546614452
US,45-54,80.9528110291824,7.00155396861939,0.441200895053391,719.530549541258,3.8418503309415
US,55-64,80.1784768075596,5.29330315725841,0.2572627383422,702.94617910944,2.77571566010017
US,65-74,69.0556864963835,4.94719815308831,0.299224033655122,580.7890040153,2.34840555071885
US,75+,87.6340086354326,6.35368654568948,0.542324453524947,691.731918603621,3.30058348119169
Veg,20-34,38.2775839756785,-4.00097283927944,-1.20809650599937,640.395520513434,-2.58706720945847
Veg,35-44,44.6254884258458,-4.18031582102329,-1.26579974765448,626.718055042159,-2.32521987624999
Veg,45-54,40.4585854237324,-4.70919949861273,-1.32542963219822,588.707071886109,-2.48537096210423
Veg,55-64,29.1779714733129,-4.91860242697808,-1.34972704427957,534.580453124221,-2.69321871768231
Veg,65-74,20.8151305878121,-4.14620957639633,-1.20663650913708,413.653801083548,-2.24384767735773
Veg,75+,43.4733505963612,-3.63349337483017,-0.945698933683807,545.900183653738,-2.09263463053538
Vegan,20-34,-33.4869289788928,-10.177314530177,-2.33339736540596,372.013478430868,-6.87486204026464
Vegan,35-44,-31.013855484118,-10.5457815682596,-2.39918142967149,329.350846778558,-6.29282836317151
Vegan,45-54,-27.5046392695793,-10.4846244322937,-2.38933649807026,356.562072833387,-6.10562306431021
Vegan,55-64,-33.2597717261824,-10.478982752348,-2.36891172621584,316.606961353276,-6.28620359615745
Vegan,65-74,-36.4206011755911,-9.58147641230506,-2.19349445153589,228.20757645181,-5.51949716327884
Vegan,75+,-22.0172160997571,-9.161575737695,-1.93839957976771,297.298926770432,-5.16378513614247
