diet_pattern,age_gp,food,BLUEWATER,CED,GHG,WATER,Food_price
Med,20-34,added_sugar,-6.28896883471454,-0.360855721457038,-0.0353506886056686,-22.604590951777,-0.542249069138801
Med,35-44,added_sugar,-6.84421366419429,-0.37915060221317,-0.037818716943321,-24.8219832573092,-0.525367091173065
Med,45-54,added_sugar,-6.96080359775985,-0.391376289351421,-0.0391213069009347,-25.0553093692681,-0.50508410604581
Med,55-64,added_sugar,-6.93038336894235,-0.374654468687525,-0.0376485916878769,-25.1893129041818,-0.478189700971201
Med,65-74,added_sugar,-5.86408147365802,-0.307300476720523,-0.0313574225044785,-21.505340618551,-0.393932486192519
Med,75+,added_sugar,-7.31357343330597,-0.365333210724636,-0.0383025007948475,-27.0444799052281,-0.467190484235457
US,20-34,added_sugar,-6.18750968371214,-0.355591819161573,-0.0348166091970367,-22.2328885110806,-0.540028191861538
US,35-44,added_sugar,-6.83908910682432,-0.379049780984432,-0.0378001863214797,-24.803885469596,-0.528548717802501
US,45-54,added_sugar,-7.18296139693628,-0.404187439470688,-0.0404097811587667,-25.8458469685627,-0.514922430627366
US,55-64,added_sugar,-6.98212809695451,-0.377012573131511,-0.0378924196454447,-25.3836651026932,-0.488599145960147
US,65-74,added_sugar,-5.92220281876674,-0.310698897692324,-0.031751595954212,-21.726553990881,-0.392105817466886
US,75+,added_sugar,-7.28403189121552,-0.361591840876882,-0.0379360532087637,-26.9532072420283,-0.468905018931958
Veg,20-34,added_sugar,-6.07349020391093,-0.348390791969373,-0.0341379394305567,-21.8293155525408,-0.528188638309081
Veg,35-44,added_sugar,-6.52824608723709,-0.361821643219046,-0.0360878040492369,-23.6762327438489,-0.507715943689817
Veg,45-54,added_sugar,-6.82543800814992,-0.384829778105027,-0.0384507415522679,-24.543288470592,-0.491882544260741
Veg,55-64,added_sugar,-6.43585826347978,-0.347847001188759,-0.0349603534254022,-23.39375433255,-0.459158388814707
Veg,65-74,added_sugar,-5.63852061885924,-0.295438042144346,-0.0301831655660113,-20.6842675425535,-0.375456967488247
Veg,75+,added_sugar,-6.95077256027839,-0.345893225516539,-0.0362623211415286,-25.713189031241,-0.446240243150819
Vegan,20-34,added_sugar,-6.00990167161501,-0.344820936778533,-0.0337846600919215,-21.5971968166964,-0.51865908104149006
Vegan,35-44,added_sugar,-6.64787909646396,-0.368899677569226,-0.0367701014816216,-24.106795401279,-0.51288403431533
