diet_pattern,race_gp,food,BLUEWATER,CED,GHG,WATER,Food_price
Med,HIS,added_sugar,-6.01896135413383,-0.338871268549622,-0.033650888234092,-21.7109226855153,-0.415018152637757
Med,NHB,added_sugar,-8.28273241238174,-0.482322800957816,-0.0471612533318043,-29.630443610991,-0.627999918513474
Med,NHW,added_sugar,-6.79091096867893,-0.367753575954402,-0.0369826430984963,-24.7029927388287,-0.52366947256091
Med,OTH,added_sugar,-4.64014706810963,-0.243312496575438,-0.0251247389321291,-17.0205629492854,-0.325380420998457
US,HIS,added_sugar,-5.96099088729086,-0.334964034027162,-0.033284783993942,-21.5109301695368,-0.415884386148787
US,NHB,added_sugar,-8.37051984720485,-0.487556742870208,-0.0476776543462413,-29.9518428514916,-0.637666103086624
US,NHW,added_sugar,-6.88090483618944,-0.37275883101767,-0.0374812215115961,-25.0294390647034,-0.526791809466415
US,OTH,added_sugar,-4.69911972408337,-0.249387989941415,-0.0256580445110018,-17.2081131353676,-0.334902875153232
Veg,HIS,added_sugar,-5.76125576492378,-0.323438647802423,-0.0321743721435288,-20.796824562927,-0.396533071216302
Veg,NHB,added_sugar,-8.12656941503607,-0.472995247976191,-0.0462572339180968,-29.0768215499064,-0.61784826026454
Veg,NHW,added_sugar,-6.50154566409981,-0.352142513366557,-0.0354144972921226,-23.6450918862048,-0.49694153817144
Veg,OTH,added_sugar,-4.52394825372324,-0.238334122986338,-0.0245573691817424,-16.5857774743973,-0.317021148184547
Vegan,HIS,added_sugar,-5.76705171657463,-0.323561883082941,-0.0321755952175424,-20.8173853707472,-0.400320154759711
Vegan,NHB,added_sugar,-8.08264033664427,-0.470686502821383,-0.0460055551703496,-28.9186647696348,-0.613544802692769
Vegan,NHW,added_sugar,-6.54436834891512,-0.354831198471681,-0.0356851383975639,-23.7998721340142,-0.5027309092923
Vegan,OTH,added_sugar,-4.28342462351986,-0.226064324211717,-0.0232733528487968,-15.6859400993355,-0.299757124413469
Med,HIS,dairy,15.6924043310264,1.27016603995459,0.235381351297315,65.5241630972577,0.704664724004987
Med,NHB,dairy,22.28279704591,1.8055200612835,0.334429594242437,92.948051852426,1.1050041819961
Med,NHW,dairy,10.6105211556764,0.858185419818818,0.159089219344412,44.3364028188343,0.479321048482642
Med,OTH,dairy,15.1598827260844,1.22996254396576,0.227687465518081,63.1577148035586,0.730327610501193
US,HIS,dairy,37.0601834562557,2.99971762580264,0.555892881355284,154.745431284532,1.67322367587142
US,NHB,dairy,45.6168830017422,3.69610021043795,0.68462488655608,190.287410638786,2.2572090016271402
US,NHW,dairy,32.5010230856077,2.62866527356312,0.48730144626402,135.808404425511,1.45568394922718
US,OTH,dairy,34.1555866747697,2.77114850639133,0.512986727480396,142.295245707693,1.63733893399628
Veg,HIS,dairy,37.1739009043413,3.00895778632128,0.55760222644456,155.218502847409,1.66626537352112
Veg,NHB,dairy,45.2360955088106,3.66513933405266,0.678899066623604,188.704288175926,2.25008186647791
Veg,NHW,dairy,32.8258803390138,2.65496015350868,0.492174254209262,137.164834108775,1.46855764400114
Veg,OTH,dairy,33.8974237809211,2.750285475357,0.509117710089789,141.215649232969,1.62948838092376
Vegan,HIS,dairy,-28.3691249860173,-2.29637250638528,-0.425541955317627,-118.449621702761,-1.2756522820705
Vegan,NHB,dairy,-23.3049552648836,-1.88826063085092,-0.349762227467863,-97.2158321784362,-1.16117329354966
Vegan,NHW,dairy,-33.6466562715406,-2.72143050199394,-0.504489248518279,-140.590259817666,-1.49368725522246
Vegan,OTH,dairy,-21.8918565119272,-1.77614819092989,-0.328795739099556,-91.2037343959764,-1.06251281714049
Med,HIS,fruit_exc_juice,71.332504712567,1.18476256573442,0.155875376559546,527.057245824052,1.73488234773193
Med,NHB,fruit_exc_juice,93.3272174493738,1.596787898156,0.226233838704614,683.92918568392,2.4298051484235
Med,NHW,fruit_exc_juice,89.5238478471742,1.45396618933521,0.185914028410178,667.407182125415,2.25830056783792
Med,OTH,fruit_exc_juice,83.1762485179579,1.19799854596108,0.164669950214655,610.702765896,1.94478742775908
US,HIS,fruit_exc_juice,46.6753271939298,0.776580797212846,0.102499693062381,345.613878594783,1.13940827445746
US,NHB,fruit_exc_juice,66.2267711944366,1.13728243598665,0.160177631274151,485.759716830816,1.72028118525224
US,NHW,fruit_exc_juice,60.958731833633,0.995567541401178,0.127148454636037,454.431692870987,1.54459538494591
US,OTH,fruit_exc_juice,51.8251743213326,0.744489857477263,0.102904081050842,380.932385385601,1.20126109374515
Veg,HIS,fruit_exc_juice,47.8572612428069,0.796936130801293,0.104984250157564,354.094491163029,1.1638496145309
Veg,NHB,fruit_exc_juice,66.9259979087047,1.14731186051116,0.161608796754347,490.82022684361,1.74821336102515
Veg,NHW,fruit_exc_juice,62.4158861293244,1.01588466311314,0.129413190327298,464.23268131532,1.57520320805752
Veg,OTH,fruit_exc_juice,53.3842732925345,0.770847050378669,0.10550709338737,392.844840390714,1.2592895594228
Vegan,HIS,fruit_exc_juice,47.2909147165891,0.787384812104064,0.1034476008766,350.19498223623,1.14816385403141
