note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
fruit_juice_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
fruit_juice_adj,Overall,16147,0.18,0.01,0.00,0.00,0.06,0.00,0.21,0.01,0.34,0.00,0.11,0.02,0.00,0.01,36
fruit_juice_adj,1,381,0.20,0.03,0.04,0.01,0.10,0.02,0.25,0.04,0.29,,,0.04,,,36
fruit_juice_adj,2,282,0.33,0.04,0.06,0.01,0.17,0.02,0.40,0.05,0.46,,,0.06,,,36
fruit_juice_adj,3,337,0.28,0.03,0.05,0.01,0.14,0.02,0.34,0.04,0.40,,,0.06,,,36
fruit_juice_adj,4,234,0.27,0.04,0.05,0.01,0.14,0.02,0.33,0.05,0.40,,,0.06,,,36
fruit_juice_adj,5,354,0.26,0.03,0.05,0.01,0.13,0.02,0.32,0.04,0.37,,,0.05,,,36
fruit_juice_adj,6,240,0.29,0.04,0.06,0.01,0.15,0.02,0.36,0.05,0.41,,,0.06,,,36
fruit_juice_adj,7,290,0.37,0.04,0.07,0.01,0.19,0.02,0.46,0.05,0.51,,,0.07,,,36
fruit_juice_adj,8,235,0.26,0.05,0.05,0.01,0.13,0.03,0.31,0.06,0.38,,,0.07,,,36
fruit_juice_adj,9,237,0.14,0.02,0.02,0.00,0.06,0.01,0.16,0.03,0.21,,,0.04,,,36
fruit_juice_adj,10,199,0.32,0.06,0.06,0.01,0.17,0.03,0.39,0.08,0.45,,,0.08,,,36
fruit_juice_adj,11,252,0.25,0.03,0.05,0.01,0.13,0.02,0.30,0.04,0.34,,,0.05,,,36
fruit_juice_adj,12,141,0.21,0.04,0.04,0.01,0.10,0.02,0.25,0.05,0.31,,,0.07,,,36
fruit_juice_adj,13,215,0.33,0.06,0.06,0.01,0.17,0.04,0.40,0.08,0.48,,,0.09,,,36
fruit_juice_adj,14,155,0.33,0.06,0.07,0.01,0.18,0.03,0.41,0.08,0.46,,,0.08,,,36
fruit_juice_adj,15,198,0.33,0.06,0.07,0.01,0.17,0.03,0.41,0.07,0.47,,,0.07,,,36
fruit_juice_adj,16,134,0.30,0.05,0.06,0.01,0.16,0.03,0.37,0.06,0.42,,,0.07,,,36
fruit_juice_adj,17,245,0.17,0.03,0.03,0.01,0.08,0.01,0.21,0.03,0.25,,,0.04,,,36
fruit_juice_adj,18,201,0.25,0.05,0.05,0.01,0.13,0.03,0.31,0.06,0.36,,,0.07,,,36
fruit_juice_adj,19,236,0.26,0.04,0.05,0.01,0.13,0.02,0.32,0.05,0.37,,,0.06,,,36
fruit_juice_adj,20,138,0.16,0.08,0.03,0.02,0.08,0.05,0.19,0.11,0.23,,,0.10,,,36
fruit_juice_adj,21,234,0.29,0.06,0.06,0.01,0.15,0.03,0.36,0.07,0.41,,,0.08,,,36
fruit_juice_adj,22,161,0.32,0.05,0.07,0.01,0.17,0.03,0.39,0.07,0.46,,,0.08,,,36
fruit_juice_adj,23,198,0.34,0.05,0.07,0.01,0.18,0.03,0.42,0.07,0.47,,,0.07,,,36
fruit_juice_adj,24,162,0.24,0.07,0.05,0.02,0.12,0.04,0.28,0.09,0.34,,,0.10,,,36
fruit_juice_adj,25,269,0.23,0.03,0.04,0.01,0.11,0.02,0.28,0.03,0.33,,,0.04,,,36
fruit_juice_adj,26,243,0.29,0.05,0.06,0.01,0.15,0.03,0.36,0.07,0.42,,,0.07,,,36
fruit_juice_adj,27,297,0.26,0.03,0.05,0.01,0.14,0.02,0.33,0.04,0.38,,,0.05,,,36
fruit_juice_adj,28,136,0.15,0.02,0.03,0.00,0.07,0.01,0.18,0.03,0.22,,,0.03,,,36
fruit_juice_adj,29,291,0.15,0.02,0.03,0.00,0.07,0.01,0.18,0.03,0.22,,,0.04,,,36
fruit_juice_adj,30,238,0.32,0.05,0.06,0.01,0.17,0.03,0.40,0.06,0.45,,,0.07,,,36
fruit_juice_adj,31,263,0.33,0.05,0.07,0.01,0.17,0.03,0.41,0.06,0.46,,,0.06,,,36
fruit_juice_adj,32,132,0.25,0.08,0.05,0.02,0.13,0.04,0.30,0.10,0.35,,,0.12,,,36
fruit_juice_adj,33,249,0.23,0.03,0.04,0.01,0.11,0.02,0.28,0.04,0.32,,,0.04,,,36
fruit_juice_adj,34,134,0.29,0.04,0.06,0.01,0.15,0.02,0.35,0.05,0.41,,,0.06,,,36
fruit_juice_adj,35,203,0.29,0.04,0.06,0.01,0.15,0.03,0.35,0.06,0.44,,,0.06,,,36
fruit_juice_adj,36,89,0.28,0.06,0.05,0.01,0.14,0.04,0.35,0.08,0.41,,,0.08,,,36
fruit_juice_adj,37,286,0.26,0.03,0.05,0.01,0.13,0.02,0.32,0.04,0.36,,,0.04,,,36
fruit_juice_adj,38,158,0.35,0.06,0.07,0.02,0.18,0.04,0.44,0.08,0.50,,,0.09,,,36
fruit_juice_adj,39,184,0.28,0.05,0.05,0.01,0.14,0.02,0.34,0.06,0.40,,,0.07,,,36
fruit_juice_adj,40,84,0.14,0.04,0.02,0.01,0.07,0.02,0.17,0.05,0.21,,,0.06,,,36
fruit_juice_adj,41,310,0.20,0.03,0.04,0.01,0.10,0.02,0.24,0.04,0.29,,,0.04,,,36
fruit_juice_adj,42,95,0.42,0.08,0.09,0.02,0.23,0.05,0.52,0.10,0.56,,,0.10,,,36
fruit_juice_adj,43,85,0.26,0.06,0.05,0.01,0.13,0.03,0.31,0.07,0.38,,,0.08,,,36
fruit_juice_adj,44,44,0.24,0.07,0.04,0.02,0.12,0.04,0.29,0.09,0.37,,,0.12,,,36
fruit_juice_adj,45,334,0.28,0.03,0.05,0.01,0.15,0.02,0.35,0.04,0.40,,,0.04,,,36
fruit_juice_adj,46,82,0.26,0.04,0.05,0.01,0.14,0.02,0.33,0.05,0.37,,,0.07,,,36
fruit_juice_adj,47,58,0.29,0.08,0.06,0.02,0.15,0.04,0.36,0.10,0.41,,,0.11,,,36
fruit_juice_adj,48,36,0.17,0.07,0.03,0.01,0.09,0.04,0.20,0.09,0.26,,,0.10,,,36
