note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_redm_tot_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
pf_redm_tot_adj,Overall,16147,1.60,0.03,0.00,0.03,1.66,0.05,2.48,0.05,1.26,0.00,1.58,0.04,0.00,0.11,36
pf_redm_tot_adj,1,381,1.84,0.09,1.25,0.09,1.77,0.10,2.34,0.11,0.81,,,0.05,,,36
pf_redm_tot_adj,2,282,1.87,0.10,1.28,0.08,1.80,0.10,2.38,0.13,0.82,,,0.07,,,36
pf_redm_tot_adj,3,337,1.95,0.12,1.34,0.10,1.87,0.12,2.48,0.15,0.85,,,0.07,,,36
pf_redm_tot_adj,4,234,1.93,0.12,1.32,0.09,1.86,0.11,2.45,0.16,0.86,,,0.08,,,36
pf_redm_tot_adj,5,354,2.11,0.12,1.46,0.11,2.03,0.13,2.68,0.15,0.91,,,0.07,,,36
pf_redm_tot_adj,6,240,2.23,0.13,1.55,0.10,2.15,0.13,2.82,0.17,0.96,,,0.08,,,36
pf_redm_tot_adj,7,290,2.47,0.13,1.71,0.10,2.40,0.13,3.13,0.17,1.05,,,0.09,,,36
pf_redm_tot_adj,8,235,2.53,0.20,1.76,0.16,2.46,0.21,3.21,0.25,1.08,,,0.10,,,36
pf_redm_tot_adj,9,237,1.91,0.14,1.32,0.11,1.84,0.14,2.42,0.17,0.84,,,0.07,,,36
pf_redm_tot_adj,10,199,1.63,0.13,1.11,0.10,1.57,0.13,2.08,0.17,0.73,,,0.08,,,36
pf_redm_tot_adj,11,252,1.93,0.14,1.33,0.11,1.86,0.14,2.45,0.17,0.84,,,0.07,,,36
pf_redm_tot_adj,12,141,2.24,0.13,1.55,0.12,2.17,0.14,2.83,0.16,0.96,,,0.07,,,36
pf_redm_tot_adj,13,215,2.33,0.15,1.62,0.12,2.25,0.15,2.94,0.19,1.00,,,0.08,,,36
pf_redm_tot_adj,14,155,2.24,0.12,1.55,0.12,2.17,0.13,2.82,0.15,0.96,,,0.06,,,36
pf_redm_tot_adj,15,198,2.62,0.12,1.85,0.11,2.54,0.13,3.30,0.15,1.09,,,0.08,,,36
pf_redm_tot_adj,16,134,2.32,0.16,1.62,0.13,2.24,0.17,2.96,0.20,0.99,,,0.08,,,36
pf_redm_tot_adj,17,245,1.99,0.14,1.36,0.12,1.92,0.15,2.53,0.18,0.87,,,0.08,,,36
pf_redm_tot_adj,18,201,1.84,0.09,1.27,0.09,1.77,0.10,2.34,0.11,0.81,,,0.06,,,36
pf_redm_tot_adj,19,236,2.05,0.15,1.41,0.13,1.98,0.16,2.61,0.18,0.89,,,0.07,,,36
pf_redm_tot_adj,20,138,2.10,0.15,1.45,0.11,2.02,0.15,2.67,0.20,0.90,,,0.09,,,36
pf_redm_tot_adj,21,234,2.42,0.17,1.69,0.14,2.36,0.17,3.07,0.22,1.03,,,0.09,,,36
pf_redm_tot_adj,22,161,2.25,0.17,1.59,0.15,2.18,0.17,2.84,0.21,0.96,,,0.08,,,36
pf_redm_tot_adj,23,198,2.50,0.12,1.75,0.11,2.44,0.14,3.17,0.15,1.05,,,0.07,,,36
pf_redm_tot_adj,24,162,2.33,0.45,1.62,0.33,2.26,0.45,2.93,0.57,0.98,,,0.18,,,36
pf_redm_tot_adj,25,269,2.13,0.14,1.46,0.11,2.05,0.14,2.70,0.17,0.92,,,0.08,,,36
pf_redm_tot_adj,26,243,2.03,0.14,1.39,0.10,1.95,0.13,2.58,0.19,0.88,,,0.09,,,36
pf_redm_tot_adj,27,297,1.93,0.10,1.33,0.08,1.87,0.10,2.46,0.13,0.84,,,0.07,,,36
pf_redm_tot_adj,28,136,2.06,0.19,1.42,0.16,1.98,0.20,2.61,0.23,0.90,,,0.09,,,36
pf_redm_tot_adj,29,291,2.61,0.19,1.85,0.15,2.56,0.19,3.30,0.24,1.09,,,0.10,,,36
pf_redm_tot_adj,30,238,2.36,0.09,1.65,0.08,2.29,0.09,2.97,0.12,1.00,,,0.07,,,36
