note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
oil_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
oil_adj,Overall,16147,20.47,0.44,0.00,1.87,23.60,0.42,30.38,0.56,13.81,0.26,190.70,0.26,0.11,7.19,36
oil_adj,1,381,29.61,0.97,24.10,0.89,29.13,0.97,34.50,1.09,7.77,,,0.39,,,36
oil_adj,2,282,31.67,0.93,25.90,0.85,31.12,0.93,36.85,1.08,8.06,,,0.42,,,36
oil_adj,3,337,27.70,0.95,22.31,0.82,27.15,0.94,32.47,1.11,7.56,,,0.43,,,36
oil_adj,4,234,29.86,1.71,24.27,1.61,29.33,1.75,34.88,1.87,7.87,,,0.45,,,36
oil_adj,5,354,24.90,0.74,19.81,0.68,24.38,0.73,29.33,0.87,7.10,,,0.38,,,36
oil_adj,6,240,26.26,1.29,21.10,1.26,25.70,1.30,30.89,1.37,7.31,,,0.37,,,36
oil_adj,7,290,24.09,0.79,19.06,0.72,23.53,0.78,28.51,0.95,7.04,,,0.40,,,36
oil_adj,8,235,25.67,0.89,20.49,0.79,25.08,0.88,30.23,1.07,7.28,,,0.43,,,36
oil_adj,9,237,31.29,1.59,25.56,1.46,30.69,1.58,36.48,1.79,8.12,,,0.51,,,36
oil_adj,10,199,30.85,1.34,25.19,1.18,30.34,1.34,35.92,1.54,7.93,,,0.47,,,36
oil_adj,11,252,27.02,1.02,21.69,0.94,26.51,1.03,31.71,1.16,7.40,,,0.36,,,36
oil_adj,12,141,28.59,1.34,23.17,1.20,28.07,1.34,33.40,1.54,7.68,,,0.44,,,36
oil_adj,13,215,25.77,1.28,20.59,1.11,25.19,1.29,30.40,1.50,7.33,,,0.47,,,36
oil_adj,14,155,24.17,1.17,19.22,1.10,23.64,1.17,28.55,1.26,6.96,,,0.35,,,36
oil_adj,15,198,22.41,1.06,17.64,0.94,21.80,1.05,26.53,1.23,6.68,,,0.39,,,36
oil_adj,16,134,25.20,1.44,20.01,1.35,24.68,1.43,29.82,1.58,7.11,,,0.41,,,36
oil_adj,17,245,28.55,1.28,23.19,1.19,28.05,1.26,33.43,1.40,7.63,,,0.43,,,36
oil_adj,18,201,31.29,1.23,25.62,1.16,30.77,1.24,36.35,1.31,7.99,,,0.43,,,36
oil_adj,19,236,27.36,1.00,21.99,0.91,26.87,1.00,32.05,1.14,7.45,,,0.41,,,36
oil_adj,20,138,28.86,1.78,23.46,1.56,28.44,1.76,33.99,2.04,7.63,,,0.51,,,36
oil_adj,21,234,26.50,1.13,21.28,1.01,25.87,1.13,31.10,1.31,7.32,,,0.39,,,36
oil_adj,22,161,28.02,1.65,22.79,1.49,27.49,1.66,32.68,1.80,7.49,,,0.45,,,36
oil_adj,23,198,22.34,1.18,17.56,1.03,21.76,1.19,26.52,1.39,6.71,,,0.40,,,36
