note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
fruit_exc_juice_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
fruit_exc_juice_adj,Overall,16147,0.50,0.02,0.00,0.00,0.35,0.02,0.76,0.03,0.57,0.00,0.32,0.02,0.00,0.02,36
fruit_exc_juice_adj,1,381,0.71,0.05,0.29,0.03,0.57,0.05,0.98,0.07,0.56,,,0.04,,,36
fruit_exc_juice_adj,2,282,0.59,0.06,0.24,0.03,0.46,0.05,0.81,0.08,0.49,,,0.04,,,36
fruit_exc_juice_adj,3,337,0.70,0.05,0.28,0.03,0.55,0.05,0.95,0.07,0.56,,,0.04,,,36
fruit_exc_juice_adj,4,234,0.67,0.06,0.27,0.03,0.53,0.06,0.91,0.08,0.55,,,0.05,,,36
fruit_exc_juice_adj,5,354,0.67,0.06,0.27,0.03,0.54,0.06,0.93,0.08,0.55,,,0.04,,,36
fruit_exc_juice_adj,6,240,0.67,0.08,0.27,0.04,0.53,0.07,0.92,0.11,0.55,,,0.05,,,36
fruit_exc_juice_adj,7,290,0.73,0.07,0.30,0.04,0.59,0.06,1.01,0.10,0.59,,,0.05,,,36
fruit_exc_juice_adj,8,235,0.78,0.07,0.32,0.03,0.62,0.06,1.06,0.09,0.62,,,0.06,,,36
fruit_exc_juice_adj,9,237,0.63,0.05,0.25,0.02,0.49,0.04,0.85,0.07,0.52,,,0.04,,,36
fruit_exc_juice_adj,10,199,0.54,0.04,0.21,0.02,0.42,0.04,0.74,0.06,0.46,,,0.03,,,36
fruit_exc_juice_adj,11,252,0.80,0.05,0.34,0.03,0.65,0.05,1.10,0.07,0.62,,,0.04,,,36
fruit_exc_juice_adj,12,141,0.67,0.10,0.27,0.05,0.54,0.09,0.92,0.15,0.55,,,0.07,,,36
fruit_exc_juice_adj,13,215,0.74,0.08,0.31,0.04,0.59,0.07,1.01,0.11,0.60,,,0.06,,,36
fruit_exc_juice_adj,14,155,0.74,0.11,0.31,0.06,0.60,0.10,1.00,0.16,0.59,,,0.07,,,36
fruit_exc_juice_adj,15,198,0.82,0.06,0.35,0.04,0.66,0.06,1.11,0.09,0.64,,,0.04,,,36
fruit_exc_juice_adj,16,134,0.90,0.08,0.39,0.05,0.74,0.08,1.25,0.11,0.69,,,0.05,,,36
fruit_exc_juice_adj,17,245,0.58,0.06,0.23,0.03,0.45,0.05,0.79,0.08,0.48,,,0.04,,,36
fruit_exc_juice_adj,18,201,0.68,0.08,0.28,0.04,0.54,0.07,0.93,0.11,0.55,,,0.05,,,36
fruit_exc_juice_adj,19,236,0.75,0.06,0.31,0.03,0.60,0.05,1.03,0.08,0.60,,,0.04,,,36
fruit_exc_juice_adj,20,138,0.81,0.08,0.34,0.05,0.65,0.08,1.12,0.12,0.63,,,0.05,,,36
fruit_exc_juice_adj,21,234,0.56,0.05,0.22,0.02,0.44,0.04,0.77,0.07,0.47,,,0.04,,,36
fruit_exc_juice_adj,22,161,0.62,0.07,0.26,0.04,0.49,0.07,0.85,0.10,0.51,,,0.05,,,36
fruit_exc_juice_adj,23,198,0.82,0.06,0.35,0.03,0.67,0.06,1.12,0.09,0.63,,,0.04,,,36
fruit_exc_juice_adj,24,162,0.90,0.12,0.39,0.07,0.74,0.11,1.22,0.17,0.69,,,0.08,,,36
fruit_exc_juice_adj,25,269,0.57,0.05,0.22,0.03,0.44,0.04,0.78,0.07,0.48,,,0.04,,,36
fruit_exc_juice_adj,26,243,0.72,0.05,0.30,0.03,0.57,0.04,0.99,0.08,0.58,,,0.05,,,36
fruit_exc_juice_adj,27,297,0.71,0.06,0.29,0.04,0.57,0.06,0.97,0.09,0.56,,,0.04,,,36
fruit_exc_juice_adj,28,136,0.81,0.08,0.34,0.04,0.66,0.07,1.11,0.10,0.64,,,0.05,,,36
fruit_exc_juice_adj,29,291,0.54,0.05,0.21,0.03,0.42,0.05,0.74,0.07,0.45,,,0.04,,,36
fruit_exc_juice_adj,30,238,0.67,0.08,0.28,0.04,0.54,0.07,0.92,0.11,0.54,,,0.06,,,36
fruit_exc_juice_adj,31,263,0.79,0.07,0.33,0.04,0.63,0.07,1.08,0.10,0.62,,,0.04,,,36
fruit_exc_juice_adj,32,132,1.03,0.17,0.45,0.10,0.86,0.16,1.43,0.22,0.77,,,0.10,,,36
fruit_exc_juice_adj,33,249,0.62,0.04,0.25,0.02,0.49,0.04,0.85,0.06,0.51,,,0.03,,,36
fruit_exc_juice_adj,34,134,0.59,0.06,0.24,0.03,0.47,0.05,0.81,0.08,0.49,,,0.04,,,36
fruit_exc_juice_adj,35,203,0.77,0.06,0.32,0.04,0.62,0.06,1.05,0.09,0.62,,,0.04,,,36
fruit_exc_juice_adj,36,89,1.04,0.08,0.45,0.05,0.84,0.08,1.43,0.11,0.79,,,0.05,,,36
fruit_exc_juice_adj,37,286,0.75,0.06,0.31,0.03,0.60,0.05,1.04,0.08,0.60,,,0.04,,,36
fruit_exc_juice_adj,38,158,0.76,0.08,0.31,0.04,0.61,0.07,1.05,0.11,0.61,,,0.06,,,36
fruit_exc_juice_adj,39,184,0.95,0.10,0.41,0.06,0.78,0.09,1.30,0.14,0.72,,,0.07,,,36
fruit_exc_juice_adj,40,84,0.86,0.10,0.37,0.06,0.69,0.10,1.18,0.14,0.66,,,0.06,,,36
fruit_exc_juice_adj,41,310,0.67,0.04,0.27,0.02,0.53,0.04,0.92,0.06,0.54,,,0.03,,,36
fruit_exc_juice_adj,42,95,0.83,0.08,0.36,0.05,0.68,0.08,1.12,0.11,0.64,,,0.05,,,36
fruit_exc_juice_adj,43,85,0.78,0.10,0.33,0.05,0.62,0.09,1.06,0.13,0.62,,,0.07,,,36
fruit_exc_juice_adj,44,44,0.78,0.10,0.32,0.06,0.62,0.09,1.05,0.14,0.64,,,0.07,,,36
fruit_exc_juice_adj,45,334,0.72,0.05,0.30,0.03,0.58,0.05,0.99,0.07,0.58,,,0.04,,,36
fruit_exc_juice_adj,46,82,0.68,0.08,0.28,0.04,0.54,0.07,0.95,0.12,0.55,,,0.06,,,36
fruit_exc_juice_adj,47,58,0.61,0.10,0.24,0.06,0.48,0.10,0.84,0.14,0.50,,,0.06,,,36
fruit_exc_juice_adj,48,36,0.71,0.11,0.29,0.06,0.58,0.11,0.98,0.15,0.56,,,0.07,,,36
