note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
poult_tot_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
poult_tot_adj,Overall,16147,1.31,0.04,0.00,0.04,1.31,0.05,2.04,0.06,1.05,0.00,1.11,0.04,0.00,0.08,36
poult_tot_adj,1,381,1.73,0.11,1.14,0.08,1.65,0.11,2.24,0.15,0.79,,,0.07,,,36
poult_tot_adj,2,282,2.03,0.09,1.34,0.08,1.93,0.09,2.61,0.11,0.92,,,0.06,,,36
poult_tot_adj,3,337,1.78,0.09,1.18,0.08,1.69,0.10,2.29,0.12,0.82,,,0.06,,,36
poult_tot_adj,4,234,1.62,0.10,1.06,0.08,1.53,0.11,2.09,0.14,0.76,,,0.07,,,36
poult_tot_adj,5,354,1.99,0.14,1.32,0.12,1.89,0.15,2.56,0.19,0.91,,,0.07,,,36
poult_tot_adj,6,240,2.08,0.09,1.38,0.07,1.99,0.09,2.68,0.12,0.95,,,0.07,,,36
poult_tot_adj,7,290,1.99,0.11,1.31,0.09,1.90,0.10,2.56,0.14,0.91,,,0.08,,,36
poult_tot_adj,8,235,2.04,0.14,1.34,0.10,1.94,0.14,2.63,0.17,0.93,,,0.08,,,36
poult_tot_adj,9,237,1.56,0.08,1.02,0.07,1.47,0.09,2.01,0.10,0.73,,,0.05,,,36
poult_tot_adj,10,199,1.81,0.15,1.19,0.12,1.73,0.15,2.31,0.20,0.83,,,0.07,,,36
poult_tot_adj,11,252,1.81,0.11,1.20,0.09,1.72,0.12,2.33,0.15,0.82,,,0.07,,,36
poult_tot_adj,12,141,1.78,0.13,1.17,0.10,1.69,0.13,2.29,0.16,0.82,,,0.07,,,36
poult_tot_adj,13,215,1.95,0.14,1.28,0.10,1.85,0.14,2.49,0.17,0.89,,,0.08,,,36
poult_tot_adj,14,155,1.99,0.15,1.32,0.12,1.89,0.16,2.56,0.19,0.90,,,0.07,,,36
poult_tot_adj,15,198,1.83,0.18,1.22,0.13,1.73,0.18,2.34,0.23,0.83,,,0.09,,,36
poult_tot_adj,16,134,2.08,0.19,1.38,0.15,1.98,0.19,2.67,0.24,0.94,,,0.09,,,36
poult_tot_adj,17,245,1.79,0.11,1.18,0.07,1.70,0.11,2.32,0.16,0.83,,,0.08,,,36
poult_tot_adj,18,201,1.91,0.12,1.26,0.09,1.81,0.12,2.45,0.16,0.87,,,0.08,,,36
poult_tot_adj,19,236,1.77,0.12,1.16,0.10,1.68,0.12,2.28,0.14,0.82,,,0.06,,,36
poult_tot_adj,20,138,1.88,0.20,1.25,0.14,1.78,0.19,2.43,0.26,0.85,,,0.11,,,36
poult_tot_adj,21,234,1.66,0.07,1.09,0.05,1.57,0.07,2.13,0.10,0.77,,,0.07,,,36
poult_tot_adj,22,161,1.98,0.13,1.33,0.11,1.88,0.13,2.53,0.17,0.89,,,0.07,,,36
poult_tot_adj,23,198,1.93,0.13,1.28,0.10,1.85,0.14,2.48,0.17,0.87,,,0.08,,,36
poult_tot_adj,24,162,1.86,0.15,1.23,0.11,1.78,0.15,2.39,0.20,0.84,,,0.08,,,36
poult_tot_adj,25,269,1.62,0.12,1.06,0.10,1.53,0.13,2.08,0.16,0.75,,,0.07,,,36
