note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
ssb_adj,.,6388,0.17,0.00,0.06,0.00,0.16,0.01,0.27,0.01,0.11,,,0.00,,,36
ssb_adj,Overall,16147,222.22,9.05,0.35,0.09,130.54,8.74,348.70,16.10,265.15,261.87,70305.87,8.59,87.85,4588.35,36
ssb_adj,1,381,341.40,30.91,109.73,14.04,269.66,29.53,498.29,47.33,294.66,,,21.53,,,36
ssb_adj,2,282,310.34,22.63,98.60,10.12,243.58,20.04,447.68,33.28,272.62,,,18.65,,,36
ssb_adj,3,337,271.42,16.12,85.53,8.41,210.68,15.41,391.05,23.79,241.32,,,13.38,,,36
ssb_adj,4,234,239.64,22.92,72.10,10.69,182.90,21.62,346.99,33.92,218.48,,,18.05,,,36
ssb_adj,5,354,301.56,19.06,96.12,8.33,234.36,17.25,435.49,27.97,265.66,,,16.40,,,36
ssb_adj,6,240,330.27,19.75,104.97,10.57,259.73,19.31,475.76,31.43,289.18,,,13.14,,,36
ssb_adj,7,290,320.14,17.93,100.59,9.22,251.25,17.86,461.42,26.48,280.86,,,13.89,,,36
ssb_adj,8,235,300.34,26.04,94.16,10.81,234.20,23.46,431.31,36.48,265.62,,,22.92,,,36
ssb_adj,9,237,291.05,27.18,92.24,11.64,223.78,24.44,419.60,40.17,257.30,,,21.09,,,36
ssb_adj,10,199,296.73,25.58,95.36,12.13,232.73,23.57,425.28,36.87,260.20,,,19.92,,,36
ssb_adj,11,252,238.78,12.64,75.14,7.11,185.51,13.18,343.11,18.62,210.63,,,10.18,,,36
ssb_adj,12,141,294.90,25.69,91.05,12.80,230.90,23.83,428.31,37.62,260.54,,,19.28,,,36
ssb_adj,13,215,356.85,35.07,115.15,15.65,280.18,33.52,514.08,53.11,312.14,,,25.88,,,36
ssb_adj,14,155,315.55,27.85,99.96,13.22,244.40,27.34,455.37,41.81,276.35,,,20.67,,,36
ssb_adj,15,198,314.66,21.56,102.52,10.79,244.37,21.68,453.92,31.55,275.22,,,16.34,,,36
ssb_adj,16,134,262.47,39.32,82.25,15.69,202.16,33.84,376.40,60.13,232.64,,,30.31,,,36
ssb_adj,17,245,353.35,33.30,111.96,15.16,274.69,30.24,515.42,50.39,307.11,,,24.82,,,36
ssb_adj,18,201,308.11,17.62,98.33,8.54,240.46,16.92,447.15,25.27,268.39,,,14.73,,,36
ssb_adj,19,236,217.72,17.66,66.00,7.63,166.03,15.71,314.45,25.69,197.12,,,15.27,,,36
ssb_adj,20,138,236.77,19.69,76.53,10.62,181.34,18.81,344.75,33.08,208.58,,,15.49,,,36
ssb_adj,21,234,347.74,27.95,110.63,11.56,273.54,25.79,504.77,42.70,302.46,,,21.82,,,36
ssb_adj,22,161,337.92,22.02,112.38,12.64,265.64,20.08,486.47,32.58,293.76,,,17.20,,,36
ssb_adj,23,198,314.02,16.75,101.87,8.50,249.72,16.76,453.26,25.40,271.68,,,15.12,,,36
ssb_adj,24,162,322.59,42.98,103.92,16.95,255.86,37.25,465.61,63.04,280.64,,,34.53,,,36
ssb_adj,25,269,297.59,37.70,93.61,14.35,233.52,32.98,429.35,54.97,261.40,,,30.03,,,36
ssb_adj,26,243,276.89,16.50,87.46,8.59,213.86,16.05,399.09,23.14,245.71,,,14.23,,,36
ssb_adj,27,297,259.93,26.28,82.32,10.85,202.17,23.84,372.97,38.49,229.60,,,20.29,,,36
ssb_adj,28,136,282.27,39.35,87.04,16.66,217.69,36.79,410.33,60.17,249.57,,,28.12,,,36
ssb_adj,29,291,336.89,29.00,109.88,12.81,269.06,27.05,486.19,42.65,289.97,,,23.32,,,36
ssb_adj,30,238,314.05,23.21,100.62,11.53,249.13,21.86,450.74,34.28,272.38,,,17.84,,,36
ssb_adj,31,263,262.96,17.33,82.40,9.31,203.44,16.22,376.26,23.92,232.58,,,13.63,,,36
ssb_adj,32,132,336.59,46.12,110.80,19.83,266.50,40.09,484.93,68.00,290.89,,,36.93,,,36
ssb_adj,33,249,282.94,30.04,90.90,13.01,219.30,26.68,410.46,44.23,247.71,,,23.45,,,36
ssb_adj,34,134,251.26,17.86,77.86,7.79,193.51,16.06,363.02,27.07,225.18,,,14.94,,,36
ssb_adj,35,203,216.53,17.45,65.28,8.23,165.07,16.09,306.43,29.15,200.66,,,13.60,,,36
ssb_adj,36,89,225.76,36.50,68.53,13.74,166.77,34.06,326.60,54.33,205.88,,,28.96,,,36
ssb_adj,37,286,246.56,22.09,74.58,9.68,189.42,19.02,353.78,31.29,220.38,,,19.33,,,36
ssb_adj,38,158,269.96,18.06,83.76,8.89,211.35,18.91,392.05,27.68,239.94,,,13.43,,,36
ssb_adj,39,184,258.42,17.35,81.35,8.35,199.34,15.30,373.50,24.09,229.97,,,15.52,,,36
ssb_adj,40,84,266.78,45.41,85.14,17.32,203.98,39.56,386.34,66.82,236.15,,,35.94,,,36
ssb_adj,41,310,217.06,15.57,67.12,8.04,167.32,14.92,311.71,22.87,194.37,,,11.77,,,36
ssb_adj,42,95,241.73,22.10,76.24,8.65,185.50,19.51,346.78,32.32,214.58,,,18.66,,,36
ssb_adj,43,85,228.96,49.89,71.71,19.16,173.80,43.18,324.98,71.16,208.93,,,40.27,,,36
ssb_adj,44,44,253.12,76.44,76.01,24.86,193.83,64.17,363.27,112.85,232.60,,,62.24,,,36
ssb_adj,45,334,253.64,19.68,77.43,9.19,197.31,18.42,367.61,28.55,226.43,,,14.45,,,36
ssb_adj,46,82,262.79,22.32,82.85,10.05,203.29,20.54,380.74,33.59,232.18,,,18.46,,,36
ssb_adj,47,58,319.48,29.77,102.71,12.66,242.69,27.97,457.77,43.15,281.85,,,26.75,,,36
ssb_adj,48,36,239.36,35.20,75.30,14.36,186.81,29.98,349.58,51.27,212.78,,,28.78,,,36
