note,subgroup_new,N,mean,mean_SE,P_25,P_25_SE,median,median_SE,P_75,P_75_SE,StdDev,z_StdDev,z_Sum,StdDev_SE,z_StdDev_SE,z_Sum_SE,No_replicates
pf_redm_adj,.,6388,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,,36
pf_redm_adj,Overall,16147,1.06,0.03,0.00,0.03,1.05,0.04,1.64,0.05,0.86,0.00,0.74,0.04,0.00,0.07,36
pf_redm_adj,1,381,1.32,0.07,0.86,0.06,1.24,0.07,1.69,0.08,0.61,,,0.05,,,36
pf_redm_adj,2,282,1.16,0.08,0.75,0.06,1.09,0.08,1.49,0.11,0.55,,,0.06,,,36
pf_redm_adj,3,337,1.50,0.09,0.99,0.08,1.41,0.09,1.92,0.11,0.69,,,0.06,,,36
pf_redm_adj,4,234,1.30,0.12,0.84,0.09,1.21,0.12,1.67,0.16,0.61,,,0.07,,,36
pf_redm_adj,5,354,1.24,0.09,0.81,0.07,1.16,0.08,1.59,0.11,0.58,,,0.06,,,36
pf_redm_adj,6,240,1.55,0.10,1.01,0.08,1.46,0.10,1.98,0.13,0.71,,,0.06,,,36
pf_redm_adj,7,290,1.69,0.09,1.11,0.07,1.60,0.09,2.17,0.12,0.78,,,0.07,,,36
pf_redm_adj,8,235,1.69,0.14,1.11,0.11,1.60,0.14,2.17,0.17,0.78,,,0.07,,,36
pf_redm_adj,9,237,1.26,0.11,0.82,0.08,1.17,0.10,1.61,0.15,0.59,,,0.07,,,36
pf_redm_adj,10,199,1.02,0.09,0.66,0.07,0.96,0.09,1.30,0.12,0.49,,,0.06,,,36
pf_redm_adj,11,252,1.37,0.10,0.90,0.07,1.29,0.10,1.76,0.14,0.63,,,0.07,,,36
pf_redm_adj,12,141,1.38,0.09,0.91,0.07,1.30,0.09,1.78,0.11,0.64,,,0.06,,,36
pf_redm_adj,13,215,1.48,0.11,0.97,0.08,1.39,0.11,1.89,0.14,0.69,,,0.07,,,36
pf_redm_adj,14,155,1.46,0.13,0.95,0.10,1.37,0.13,1.87,0.16,0.67,,,0.07,,,36
