fcidcode,fcid_desc,waste_coef,ined_coef,retloss_coef,Foodgroup,Proxy,Notes
1500233001,"Oat, groats/rolled oats-babyfood",0.2121212,0.30303031,0.13636363,babyfood,,
9500109000,"Cocoa bean, chocolate",0.11111111,0,0.063829787,other,,
1902105000,Cinnamon,0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
9500275000,Peppermint,0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
1500026000,"Barley, flour",0.21212123,0.30303031,0.13636367,gr_whole,,
600348000,"Soybean, flour",0.11111112,0,0.06382978,leg_tot,,
7000145000,"Egg, whole",0.35384616,0.18461539,0.0989011,pf_egg,,
2403279000,Pineapple,2.6428571,3.5,0.17135951,fruit_exc_juice,,
1001241000,"Orange, juice",0.11111111,0,0.063829832,fruit_juice,,
7000146000,"Egg, white",0.35384616,0.18461539,0.098901093,pf_egg,,
3600223001,"Milk, nonfat solids-baby food/infant formula",0.69491524,0,0.010100976,babyfood,,
1400114001,"Coconut, oil-babyfood",0.33333334,0,0.052631605,babyfood,,
600348001,"Soybean, flour-babyfood",0.11111111,0,0.063829824,babyfood,,
9500244001,"Palm, oil-babyfood",0.33333331,0,0.052631609,babyfood,,
1500124001,"Corn, field, syrup-babyfood",0.5151515,0,0.12359554,babyfood,,
3600225001,"Milk, sugar (lactose)-baby food/infant formula",NA,NA,NA,babyfood,,
101052001,"Beet, sugar-babyfood",0.5151515,0,0.12359548,babyfood,,
2002330001,"Safflower, oil-babyfood",0.33333331,0,0.052631631,babyfood,,
2002365001,"Sunflower, oil-babyfood",0.33333334,0,0.052631572,babyfood,,
9500335001,Seaweed-babyfood,NA,NA,NA,babyfood,,
600350001,"Soybean, oil-babyfood",0.17647058,0,0.26582274,babyfood,,
9500362001,"Sugarcane, sugar-babyfood",0.51515156,0,0.12359556,babyfood,,
103082001,Cassava-babyfood,1.0930233,0.23255815,0.26616445,babyfood,,
1500123001,"Corn, field, starch-babyfood",0.25,0,0.13636366,babyfood,,
1500325001,"Rice, flour-babyfood",0.49253732,0,0.13636363,babyfood,,
1500402001,"Wheat, flour-babyfood",0.25000003,0,0.13636358,babyfood,,
103298001,"Potato, flour-babyfood",0.041666664,0,0.063829742,babyfood,,
1500125001,"Corn, field, oil-babyfood",NA,NA,NA,babyfood,,
1500122000,"Corn, field, bran",0.25,0,0.13636367,gr_whole,,
1500231000,"Oat, bran",0.2121212,0.30303028,0.13636361,gr_whole,,
1500326000,"Rice, bran",0.49253735,0,0.13636369,gr_whole,,
1500404000,"Wheat, bran",0.25000003,0,0.1363636,gr_whole,,
9500244000,"Palm, oil",0.33333331,0,0.052631587,oil,,
302103000,"Chive, fresh leaves",0.91489369,0.21276596,0.10811654,veg_oth,,
3100047000,"Beef, fat",0.53846157,0,1,sat_fat,,
301238000,"Onion, bulb, dried",0.041666668,0,0.063829802,veg_oth,,
802273000,"Pepper, nonbell, dried",0.041666668,0,0.063829802,veg_oth,"Onion, bulb, dried","Zach's dataset did not have a proxy for this FCID, so we assigned one"
2202085000,Celery,0.77999991,0.22000001,0.053774361,veg_oth,,
9500390000,Vinegar,0.11111112,0,0.06382975,other,"Grape, wine and sherry","Zach's dataset did not have a proxy for this FCID, so we assigned one"
9500397000,Water chestnut,0.21621622,0.13513514,0.069509506,veg_sta,"Potato, tuber, w/peel","Zach's dataset did not have a proxy for this FCID, so we assigned one"
1500127000,"Corn, sweet",8,16,0.00615303,veg_sta,,
103387000,Turmeric,1.0930233,0.23255815,0.26616445,veg_oth,,
802271000,"Pepper, bell, dried",0.90697676,0.41860464,0.084240541,veg_ro,,
401355000,Spinach,0.14285713,0.44444442,0.16814226,veg_dg,,
101078000,Carrot,0.61818182,0.2,0.054182746,veg_ro,,
1901249000,"Parsley, dried leaves",1.1875,0.93750006,0.69411534,veg_oth,,
