subgroup,Age,Sex,Race,AA,AFF,CM,DIAB,ENDO,HHD,HSTK,IHD,ISTK,OSTK,OTH,PVD,RHD,TSTK,se_AA,se_AFF,se_CM,se_DIAB,se_ENDO,se_HHD,se_HSTK,se_IHD,se_ISTK,se_OSTK,se_OTH,se_PVD,se_RHD,se_TSTK,AA_medBMI,se_AA_medBMI,AFF_medBMI,se_AFF_medBMI,CM_medBMI,se_CM_medBMI,DIAB_medBMI,se_DIAB_medBMI,ENDO_medBMI,se_ENDO_medBMI,HHD_medBMI,se_HHD_medBMI,HSTK_medBMI,se_HSTK_medBMI,IHD_medBMI,se_IHD_medBMI,ISTK_medBMI,se_ISTK_medBMI,OSTK_medBMI,se_OSTK_medBMI,OTH_medBMI,se_OTH_medBMI,PVD_medBMI,se_PVD_medBMI,RHD_medBMI,se_RHD_medBMI,TSTK_medBMI,se_TSTK_medBMI,AA_medSBP,se_AA_medSBP,AFF_medSBP,se_AFF_medSBP,CM_medSBP,se_CM_medSBP,DIAB_medSBP,se_DIAB_medSBP,ENDO_medSBP,se_ENDO_medSBP,HHD_medSBP,se_HHD_medSBP,HSTK_medSBP,se_HSTK_medSBP,IHD_medSBP,se_IHD_medSBP,ISTK_medSBP,se_ISTK_medSBP,OSTK_medSBP,se_OSTK_medSBP,OTH_medSBP,se_OTH_medSBP,PVD_medSBP,se_PVD_medSBP,RHD_medSBP,se_RHD_medSBP,TSTK_medSBP,se_TSTK_medSBP
1,1,1,1,20,0,98,169,74,59,36,142,38,20,155,0,44,129,4,0,10,13,10,8,6,12,6,4,13,0,8,12,20,4,0,0,98,10,169,13,74,10,59,8,36,6,142,12,38,6,20,4,155,13,0,0,44,8,129,12,20,4,0,0,98,10,169,13,74,10,59,8,36,6,142,12,38,6,20,4,155,13,0,0,44,8,129,12
2,1,1,2,13,0,59,109,9,84,38,79,14,13,85,0,8,82,4,0,8,11,2,10,7,10,4,4,10,0,2,10,13,4,0,0,59,8,109,11,9,2,84,10,38,7,79,10,14,4,13,4,85,10,0,0,8,2,82,10,13,4,0,0,59,8,109,11,9,2,84,10,38,7,79,10,14,4,13,4,85,10,0,0,8,2,82,10
3,1,1,3,9,0,28,39,9,12,29,23,9,8,28,0,9,52,2,0,6,7,2,4,6,5,2,2,6,0,2,8,9,2,0,0,28,6,39,7,9,2,12,4,29,6,23,5,9,2,8,2,28,6,0,0,9,2,52,8,9,2,0,0,28,6,39,7,9,2,12,4,29,6,23,5,9,2,8,2,28,6,0,0,9,2,52,8
4,1,1,4,4,0,9,10,8,9,9,9,6,4,9,0,5,17,1,0,2,4,1,2,1,2,1,1,2,0,1,5,4,1,0,0,9,2,10,4,8,1,9,2,9,1,9,2,6,1,4,1,9,2,0,0,5,1,17,5,4,1,0,0,9,2,10,4,8,1,9,2,9,1,9,2,6,1,4,1,9,2,0,0,5,1,17,5
5,1,2,1,45,6,215,263,63,179,75,391,34,25,172,5,23,179,6,2,16,16,8,14,10,20,6,6,14,2,4,14,45,6,6,2,215,16,263,16,63,8,179,14,75,10,391,20,34,6,25,6,172,14,5,2,23,4,179,14,45,6,6,2,215,16,263,16,63,8,179,14,75,10,391,20,34,6,25,6,172,14,5,2,23,4,179,14
6,1,2,2,27,2,143,148,9,154,35,190,22,7,83,2,6,93,5,1,12,12,2,13,6,14,5,1,9,1,1,10,27,5,2,1,143,12,148,12,9,2,154,13,35,6,190,14,22,5,7,1,83,9,2,1,6,1,93,10,27,5,2,1,143,12,148,12,9,2,154,13,35,6,190,14,22,5,7,1,83,9,2,1,6,1,93,10
7,1,2,3,20,3,65,59,13,58,47,124,11,9,31,2,9,91,5,1,9,8,4,8,7,12,3,2,6,1,2,10,20,5,3,1,65,9,59,8,13,4,58,8,47,7,124,12,11,3,9,2,31,6,2,1,9,2,91,10,20,5,3,1,65,9,59,8,13,4,58,8,47,7,124,12,11,3,9,2,31,6,2,1,9,2,91,10
8,1,2,4,9,1,25,21,8,24,9,51,6,4,15,1,4,18,1,1,5,5,1,5,2,8,1,1,4,1,1,5,9,1,1,1,25,5,21,5,8,1,24,5,9,2,51,8,6,1,4,1,15,4,1,1,4,1,18,5,9,1,1,1,25,5,21,5,8,1,24,5,9,2,51,8,6,1,4,1,15,4,1,1,4,1,18,5
9,2,1,1,44,12,144,389,50,232,229,697,59,90,253,12,33,378,8,4,12,21,8,16,16,26,9,10,16,4,6,19,44,8,12,4,144,12,389,21,50,8,232,16,229,16,697,26,59,9,90,10,253,16,12,4,33,6,378,19,44,8,12,4,144,12,389,21,50,8,232,16,229,16,697,26,59,9,90,10,253,16,12,4,33,6,378,19
10,2,1,2,25,3,109,241,10,224,125,303,33,46,139,3,15,204,6,1,11,16,4,16,12,18,6,7,12,1,4,15,25,6,3,1,109,11,241,16,10,4,224,16,125,12,303,18,33,6,46,7,139,12,3,1,15,4,204,15,25,6,3,1,109,11,241,16,10,4,224,16,125,12,303,18,33,6,46,7,139,12,3,1,15,4,204,15
11,2,1,3,9,4,32,75,9,46,76,96,16,18,46,4,9,110,2,1,6,9,2,7,9,10,5,5,7,1,2,11,9,2,4,1,32,6,75,9,9,2,46,7,76,9,96,10,16,5,18,5,46,7,4,1,9,2,110,11,9,2,4,1,32,6,75,9,9,2,46,7,76,9,96,10,16,5,18,5,46,7,4,1,9,2,110,11
12,2,1,4,8,2,20,41,6,17,38,38,9,9,9,2,5,48,1,1,5,7,1,5,7,7,1,2,2,1,1,7,8,1,2,1,20,5,41,7,6,1,17,5,38,7,38,7,9,1,9,2,9,2,2,1,5,1,48,7,8,1,2,1,20,5,41,7,6,1,17,5,38,7,38,7,9,1,9,2,9,2,2,1,5,1,48,7
13,2,2,1,134,19,324,636,66,582,241,2018,85,81,258,9,23,407,12,5,18,26,9,24,16,46,10,10,16,3,5,21,134,12,19,5,324,18,636,26,66,9,582,24,241,16,2018,46,85,10,81,10,258,16,9,3,23,5,407,21,134,12,19,5,324,18,636,26,66,9,582,24,241,16,2018,46,85,10,81,10,258,16,9,3,23,5,407,21
14,2,2,2,86,11,237,381,13,423,150,731,60,62,137,2,5,272,10,4,16,20,4,21,13,27,8,8,12,1,1,17,86,10,11,4,237,16,381,20,13,4,423,21,150,13,731,27,60,8,62,8,137,12,2,1,5,1,272,17,86,10,11,4,237,16,381,20,13,4,423,21,150,13,731,27,60,8,62,8,137,12,2,1,5,1,272,17
15,2,2,3,29,8,88,192,16,165,144,399,35,26,75,4,9,205,6,2,10,14,4,13,12,20,6,6,9,1,2,15,29,6,8,2,88,10,192,14,16,4,165,13,144,12,399,20,35,6,26,6,75,9,4,1,9,2,205,15,29,6,8,2,88,10,192,14,16,4,165,13,144,12,399,20,35,6,26,6,75,9,4,1,9,2,205,15
16,2,2,4,12,3,47,81,9,53,56,192,9,13,38,2,4,73,4,1,7,10,1,8,8,14,2,4,7,1,1,9,12,4,3,1,47,7,81,10,9,1,53,8,56,8,192,14,9,2,13,4,38,7,2,1,4,1,73,9,12,4,3,1,47,7,81,10,9,1,53,8,56,8,192,14,9,2,13,4,38,7,2,1,4,1,73,9
17,3,1,1,91,38,310,1108,44,685,645,3079,218,315,499,51,44,1178,10,7,18,33,7,27,25,56,15,18,23,7,7,35,91,10,38,7,310,18,1108,33,44,7,685,27,645,25,3079,56,218,15,315,18,499,23,51,7,44,7,1178,35,91,10,38,7,310,18,1108,33,44,7,685,27,645,25,3079,56,218,15,315,18,499,23,51,7,44,7,1178,35
18,3,1,2,44,13,164,606,12,504,312,1129,100,174,244,20,22,586,7,4,13,25,4,23,18,34,11,14,16,5,5,25,44,7,13,4,164,13,606,25,12,4,504,23,312,18,1129,34,100,11,174,14,244,16,20,5,22,5,586,25,44,7,13,4,164,13,606,25,12,4,504,23,312,18,1129,34,100,11,174,14,244,16,20,5,22,5,586,25
19,3,1,3,13,9,45,281,9,91,176,374,38,61,77,9,9,275,4,2,7,17,2,10,14,20,7,8,9,2,2,17,13,4,9,2,45,7,281,17,9,2,91,10,176,14,374,20,38,7,61,8,77,9,9,2,9,2,275,17,13,4,9,2,45,7,281,17,9,2,91,10,176,14,374,20,38,7,61,8,77,9,9,2,9,2,275,17
20,3,1,4,9,5,16,99,5,37,90,125,20,29,31,7,7,139,1,1,4,11,1,7,10,12,5,6,6,1,1,12,9,1,5,1,16,4,99,11,5,1,37,7,90,10,125,12,20,5,29,6,31,6,7,1,7,1,139,12,9,1,5,1,16,4,99,11,5,1,37,7,90,10,125,12,20,5,29,6,31,6,7,1,7,1,139,12
21,3,2,1,282,100,749,2078,92,1729,714,9113,292,481,603,56,49,1487,18,11,28,46,10,42,27,96,18,23,25,8,7,38,282,18,100,11,749,28,2078,46,92,10,1729,42,714,27,9113,96,292,18,481,23,603,25,56,8,49,7,1487,38,282,18,100,11,749,28,2078,46,92,10,1729,42,714,27,9113,96,292,18,481,23,603,25,56,8,49,7,1487,38
22,3,2,2,108,28,394,837,16,870,377,2316,130,259,250,25,17,766,11,6,20,29,4,30,20,49,12,17,16,5,5,28,108,11,28,6,394,20,837,29,16,4,870,30,377,20,2316,49,130,12,259,17,250,16,25,5,17,5,766,28,108,11,28,6,394,20,837,29,16,4,870,30,377,20,2316,49,130,12,259,17,250,16,25,5,17,5,766,28
23,3,2,3,60,12,116,519,15,303,329,1387,77,95,113,13,9,501,8,4,11,23,4,18,19,38,9,10,11,4,2,23,60,8,12,4,116,11,519,23,15,4,303,18,329,19,1387,38,77,9,95,10,113,11,13,4,9,2,501,23,60,8,12,4,116,11,519,23,15,4,303,18,329,19,1387,38,77,9,95,10,113,11,13,4,9,2,501,23
24,3,2,4,23,9,63,170,9,101,130,623,25,31,33,7,6,186,5,1,8,14,1,11,12,26,6,6,6,1,1,14,23,5,9,1,63,8,170,14,9,1,101,11,130,12,623,26,25,6,31,6,33,6,7,1,6,1,186,14,23,5,9,1,63,8,170,14,9,1,101,11,130,12,623,26,25,6,31,6,33,6,7,1,6,1,186,14
25,4,1,1,244,246,640,2868,77,1573,1402,9192,678,1250,1071,200,128,3330,16,16,26,54,10,40,39,97,26,36,33,14,11,59,244,16,246,16,640,26,2868,54,77,10,1573,40,1402,39,9192,97,678,26,1250,36,1071,33,200,14,128,11,3330,59,244,16,246,16,640,26,2868,54,77,10,1573,40,1402,39,9192,97,678,26,1250,36,1071,33,200,14,128,11,3330,59
26,4,1,2,81,54,288,1189,24,927,498,2883,290,546,387,64,33,1334,9,8,18,35,5,31,23,54,18,24,20,9,6,37,81,9,54,8,288,18,1189,35,24,5,927,31,498,23,2883,54,290,18,546,24,387,20,64,9,33,6,1334,37,81,9,54,8,288,18,1189,35,24,5,927,31,498,23,2883,54,290,18,546,24,387,20,64,9,33,6,1334,37
27,4,1,3,22,16,71,525,10,147,216,983,108,154,123,35,22,478,5,5,9,23,4,13,15,32,11,13,12,7,5,22,22,5,16,5,71,9,525,23,10,4,147,13,216,15,983,32,108,11,154,13,123,12,35,7,22,5,478,22,22,5,16,5,71,9,525,23,10,4,147,13,216,15,983,32,108,11,154,13,123,12,35,7,22,5,478,22
28,4,1,4,15,10,36,194,8,65,150,371,49,86,49,9,17,285,4,4,6,14,1,9,13,20,7,10,7,2,5,17,15,4,10,4,36,6,194,14,8,1,65,9,150,13,371,20,49,7,86,10,49,7,9,2,17,5,285,17,15,4,10,4,36,6,194,14,8,1,65,9,150,13,371,20,49,7,86,10,49,7,9,2,17,5,285,17
29,4,2,1,774,518,1465,5368,137,3463,1550,26532,1028,1794,1496,312,116,4372,28,24,38,73,12,59,40,164,33,43,40,18,11,66,774,28,518,24,1465,38,5368,73,137,12,3463,59,1550,40,26532,164,1028,33,1794,43,1496,40,312,18,116,11,4372,66,774,28,518,24,1465,38,5368,73,137,12,3463,59,1550,40,26532,164,1028,33,1794,43,1496,40,312,18,116,11,4372,66
30,4,2,2,172,100,594,1726,26,1520,585,5668,416,812,366,107,28,1813,14,11,25,42,6,39,25,76,21,29,20,11,6,43,172,14,100,11,594,25,1726,42,26,6,1520,39,585,25,5668,76,416,21,812,29,366,20,107,11,28,6,1813,43,172,14,100,11,594,25,1726,42,26,6,1520,39,585,25,5668,76,416,21,812,29,366,20,107,11,28,6,1813,43
31,4,2,3,83,41,173,923,19,396,367,2853,177,240,168,38,13,784,10,7,14,31,5,20,20,54,14,16,13,7,4,29,83,10,41,7,173,14,923,31,19,5,396,20,367,20,2853,54,177,14,240,16,168,13,38,7,13,4,784,29,83,10,41,7,173,14,923,31,19,5,396,20,367,20,2853,54,177,14,240,16,168,13,38,7,13,4,784,29
32,4,2,4,40,19,91,362,9,166,175,1280,63,114,51,11,11,352,7,5,10,20,1,13,14,36,8,11,8,4,4,19,40,7,19,5,91,10,362,20,9,1,166,13,175,14,1280,36,63,8,114,11,51,8,11,4,11,4,352,19,40,7,19,5,91,10,362,20,9,1,166,13,175,14,1280,36,63,8,114,11,51,8,11,4,11,4,352,19
33,5,1,1,603,1043,982,4785,103,2097,2276,17419,1856,3277,2153,427,252,7409,25,33,32,70,10,47,48,133,44,57,47,21,16,87,603,25,1043,33,982,32,4785,70,103,10,2097,47,2276,48,17419,133,1856,44,3277,57,2153,47,427,21,252,16,7409,87,603,25,1043,33,982,32,4785,70,103,10,2097,47,2276,48,17419,133,1856,44,3277,57,2153,47,427,21,252,16,7409,87
34,5,1,2,108,130,316,1617,17,808,507,3879,494,999,538,109,50,2000,11,12,18,41,5,29,23,63,23,32,24,11,8,45,108,11,130,12,316,18,1617,41,17,5,808,29,507,23,3879,63,494,23,999,32,538,24,109,11,50,8,2000,45,108,11,130,12,316,18,1617,41,17,5,808,29,507,23,3879,63,494,23,999,32,538,24,109,11,50,8,2000,45
35,5,1,3,32,60,78,796,16,211,278,1702,220,315,212,32,36,813,6,8,9,29,4,15,17,42,15,18,15,6,6,29,32,6,60,8,78,9,796,29,16,4,211,15,278,17,1702,42,220,15,315,18,212,15,32,6,36,6,813,29,32,6,60,8,78,9,796,29,16,4,211,15,278,17,1702,42,220,15,315,18,212,15,32,6,36,6,813,29
36,5,1,4,28,55,44,316,9,97,245,766,90,196,74,11,21,531,6,8,7,18,1,10,16,28,10,14,9,4,5,24,28,6,55,8,44,7,316,18,9,1,97,10,245,16,766,28,90,10,196,14,74,9,11,4,21,5,531,24,28,6,55,8,44,7,316,18,9,1,97,10,245,16,766,28,90,10,196,14,74,9,11,4,21,5,531,24
37,5,2,1,1143,1346,2002,7948,145,3578,2533,38858,2170,4046,2372,643,201,8749,35,37,45,89,13,61,51,198,47,64,49,26,15,94,1143,35,1346,37,2002,45,7948,89,145,13,3578,61,2533,51,38858,198,2170,47,4046,64,2372,49,643,26,201,15,8749,94,1143,35,1346,37,2002,45,7948,89,145,13,3578,61,2533,51,38858,198,2170,47,4046,64,2372,49,643,26,201,15,8749,94
38,5,2,2,125,179,549,1915,30,1215,510,6250,567,1244,364,147,26,2321,12,14,24,44,6,35,23,79,24,36,20,13,6,49,125,12,179,14,549,24,1915,44,30,6,1215,35,510,23,6250,79,567,24,1244,36,364,20,147,13,26,6,2321,49,125,12,179,14,549,24,1915,44,30,6,1215,35,510,23,6250,79,567,24,1244,36,364,20,147,13,26,6,2321,49
39,5,2,3,63,80,152,1023,17,328,266,3344,278,444,161,62,15,988,8,9,13,32,5,19,17,58,17,22,13,8,4,32,63,8,80,9,152,13,1023,32,17,5,328,19,266,17,3344,58,278,17,444,22,161,13,62,8,15,4,988,32,63,8,80,9,152,13,1023,32,17,5,328,19,266,17,3344,58,278,17,444,22,161,13,62,8,15,4,988,32
40,5,2,4,53,35,88,459,9,130,193,1694,113,242,76,16,14,548,8,6,10,22,1,12,14,42,11,16,9,5,4,24,53,8,35,6,88,10,459,22,9,1,130,12,193,14,1694,42,113,11,242,16,76,9,16,5,14,4,548,24,53,8,35,6,88,10,459,22,9,1,130,12,193,14,1694,42,113,11,242,16,76,9,16,5,14,4,548,24
41,6,1,1,2333,12141,3851,11096,176,13938,8575,86650,16566,27260,14844,2411,1380,52401,69,151,88,150,19,161,131,410,177,228,169,69,53,318,2333,69,12141,151,3851,88,11096,150,176,19,13938,161,8575,131,86650,410,16566,177,27260,228,14844,169,2411,69,1380,53,52401,318,2333,69,12141,151,3851,88,11096,150,176,19,13938,161,8575,131,86650,410,16566,177,27260,228,14844,169,2411,69,1380,53,52401,318
42,6,1,2,215,658,529,2722,21,1953,998,9842,2180,3210,1083,385,72,6388,21,37,33,74,5,63,45,141,66,80,47,28,13,113,215,21,658,37,529,33,2722,74,21,5,1953,63,998,45,9842,141,2180,66,3210,80,1083,47,385,28,72,13,6388,113,215,21,658,37,529,33,2722,74,21,5,1953,63,998,45,9842,141,2180,66,3210,80,1083,47,385,28,72,13,6388,113
43,6,1,3,92,526,296,1622,9,1100,708,6920,1777,1756,663,173,76,4241,14,33,25,57,2,46,38,117,59,59,37,19,13,92,92,14,526,33,296,25,1622,57,9,2,1100,46,708,38,6920,117,1777,59,1756,59,663,37,173,19,76,13,4241,92,92,14,526,33,296,25,1622,57,9,2,1100,46,708,38,6920,117,1777,59,1756,59,663,37,173,19,76,13,4241,92
44,6,1,4,92,302,137,855,9,566,579,3495,669,1160,419,74,37,2408,14,25,17,42,1,33,35,83,36,48,29,12,9,69,92,14,302,25,137,17,855,42,9,1,566,33,579,35,3495,83,669,36,1160,48,419,29,74,12,37,9,2408,69,92,14,302,25,137,17,855,42,9,1,566,33,579,35,3495,83,669,36,1160,48,419,29,74,12,37,9,2408,69
45,6,2,1,2128,7200,4298,11960,223,8016,6117,92274,9058,15356,9270,1665,567,30531,66,119,93,155,21,127,111,430,135,175,136,58,34,247,2128,66,7200,119,4298,93,11960,155,223,21,8016,127,6117,111,92274,430,9058,135,15356,175,9270,136,1665,58,567,34,30531,247,2128,66,7200,119,4298,93,11960,155,223,21,8016,127,6117,111,92274,430,9058,135,15356,175,9270,136,1665,58,567,34,30531,247
46,6,2,2,112,330,482,1872,11,1217,556,7532,1127,1864,551,279,25,3547,15,26,31,61,4,49,33,122,48,61,34,24,8,84,112,15,330,26,482,31,1872,61,11,4,1217,49,556,33,7532,122,1127,48,1864,61,551,34,279,24,25,8,3547,84,112,15,330,26,482,31,1872,61,11,4,1217,49,556,33,7532,122,1127,48,1864,61,551,34,279,24,25,8,3547,84
