subgroup,Age,Sex,Race,AA,AFF,CM,DIAB,ENDO,HHD,HSTK,IHD,ISTK,OSTK,OTH,PVD,RHD,TSTK,AA_medBMI,AFF_medBMI,CM_medBMI,DIAB_medBMI,ENDO_medBMI,HHD_medBMI,HSTK_medBMI,IHD_medBMI,ISTK_medBMI,OSTK_medBMI,OTH_medBMI,PVD_medBMI,RHD_medBMI,TSTK_medBMI,AA_medSBP,AFF_medSBP,CM_medSBP,DIAB_medSBP,ENDO_medSBP,HHD_medSBP,HSTK_medSBP,IHD_medSBP,ISTK_medSBP,OSTK_medSBP,OTH_medSBP,PVD_medSBP,RHD_medSBP,TSTK_medSBP
38,5,2,2,125,179,549,1915,30,1215,510,6250,567,1244,364,147,26,2321,125,179,549,1915,30,1215,510,6250,567,1244,364,147,26,2321,125,179,549,1915,30,1215,510,6250,567,1244,364,147,26,2321
39,5,2,3,63,80,152,1023,17,328,266,3344,278,444,161,62,15,988,63,80,152,1023,17,328,266,3344,278,444,161,62,15,988,63,80,152,1023,17,328,266,3344,278,444,161,62,15,988
40,5,2,4,53,35,88,459,9,130,193,1694,113,242,76,16,14,548,53,35,88,459,9,130,193,1694,113,242,76,16,14,548,53,35,88,459,9,130,193,1694,113,242,76,16,14,548
41,6,1,1,2333,12141,3851,11096,176,13938,8575,86650,16566,27260,14844,2411,1380,52401,2333,12141,3851,11096,176,13938,8575,86650,16566,27260,14844,2411,1380,52401,2333,12141,3851,11096,176,13938,8575,86650,16566,27260,14844,2411,1380,52401
42,6,1,2,215,658,529,2722,21,1953,998,9842,2180,3210,1083,385,72,6388,215,658,529,2722,21,1953,998,9842,2180,3210,1083,385,72,6388,215,658,529,2722,21,1953,998,9842,2180,3210,1083,385,72,6388
43,6,1,3,92,526,296,1622,9,1100,708,6920,1777,1756,663,173,76,4241,92,526,296,1622,9,1100,708,6920,1777,1756,663,173,76,4241,92,526,296,1622,9,1100,708,6920,1777,1756,663,173,76,4241
44,6,1,4,92,302,137,855,9,566,579,3495,669,1160,419,74,37,2408,92,302,137,855,9,566,579,3495,669,1160,419,74,37,2408,92,302,137,855,9,566,579,3495,669,1160,419,74,37,2408
45,6,2,1,2128,7200,4298,11960,223,8016,6117,92274,9058,15356,9270,1665,567,30531,2128,7200,4298,11960,223,8016,6117,92274,9058,15356,9270,1665,567,30531,2128,7200,4298,11960,223,8016,6117,92274,9058,15356,9270,1665,567,30531
46,6,2,2,112,330,482,1872,11,1217,556,7532,1127,1864,551,279,25,3547,112,330,482,1872,11,1217,556,7532,1127,1864,551,279,25,3547,112,330,482,1872,11,1217,556,7532,1127,1864,551,279,25,3547
47,6,2,3,115,271,289,1428,9,767,463,6643,986,1219,395,129,32,2668,115,271,289,1428,9,767,463,6643,986,1219,395,129,32,2668,115,271,289,1428,9,767,463,6643,986,1219,395,129,32,2668
48,6,2,4,90,163,144,695,9,338,399,3551,425,817,250,40,15,1641,90,163,144,695,9,338,399,3551,425,817,250,40,15,1641,90,163,144,695,9,338,399,3551,425,817,250,40,15,1641
