subgroup,Foodgroup,N,Mean_Intake,SE_Intake,sigma_u_wgt,Food_label,IntakeUnit
1,added_sugar,3087,15.001744700226672,1.2162104836133385,1.5001744700226671,Foods defined as added sugars,tsp/day
2,added_sugar,2077,17.221404458106452,1.1149100568542978,1.7221404458106453,Foods defined as added sugars,tsp/day
3,added_sugar,2345,14.44844808554043,0.9947379059034505,1.444844808554043,Foods defined as added sugars,tsp/day
4,added_sugar,2144,14.065053216316992,1.5469463879099377,1.4065053216316992,Foods defined as added sugars,tsp/day
5,added_sugar,2694,12.09662581868966,0.9306426527989945,1.209662581868966,Foods defined as added sugars,tsp/day
6,added_sugar,1802,16.06347915332603,1.5661303659561023,1.6063479153326028,Foods defined as added sugars,tsp/day
7,added_sugar,2018,9.370091953777083,1.8826853497262197,0.9370091953777082,Foods defined as added sugars,tsp/day
8,added_sugar,1904,12.313151610023542,1.1641471735051077,1.2313151610023543,Foods defined as added sugars,tsp/day
9,added_sugar,2158,16.08951642041435,0.8278337119155338,1.608951642041435,Foods defined as added sugars,tsp/day
10,added_sugar,1525,18.740050565984447,1.3041634280776948,1.8740050565984447,Foods defined as added sugars,tsp/day
11,added_sugar,2001,12.401699238043243,0.6670931032006021,1.2401699238043242,Foods defined as added sugars,tsp/day
12,added_sugar,1417,16.016706248479068,0.9720124678744881,1.6016706248479067,Foods defined as added sugars,tsp/day
13,added_sugar,1651,15.122914900129325,2.218863818416728,1.5122914900129325,Foods defined as added sugars,tsp/day
14,added_sugar,1133,17.495770122726633,1.9197519042133908,1.7495770122726633,Foods defined as added sugars,tsp/day
15,added_sugar,1524,15.35101839651633,1.5376755013013077,1.5351018396516332,Foods defined as added sugars,tsp/day
16,added_sugar,1383,10.519963309976555,2.6728066089585107,1.0519963309976554,Foods defined as added sugars,tsp/day
17,added_sugar,1938,17.70591077757763,1.8751596623293114,1.770591077757763,Foods defined as added sugars,tsp/day
18,added_sugar,1694,16.25995320719103,0.6839269369294716,1.6259953207191031,Foods defined as added sugars,tsp/day
19,added_sugar,1797,14.83569699504893,0.6475199931276772,1.483569699504893,Foods defined as added sugars,tsp/day
20,added_sugar,1473,13.673552468642743,0.9662568993189196,1.3673552468642742,Foods defined as added sugars,tsp/day
21,added_sugar,1921,15.62390755747413,2.0891268021865677,1.562390755747413,Foods defined as added sugars,tsp/day
22,added_sugar,1328,16.089705634718985,1.2869016397947053,1.6089705634718985,Foods defined as added sugars,tsp/day
23,added_sugar,1511,14.699584559455849,1.5118339834105925,1.469958455945585,Foods defined as added sugars,tsp/day
