subgroup,Foodgroup,Mean_Intake,SE_Intake,sigma_u_wgt,pro_gro,Food_label,food_desc
1,added_sugar,12.745820595521996,0.58366975702273,1.2745820595521997,0.4868074186670364,Added sugars,Foods defined as added sugars (tsp. eq.)
2,added_sugar,16.852998184283518,0.6618313131641747,1.6852998184283519,0.475529662728411,Added sugars,Foods defined as added sugars (tsp. eq.)
3,added_sugar,14.165786428073238,0.7462672959737962,1.4165786428073237,0.49320998422510126,Added sugars,Foods defined as added sugars (tsp. eq.)
4,added_sugar,12.545788888028074,1.0702398816871004,1.2545788888028073,0.44892143284882463,Added sugars,Foods defined as added sugars (tsp. eq.)
5,added_sugar,15.871087363942353,0.8590850797250815,1.5871087363942353,0.5684203440024218,Added sugars,Foods defined as added sugars (tsp. eq.)
6,added_sugar,18.296621913250465,0.8314328975518303,1.8296621913250466,0.5045965702780945,Added sugars,Foods defined as added sugars (tsp. eq.)
7,added_sugar,16.56434678493635,0.7972947222100022,1.656434678493635,0.5631644160812416,Added sugars,Foods defined as added sugars (tsp. eq.)
8,added_sugar,13.49866077881039,0.77015433632288,1.349866077881039,0.5492652979120375,Added sugars,Foods defined as added sugars (tsp. eq.)
9,added_sugar,15.257065676136063,0.9753502000184688,1.5257065676136063,0.5518733327753884,Added sugars,Foods defined as added sugars (tsp. eq.)
10,added_sugar,16.110992987127982,1.0941741563363907,1.6110992987127983,0.5230019196418912,Added sugars,Foods defined as added sugars (tsp. eq.)
11,added_sugar,13.932461452012053,0.7713802270891874,1.3932461452012053,0.5970020047964498,Added sugars,Foods defined as added sugars (tsp. eq.)
12,added_sugar,10.671040635007078,0.9969252968371812,1.0671040635007079,0.6914747358527185,Added sugars,Foods defined as added sugars (tsp. eq.)
13,added_sugar,16.177416055540355,1.1053615301775304,1.6177416055540355,0.6316974056505604,Added sugars,Foods defined as added sugars (tsp. eq.)
14,added_sugar,18.993092738251885,0.9358854854923458,1.8993092738251884,0.5975063146815894,Added sugars,Foods defined as added sugars (tsp. eq.)
15,added_sugar,13.895446189345469,0.6598843789026995,1.3895446189345468,0.6190849834940904,Added sugars,Foods defined as added sugars (tsp. eq.)
16,added_sugar,16.6306516277143,1.1924509196716198,1.6630651627714301,0.6839639931316468,Added sugars,Foods defined as added sugars (tsp. eq.)
17,added_sugar,14.722851769244144,0.904754147214966,1.4722851769244145,0.6302994103313351,Added sugars,Foods defined as added sugars (tsp. eq.)
18,added_sugar,16.279028728877527,0.8241063782406195,1.6279028728877527,0.5391049315186272,Added sugars,Foods defined as added sugars (tsp. eq.)
19,added_sugar,14.73657449008269,0.6871020768298667,1.473657449008269,0.6246191050129273,Added sugars,Foods defined as added sugars (tsp. eq.)
20,added_sugar,10.99131164089839,1.1582303836814505,1.099131164089839,0.613878916295556,Added sugars,Foods defined as added sugars (tsp. eq.)
21,added_sugar,18.00766073220125,1.3477673131493737,1.800766073220125,0.7154291602360457,Added sugars,Foods defined as added sugars (tsp. eq.)
22,added_sugar,18.029693393408262,1.1097011062606943,1.8029693393408261,0.5954622972279513,Added sugars,Foods defined as added sugars (tsp. eq.)
23,added_sugar,14.262399566519454,0.5848572302749082,1.4262399566519455,0.6218996203758729,Added sugars,Foods defined as added sugars (tsp. eq.)
24,added_sugar,12.733551840842331,1.1220068809557333,1.2733551840842332,0.7513139295318348,Added sugars,Foods defined as added sugars (tsp. eq.)
25,added_sugar,15.194668026024791,1.1631364797724515,1.5194668026024791,0.6736502601728939,Added sugars,Foods defined as added sugars (tsp. eq.)
26,added_sugar,15.78767281934546,0.664994166819356,1.578767281934546,0.6412490321452478,Added sugars,Foods defined as added sugars (tsp. eq.)
27,added_sugar,12.39737865053279,0.707242929136042,1.239737865053279,0.6348176122875199,Added sugars,Foods defined as added sugars (tsp. eq.)
28,added_sugar,10.673196928696472,1.3466608249450434,1.0673196928696471,0.7722442252119295,Added sugars,Foods defined as added sugars (tsp. eq.)
29,added_sugar,16.451937051892738,1.0606840082081488,1.6451937051892738,0.7118456945887255,Added sugars,Foods defined as added sugars (tsp. eq.)
30,added_sugar,19.029759441136157,1.000316986183667,1.9029759441136158,0.6305461885335202,Added sugars,Foods defined as added sugars (tsp. eq.)
31,added_sugar,16.123547557089676,1.4064416148763572,1.6123547557089677,0.6834318604652472,Added sugars,Foods defined as added sugars (tsp. eq.)
32,added_sugar,13.03984430691599,1.7121598830184142,1.303984430691599,0.7136283473590391,Added sugars,Foods defined as added sugars (tsp. eq.)
33,added_sugar,12.962402319553483,0.8018323860526468,1.2962402319553483,0.7286488734144413,Added sugars,Foods defined as added sugars (tsp. eq.)
34,added_sugar,15.06189615859307,0.7360260714070798,1.506189615859307,0.644356576707711,Added sugars,Foods defined as added sugars (tsp. eq.)
35,added_sugar,11.782903179990504,1.107439480965314,1.1782903179990503,0.7117211608150259,Added sugars,Foods defined as added sugars (tsp. eq.)
36,added_sugar,12.419150820733996,1.4248872236042849,1.2419150820733997,0.7182004592758153,Added sugars,Foods defined as added sugars (tsp. eq.)
37,added_sugar,14.898079901249623,0.6815361665617187,1.4898079901249623,0.7609886045962921,Added sugars,Foods defined as added sugars (tsp. eq.)
38,added_sugar,19.52253053261944,0.7622119437273052,1.9522530532619442,0.7451393906359342,Added sugars,Foods defined as added sugars (tsp. eq.)
39,added_sugar,13.114402782500406,0.7855199813931972,1.3114402782500405,0.7577017298114972,Added sugars,Foods defined as added sugars (tsp. eq.)
40,added_sugar,11.1327932100437,1.1200053057784372,1.1132793210043699,0.774103305824189,Added sugars,Foods defined as added sugars (tsp. eq.)
