,risk_factor,subgroup,Age,Age_label,Sex,Sex_label,Race,IHD,IHDse,ISTK,ISTKse,HSTK,HSTKse,HHD,HHDse,AA,AAse,RHD,RHDse,ENDO,ENDOse,OTH,OTHse,CM,CMse,AFF,AFFse,PVD,PVDse,OSTK,OSTKse,DIAB,DIABse,TSTK,TSTKse
1,SBP,1,1,25-34,1,Female,1,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
2,SBP,2,1,25-34,1,Female,2,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
3,SBP,3,1,25-34,1,Female,3,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
4,SBP,4,1,25-34,1,Female,4,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
5,SBP,5,1,25-34,2,Male,1,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
6,SBP,6,1,25-34,2,Male,2,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
7,SBP,7,1,25-34,2,Male,3,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
8,SBP,8,1,25-34,2,Male,4,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.413264008,0.042845569,0.595531134,0.175135135,0.595531134,0.175135135,0.595531134,0.175135135
9,SBP,9,2,35-44,1,Female,1,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
10,SBP,10,2,35-44,1,Female,2,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
11,SBP,11,2,35-44,1,Female,3,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
12,SBP,12,2,35-44,1,Female,4,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
13,SBP,13,2,35-44,2,Male,1,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
14,SBP,14,2,35-44,2,Male,2,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
15,SBP,15,2,35-44,2,Male,3,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
16,SBP,16,2,35-44,2,Male,4,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.363739959,0.033217644,0.520330116,0.136226917,0.520330116,0.136226917,0.520330116,0.136226917
17,SBP,17,3,45-54,1,Female,1,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
18,SBP,18,3,45-54,1,Female,2,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
19,SBP,19,3,45-54,1,Female,3,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
20,SBP,20,3,45-54,1,Female,4,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
21,SBP,21,3,45-54,2,Male,1,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
22,SBP,22,3,45-54,2,Male,2,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
23,SBP,23,3,45-54,2,Male,3,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
24,SBP,24,3,45-54,2,Male,4,0.444880128,0.097287567,0.601747156,0.028968562,0.637077101,0.143749064,0.911343203,0.024906593,0.366108823,0.030560228,0.185043856,0.040904662,0.281966617,0.041244465,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.314135165,0.023956001,0.444880128,0.097287567,0.444880128,0.097287567,0.444880128,0.097287567
25,SBP,25,4,55-64,1,Female,1,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
26,SBP,26,4,55-64,1,Female,2,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
27,SBP,27,4,55-64,1,Female,3,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
28,SBP,28,4,55-64,1,Female,4,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
29,SBP,29,4,55-64,2,Male,1,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
30,SBP,30,4,55-64,2,Male,2,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
31,SBP,31,4,55-64,2,Male,3,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
32,SBP,32,4,55-64,2,Male,4,0.368680283,0.05828237,0.487577141,0.018019094,0.507799908,0.090267396,0.772069416,0.017293107,0.309004872,0.019853809,0.155445043,0.02696388,0.237588085,0.027583582,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.264416939,0.015724731,0.368680283,0.05828237,0.368680283,0.05828237,0.368680283,0.05828237
33,SBP,33,5,65-74,1,Female,1,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
34,SBP,34,5,65-74,1,Female,2,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
35,SBP,35,5,65-74,1,Female,3,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
36,SBP,36,5,65-74,1,Female,4,0.287150631,0.0185143,0.36791996,0.019647908,0.378759673,0.036060986,0.632021659,0.016630961,0.251900921,0.01393944,0.125846231,0.018924916,0.193209553,0.019380537,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.218297552,0.015321114,0.287150631,0.0185143,0.287150631,0.0185143,0.287150631,0.0185143
