risk_factor,subgroup,Age,Age_label,Sex,Sex_label,Race,IHD,IHDse,ISTK,ISTKse,HSTK,HSTKse,HHD,HHDse,AA,AAse,RHD,RHDse,ENDO,ENDOse,OTH,OTHse,CM,CMse,AFF,AFFse,PVD,PVDse,OSTK,OSTKse,DIAB,DIABse,TSTK,TSTKse,ECA,SCC,LVC,PC,CC,UC,OC,GC,KC,BC,TC,MMC,APCA,Larynx,LC,MC,MLPC,SCNC,ECAse,SCCse,LVCse,PCse,CCse,UCse,OCse,GCse,KCse,BCse,TCse,MMCse,APCAse,Larynxse,LCse,MCse,MLPCse,SCNCse
SBP,1,1,25-34,1,Female,1,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,2,1,25-34,1,Female,2,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,3,1,25-34,1,Female,3,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,4,1,25-34,1,Female,4,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,5,1,25-34,2,Male,1,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,6,1,25-34,2,Male,2,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,7,1,25-34,2,Male,3,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,8,1,25-34,2,Male,4,0.595531134,0.175135135,0.833171816,0.054588739,0.811346629,0.153596289,1.189800432,0.046682389,0.480316726,0.055073583,0.244241481,0.072781859,0.37072368,0.072433549,0.413264008,0.042845569,0,0,0,0,0,0,0.833171816,0.054588739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,9,2,35-44,1,Female,1,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0,0,0,0,0,0,0.717029548,0.041580454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP,10,2,35-44,1,Female,2,0.520330116,0.136226917,0.717029548,0.041580454,0.748346276,0.175734195,1.05056351,0.035316234,0.423212774,0.042586025,0.214642668,0.056538253,0.326345148,0.056536368,0.363739959,0.033217644,0,0,0,0,0,0,0.717029548,0.041580454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
