food_grp,dga_subgrp_new,grams_subgrp_tot,fpe_dy_2500,new_CF,new_CF_rounded
fruit,fruit_juice,113.07593832646712,0.45,251.27986294770471,251
fruit,whole_fruit,235.59347644720307,1.55,151.99579125626005,152
veg,veg_exc_sta,330.25633371797454,2.321428573,142.2642667360563,142
veg,veg_sta,124.55504090514201,0.928571429,134.13619783593623,134
