"","food_grp","dga_subgrp","fpe_dy_2500"
"1","fruit","fruit",2
"2","veg","green",0.3214285715
"3","veg","red",0.9285714285
"4","veg","bean",0.3214285715
"5","veg","starch",0.9285714285
"6","veg","other",0.75
"7","grain","whole",4.25
"8","grain","refined",4.25
"9","protein","meat",2.29376129
"10","protein","poultry",1.721310877
"11","protein","egg",0.413499261
"12","protein","seafood",1.428571429
"13","protein","nuts",0.649522133
"14","protein","soy",0.064763581
"15","dairy","dairy",3
"16","oils","oils",32.5
"17","extra","extra",365
