,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,dga_subgrp_new,prop_dga_subgrp,prop_food_subgrp,FPED,FPED_CF
27,41102020,"Black, brown, or Bayo beans, dry, cooked, fat not added in cooking",Black beans,"Beans, black, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.083333333,0.06,0.57,1.754385965
81,41302020,"Chickpeas, dry, cooked, fat not added in cooking",Chickpeas,"Chickpeas, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.05,0.06,0.57,1.754385965
125,41303000,"Green or yellow split peas, dry, cooked, fat not added in cooking",Split Peas,"Peas, split, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.016666667,0.06,0.57,1.754385965
141,41305000,"Lentils, dry, cooked, fat not added in cooking",Lentils,"Lentils, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.066666667,0.06,0.57,1.754385965
144,41103020,"Lima beans, dry, cooked, fat not added in cooking",Lima beans (mature) (Incl. fava and mung beans),"Lima beans, large, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.016666667,0.06,0.57,1.754385965
225,41104020,"Pinto, calico, or red Mexican beans, dry, cooked, fat not added in cooking",Pinto beans (Incl. pink beans),"Beans, pinto, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.383333333,0.06,0.57,1.754385965
244,41106020,"Red kidney beans, dry, cooked, fat not added in cooking",Kidney Beans,"Beans, kidney, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.133333333,0.06,0.57,1.754385965
300,41101120,"White beans, dry, cooked, fat not added in cooking",White beans (Incl. navy and pea beans),"Beans, small white, cooked, boiled, without salt",veg,bean,veg_exc_sta,0.25,0.06,0.57,1.754385965
56,14204010,"Cheese, cottage, lowfat (1-2% fat)","Cottage cheeses, lowfat and fat NFS","Cheese, cottage, lowfat, (1% milkfat) no sodium added",dairy,dairy,,0.001003009,,0.2,5
57,14204010,"Cheese, cottage, lowfat (1-2% fat)","Cottage cheeses, regular","Cheese, cottage, lowfat, (1% milkfat) no sodium added",dairy,dairy,,0.001003009,,0.2,5
58,14120020,"Cheese, Mexican blend, reduced fat ",Cheese in egg or meat dishes and frozen meals,"Cheese, Mexican, blend, reduced fat",dairy,dairy,,0.020060181,,3.53,0.283286119
59,14120020,"Cheese, Mexican blend, reduced fat ","Cheese in pasta and Italian dishes, regular and NFS","Cheese, Mexican, blend, reduced fat",dairy,dairy,,0.023069208,,3.53,0.283286119
60,14120020,"Cheese, Mexican blend, reduced fat ",Cheese NFS,"Cheese, Mexican, blend, reduced fat",dairy,dairy,,0.030090271,,3.53,0.283286119
61,14120020,"Cheese, Mexican blend, reduced fat ",Cheese in Mexican dishes,"Cheese, Mexican, blend, reduced fat",dairy,dairy,,0.017051153,,3.53,0.283286119
62,14120020,"Cheese, Mexican blend, reduced fat ","Cheese in pasta and Italian dishes, reduced fat, lowfat, and nonfat","Cheese, Mexican, blend, reduced fat",dairy,dairy,,0.003009027,,3.53,0.283286119
63,14107060,"cheese, mozzarella, nonfat or fat free","Cheese in grains products (incl fried cheese, gnocchi), desserts/sweets, reduced fat, lowfat, nonfat","Cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.003009027,,3.53,0.283286119
64,14107060,"cheese, mozzarella, nonfat or fat free","Natural cheeses (incl low sodium cheeses), fat NFS","Cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.009027081,,3.53,0.283286119
65,14107060,"cheese, mozzarella, nonfat or fat free","Cheese on pizza and calzone, reduced-fat and lowfat","cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.08224674,,3.53,0.283286119
66,14107060,"cheese, mozzarella, nonfat or fat free","Cheese on pizza and calzone, regular","cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.080240722,,3.53,0.283286119
67,14107060,"Cheese, Mozzarella, nonfat or fat free","Natural cheeses (incl low sodium cheeses), regular","Cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.075225677,,3.53,0.283286119
68,14107060,"Cheese, Mozzarella, nonfat or fat free","Natural cheeses (incl low sodium cheeses), lowfat and fat-free","Cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.002006018,,3.53,0.283286119
69,14107060,"cheese, mozzarella, nonfat or fat free","Natural cheeses (incl low sodium cheeses), reduced-fat","Cheese, mozzarella, nonfat or fat free",dairy,dairy,,0.017051153,,3.53,0.283286119
70,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Cheese in grains products, snacks (incl breads and cereals), desserts/sweets, regular and NFS","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.004012036,,2.35,0.425531915
71,14410300,"Cheese, processed, American or Cheddar type, lowfat ",Cheese on sandwiches,"Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.019057172,,2.35,0.425531915
72,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Processed cheeses (incl low sodium cheeses), lowfat and fat-free","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.002006018,,2.35,0.425531915
73,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Processed cheeses (incl low sodium cheeses), reduced-fat","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.001003009,,2.35,0.425531915
74,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Processed cheeses (incl low sodium cheeses), regular","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.04112337,,2.35,0.425531915
75,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Cheese on vegetables (cheese sauce), in salads & dressings","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.008024072,,2.35,0.425531915
76,14410300,"Cheese, processed, American or Cheddar type, lowfat ","Cheese spreads, dips, sauces, soups","Cheese, pasturized processed, American, lowfat",dairy,dairy,,0.009027081,,2.35,0.425531915
109,13160400," Fat free ice cream, flavors other than chocolate","Ice cream, regular and rich","Ice creams, vanilla, fat-free",dairy,dairy,,0.015045135,,0.48,2.083333333
110,13160400," Fat free ice cream, flavors other than chocolate","Ice cream sundaes, cones, sticks/bars/novelties, light and lowfat","Ice creams, vanilla, fat-free",dairy,dairy,,0.002006018,,0.48,2.083333333
111,13160400," Fat free ice cream, flavors other than chocolate","Ice cream sundaes, cones, sticks/bars/novelties, regular, rich, NFS","Ice creams, vanilla, fat-free",dairy,dairy,,0.002006018,,0.48,2.083333333
