,FNDDS_food_code,FNDDS_food_code_descr,food_item_cluster,rep_food,food_grp,dga_subgrp,dga_subgrp_new,prop_dga_subgrp,prop_food_subgrp,FPED,FPED_CF
112,13160400," Fat free ice cream, flavors other than chocolate","Ice cream, light and fat-free","Ice creams, vanilla, fat-free",dairy,dairy,,0.004012036,,0.48,2.083333333
152,11114320," Milk, cow's, fluid, lactose reduced, nonfat","Low lactose, calcium-fortified, acidopholus, buttermilk, goat's milk & imitation milks, 1% and fat-free","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.002006018,,0.41,2.43902439
153,11114320," Milk, cow's, fluid, lactose reduced, nonfat","Low lactose, calcium-fortified, acidopholus, buttermilk, goat's milk & imitation milks, 2%","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.001003009,,0.41,2.43902439
154,11114320," Milk, cow's, fluid, lactose reduced, nonfat","Low lactose, calcium-fortified, acidopholus, buttermilk, goat's milk & imitation milks, whole and NFS","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.002006018,,0.41,2.43902439
155,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Flavored milks (chocolate, cocoa), fat-free","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.003009027,,0.41,2.43902439
156,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Flavored milks (chocolate, cocoa), NFS","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.006018054,,0.41,2.43902439
157,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Flavored milks (chocolate, cocoa), whole","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.01003009,,0.41,2.43902439
158,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",Milk in soups,"Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.005015045,,0.41,2.43902439
159,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Flavored milks (chocolate, cocoa), 2%","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.014042126,,0.41,2.43902439
160,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk shakes, malted milk drinks, fruit-milk drinks/smoothies, NFS","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.009027081,,0.41,2.43902439
161,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk in puddings custards, desserts, sweetened condensed milk","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.006018054,,0.41,2.43902439
162,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Flavored milks (chocolate, cocoa), 1%","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.01003009,,0.41,2.43902439
163,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Unflavored cow milks, fat-free","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.069207623,,0.41,2.43902439
164,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk in mashed potatoes, creamed veg., sauces, gravies, salad dressings","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.007021063,,0.41,2.43902439
165,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk in bread, baked products, cereals","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.008024072,,0.41,2.43902439
166,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",Milk in scrambled eggs/omelets,"Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.017051153,,0.41,2.43902439
167,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk in casseroles, mixtures, batters, frozen meals, man & other dishes","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.037111334,,0.41,2.43902439
168,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Unflavored cow milks, whole","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.066198596,,0.41,2.43902439
169,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Unflavored cow milks, 1%","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.059177533,,0.41,2.43902439
170,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Unflavored cow milks, 2%","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.12337011,,0.41,2.43902439
171,11113000," Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat","Milk in coffee drinks, lattes, etc.","Milk, nonfat, fluid, added vitamin A and D",dairy,dairy,,0.015045135,,0.41,2.43902439
172,11121300," Milk, dry, reconstituted, nonfat","Milk powder drinks, eggnog, other bev.","Milk, dry, nonfat, instant, added vitamin A and D",dairy,dairy,,0.001003009,,0.41,2.43902439
173,11121300," Milk, dry, reconstituted, nonfat",Meal supplements/replacements/diet drinks,"Milk, dry, nonfat, instant, added vitamin A and D",dairy,dairy,,0.003009027,,0.41,2.43902439
174,11121300," Milk, dry, reconstituted, nonfat","Dry & evaporated milks, whole, reduced fat, and NFS","Milk, dry, nonfat, instant, added vitamin A and D",dairy,dairy,,0.001003009,,0.41,2.43902439
175,11121300," Milk, dry, reconstituted, nonfat",Milk in candies and bars and cookies,"Milk, dry, nonfat, instant, added vitamin A and D",dairy,dairy,,0.011033099,,0.41,2.43902439
176,11320000,"MILK, SOY, READY-TO-DRINK, NOT BABY",Soymilk,"Soymilk (all flavors), unsweetened, added calcium, vitamins A and D",dairy,dairy,,0.015045135,,0.41,2.43902439
308,11460300,"Yogurt, frozen, flavors other than chocolate, nonfat milk","Frozen yogurt and sherbet, regular, lowfat, fat-free, and NFS","Frozen yogurts, choc, nonfat milk, sweetened w/o sugar",dairy,dairy,,0.003009027,,0.36,2.777777778
309,11411300," Yogurt, plain, nonfat milk","Unflavored Yogurts, fat-free","Yogurt, plain, skim milk, 13 grams protein per 8 oz",dairy,dairy,,0.001003009,,0.41,2.43902439
310,11411300," Yogurt, plain, nonfat milk","Unflavored Yogurts, lowfat","Yogurt, plain, skim milk, 13 grams protein per 8 oz",dairy,dairy,,0.001003009,,0.41,2.43902439
311,11411300," Yogurt, plain, nonfat milk","Unflavored Yogurts, whole and NFS","Yogurt, plain, skim milk, 13 grams protein per 8 oz",dairy,dairy,,0.001003009,,0.41,2.43902439
312,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Flavored Yogurts (caloric sweeteners), NFS","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.001003009,,0.41,2.43902439
313,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Fruit Yogurts (low calorie sweeteners), fat-free","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.003009027,,0.41,2.43902439
314,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Flavored Yogurts (low calorie sweeteners), fat-free","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.001003009,,0.41,2.43902439
315,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Flavored Yogurts (low calorie sweeteners), lowfat","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.001003009,,0.41,2.43902439
316,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Flavored Yogurts (caloric sweeteners), fat-free","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.001003009,,0.41,2.43902439
317,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Flavored Yogurts (caloric sweeteners), lowfat","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.002006018,,0.41,2.43902439
318,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Fruit Yogurts (caloric sweeteners) incl. yogurt NS, whole","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.001003009,,0.41,2.43902439
319,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Fruit Yogurts (caloric sweeteners) incl.yogurt NS, fat NFS","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.002006018,,0.41,2.43902439
320,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Fruit Yogurts (caloric sweeteners) incl.yogurt NS, fat-free","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.002006018,,0.41,2.43902439
321,11424000,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener","Fruit Yogurts (caloric sweeteners) incl.yogurt NS, lowfat","Yogurt, vanilla or lemon, nonfat milk, low calorie sweetener, fortified with vitamin D",dairy,dairy,,0.007021063,,0.41,2.43902439
106,31103000,"Egg, whole, boiled",Eggs,"Egg, whole, cooked, hard-boiled",protein,egg,,1,,2,0.5
39,81101000,NA,Dairy fat (incl. butter),"Butter, salted",extra,extra,,0.1265,,717,0.0013947
84,82101500,NA,Coconut oil,Coconut oil,extra,extra,,0.022,,892,0.001121076
138,81202000,NA,Beef fat (incl. tallow),Beef fat (tallow),extra,extra,,0.099,,902,0.001108647
139,81202000,NA,Pork fat (incl. lard),Lard,extra,extra,,0.0385,,902,0.001108647
151,81103030,NA,Margarine (1/2 total),"70% fat stick margarine, without Vit. D",extra,extra,,0.0165,,628,0.001592357
256,81203100,NA,Vegetable shortening,"Vegetable shortening,household,composite",extra,extra,,0.1045,,884,0.001131222
257,81203100,NA,Hydrogentated soy oil,"Soybean oil, partially hydrogenated",extra,extra,,0.0825,,884,0.001131222
273,91101010,NA,Granulated sugar,"Sugar, granulated",extra,extra,,0.45,,387,0.002583979
294,82101000,NA,Palm Kernel oil,Palm kernel oil,extra,extra,,0.0165,,884,0.001131222
295,82101000,NA,Palm oil,Palm oil,extra,extra,,0.044,,884,0.001131222
3,64104010,Apple juice,Apple Juice,"Apple juice, canned/bottled, unsweetened, without vitamin C",fruit,fruit,fruit_juice,0.054822335,,0.4,2.5
4,64104010,Apple juice,Unknown Other Fruit Juice,"Apple juice, canned/bottled, unsweetened, without vitamin C",fruit,fruit,fruit_juice,0.016243655,,0.4,2.5
5,64104010,Apple juice,Mixed Fruit Juice (NOT citrus),"Apple juice, canned/bottled, unsweetened, without vitamin C",fruit,fruit,fruit_juice,0.004060914,,0.4,2.5
6,62101100,"Apple, dried, uncooked","Apples, dried","Apple, dried, sulfured, uncooked",fruit,fruit,whole_fruit,0.001015228,,2.22,0.45045045
7,63101000,"Apple, raw","Apples, raw","Apple, raw, with skin",fruit,fruit,whole_fruit,0.187817259,,0.91,1.098901099
8,63101120,"Applesauce, stewed apples, unsweetened",Applesauce,"Applesauce, canned, unsweetened, without vitamin C",fruit,fruit,whole_fruit,0.010152284,,0.41,2.43902439
9,63101120,"Applesauce, stewed apples, unsweetened","Apples, cooked or canned","Applesauce, canned, unsweetened, without vitamin C",fruit,fruit,whole_fruit,0.008121827,,0.41,2.43902439
10,63101120,"Applesauce, stewed apples, unsweetened",Unknown Other Fruit,"Applesauce, canned, unsweetened, without vitamin C",fruit,fruit,whole_fruit,0.016243655,,0.41,2.43902439
11,63103010,"Apricot, raw","Apricot, raw","Apricots, raw",fruit,fruit,whole_fruit,0.001015228,,0.61,1.639344262
17,63107010,"Banana, raw","Bananas, raw (Incl. white, red, Chinese, and apple types)","Bananas, raw",fruit,fruit,whole_fruit,0.129949239,,0.67,1.492537313
18,63107010,"Banana, raw","Bananas, cooked or canned (Incl. red)","Bananas, raw",fruit,fruit,whole_fruit,0.001015228,,0.67,1.492537313
28,63201010,"Blackberries, raw","Blackberries, raw","Blackberries, raw",fruit,fruit,whole_fruit,0.003045685,,0.69,1.449275362
29,63203010,"Blueberries, raw","Blueberries, cooked or canned","Blueberries, raw",fruit,fruit,whole_fruit,0.002030457,,0.69,1.449275362
30,63203010,"Blueberries, raw","Blueberries, raw","Blueberries, raw",fruit,fruit,whole_fruit,0.015228426,,0.69,1.449275362
46,63109010,"Cantaloupe, raw","Cantaloupe, raw","Melons, cantaloupe, raw",fruit,fruit,whole_fruit,0.020304569,,0.59,1.694915254
77,63113110,"Cherries, sour, red, ckd, unswtnd","Cherries, cooked or canned (Incl. maraschino)","Cherries, sour, red, canned, water pack",fruit,fruit,whole_fruit,0.001015228,,0.26,3.846153846
98,63207110,"Cranberries, cooked or canned","Cranberries, cooked or canned","Cranberry sauce, canned, sweetened",fruit,fruit,whole_fruit,0.001015228,,0.48,2.083333333
99,62109100,"Cranberries, dried","Cranberries, dried","Cranberries, dried, sweetened",fruit,fruit,whole_fruit,0.004060914,,1.79,0.558659218
100,64105400,"Cranberry jce, 100%, not a blend",Cranberry Juice,"Cranberry juice,unsweetened",fruit,fruit,fruit_juice,0.004060914,,0.4,2.5
105,62110100,Date,"Dates, raw and cooked","Dates, deglet noor",fruit,fruit,whole_fruit,0.001015228,,1.33,0.751879699
121,64116020,"Grape juice, unswtnd, w/ Vit. C",Grape Juice,"Grape juice, canned, unsweetened, without vitamin C",fruit,fruit,fruit_juice,0.012182741,,0.4,2.5
122,61201220,"Grapefruit juice, cnd, unswt.",Grapefruit Juice,"Grapefruit juice, white, canned, unsweetened",fruit,fruit,fruit_juice,0.005076142,,0.4,2.5
123,61101010,"Grapefruit, raw","Grapefruit, raw","Grapefruit, raw, pink, red, and white",fruit,fruit,whole_fruit,0.006091371,,0.48,2.083333333
124,63123010,"Grapes, European type, adherent skin, raw","Grapes, raw","Grapes, red/green (European type), raw",fruit,fruit,whole_fruit,0.03857868,,0.67,1.492537313
133,63127010,"Honeydew melon, raw","Honeydew Melon, raw","Melons, honeydew, raw",fruit,fruit,whole_fruit,0.004060914,,0.59,1.694915254
136,63126500,"Kiwifruit, raw","Kiwifruit, raw","Kiwifruit, green, raw",fruit,fruit,whole_fruit,0.001015228,,0.57,1.754385965
140,61204200,"Lemon juice, cnd or bottled",Lemon Juice,"Lemon juice, canned or bottled",fruit,fruit,fruit_juice,0.004060914,,0.4,2.5
145,61207200,"Lime juice, cnd or bottled",Lime Juice,"Lime juice, canned or bottled, unsweetened",fruit,fruit,fruit_juice,0.001015228,,0.4,2.5
148,64204010,Mango nectar,Mango Juice/Nectar,"Mango nectar, canned",fruit,fruit,fruit_juice,0.001015228,,0.16,6.25
149,63129010,"Mango, raw","Mango, raw","Mangos, raw",fruit,fruit,whole_fruit,0.008121827,,0.61,1.639344262
150,63129010,"Mango, raw","Mango, dried","Mangos, raw",fruit,fruit,whole_fruit,0.001015228,,0.61,1.639344262
182,63131010,"Nectarine, raw","Nectarine, raw","Nectarines, raw",fruit,fruit,whole_fruit,0.005076142,,0.69,1.449275362
194,61210620,"Orange jce, frz, unswt., recons.",Orange Juice (Incl. tangerine & acerola),"Orange juice, chilled, including from concentrate",fruit,fruit,fruit_juice,0.174619289,,0.4,2.5
195,61210620,"Orange jce, frz, unswt., recons.",Unknown Citrus Fruit Juice,"Orange juice, chilled, including from concentrate",fruit,fruit,fruit_juice,0.012182741,,0.4,2.5
196,61119010,"Orange, raw","Oranges, raw (Incl. orange peel)","Oranges, raw, all varieties",fruit,fruit,whole_fruit,0.035532995,,0.54,1.851851852
200,64120010,Papaya juice,Papaya Juice/Nectar,"Papaya nectar, canned",fruit,fruit,fruit_juice,0.001015228,,0.4,2.5
201,63133010,"Papaya, raw","Papaya, raw","Papayas, raw",fruit,fruit,whole_fruit,0.002030457,,0.71,1.408450704
202,63135120,"Peach, ckd/cnd, unsweetened, water pack","Peaches, cooked or canned","Peaches, canned, water pack",fruit,fruit,whole_fruit,0.006091371,,0.26,3.846153846
203,63135010,"Peach, raw","Peaches, raw","Peaches, raw",fruit,fruit,whole_fruit,0.022335025,,0.65,1.538461538
207,63137120,"Pear, ckd/cnd, unswtnd, water pack","Pears, cooked or canned","Pears, canned, water pack",fruit,fruit,whole_fruit,0.004060914,,0.26,3.846153846
208,63137050,"Pear, Japanese, raw","Japanese Pears, raw","Pears, asian, raw",fruit,fruit,whole_fruit,0.001015228,,0.61,1.639344262
209,63137010,"Pear, raw","Pears, raw","Pears, raw",fruit,fruit,whole_fruit,0.015228426,,0.61,1.639344262
218,63139010,"Persimmon, raw","Persimmons, raw","Persimmons, native, raw",fruit,fruit,whole_fruit,0.002030457,,0.61,1.639344262
222,64124020,Pineapple juice,Pineapple Juice,"Pineapple juice, canned, unsweetened, without vitamin C",fruit,fruit,fruit_juice,0.004060914,,0.4,2.5
223,63141120,"Pineapple, ckd/cnd, unsweetened, water pack","Pineapple, cooked or canned","Pineapples, canned, water pack",fruit,fruit,whole_fruit,0.004060914,,0.26,3.846153846
224,63141010,"Pineapple, raw","Pineapple, raw","Pineapples, raw, all varieties",fruit,fruit,whole_fruit,0.012182741,,0.61,1.639344262
227,63143010,"Plum, raw","Plums, raw","Plums, raw",fruit,fruit,whole_fruit,0.004060914,,0.61,1.639344262
228,64126000,Pomegranate juice,Pomegranate Juice,"Pomegranate juice, bottled",fruit,fruit,fruit_juice,0.002030457,,0.4,2.5
229,63145010,"Pomegranate, raw","Pomegranate, raw","Pomegranates, raw",fruit,fruit,whole_fruit,0.001015228,,0.65,1.538461538
236,64132010,Prune juice,Prune Juice,"Prune juice, canned",fruit,fruit,fruit_juice,0.001015228,,0.4,2.5
237,62122100,"Prune, dried, unckd","Plums, dried (include dried prunes)","Plums, dried (prunes), uncooked",fruit,fruit,whole_fruit,0.001015228,,1.18,0.847457627
241,62125100,Raisins,"Raisins, cooked or canned","Raisins, seedless",fruit,fruit,whole_fruit,0.004060914,,1.33,0.751879699
242,62125100,Raisins,"Raisins, raw (Incl. raw & dried currants)","Raisins, seedless",fruit,fruit,whole_fruit,0.014213198,,1.33,0.751879699
243,63219000,"Raspberries, raw, NS as to color","Raspberries, raw (incl. black & red)","Raspberries, raw",fruit,fruit,whole_fruit,0.002030457,,0.69,1.449275362
270,63223120,"Strawberries, ckd or cnd, unsweetened, water pack",Unknown Citrus Fruit,"Strawberries,raw",fruit,fruit,whole_fruit,0.004060914,,0.26,3.846153846
271,63223120,"Strawberries, ckd or cnd, unsweetened, water pack","Strawberries, cooked, canned, dried","Strawberries,  frozen, unsweetened",fruit,fruit,whole_fruit,0.002030457,,0.26,3.846153846
272,63223020,"Strawberries, raw","Strawberries, raw","Strawberries, raw",fruit,fruit,whole_fruit,0.036548223,,0.69,1.449275362
278,61125010,"Tangerine, raw","Tangerine, raw or canned/cooked","Tangerines (mandarin oranges), raw",fruit,fruit,whole_fruit,0.009137056,,0.54,1.851851852
299,63149010,"Watermelon, raw","Watermelon, raw","Watermelon, raw",fruit,fruit,whole_fruit,0.052791878,,0.67,1.492537313
36,72201210,"Broccoli, cooked, NS as to form, fat not added in cooking","Broccoli, cooked","Broccoli, cooked, boiled, without salt",veg,green,veg_exc_sta,0.32,0.075,0.65,1.538461538
37,72201100,"Broccoli, raw","Broccoli, raw","Broccoli, raw",veg,green,veg_exc_sta,0.066666667,0.075,1.25,0.8
40,75210010,"Cabbage, Chinese, cooked, fat not added in cooking",Bak Choy (Chinese Cabbage),"Cabbage, Chinese (pak-choi), cooked, without salt",veg,green,veg_exc_sta,0.026666667,0.075,0.62,1.612903226
82,75109550,"Cilantro, raw","Cilantro, raw and ckd","Coriander leaves (Cilantro), raw",veg,green,veg_exc_sta,0.013333333,0.075,3.33,0.3003003
86,72107210,"Collards, cooked, NS as to form, fat not added in cooking",Collard Greens,"Collards, cooked, boiled, without salt",veg,green,veg_exc_sta,0.04,0.075,0.77,1.298701299
108,72116000,"Endive, chicory, escarole, or romaine lettuce, raw","Mixed Dark Leafy Greens (includes Romaine, Chicory, Escarole, and Endive) ","Lettuce, cos or romaine, raw",veg,green,veg_exc_sta,0.253333333,0.075,1,1
135,72119210,"Kale, cooked, NS as to form, fat not added in cooking","Ckd Kale (Incl. lambsquarters, mustard cabbage, raw & ckd beet greens, bitter melon leaves, horseradish leaves, jute leaves, rad)","Kale, cooked, boiled, without salt",veg,green,veg_exc_sta,0.013333333,0.075,0.77,1.298701299
142,75113080,"Lettuce, arugula, raw",Arugula Lettuce,"Arugula, raw",veg,green,veg_exc_sta,0.013333333,0.075,2.5,0.4
181,72122210,"Mustard greens, cooked, NS as to form, fat not added in cooking",Ckd Mustard Greens (Incl. dandelion and poke greens),"Mustard greens, cooked, boiled, without salt",veg,green,veg_exc_sta,0.013333333,0.075,0.67,1.492537313
266,72125210,"Spinach, cooked, NS as to form, fat not added in cooking","Spinach, cooked (Incl. taro leaves)","Spinach, cooked, boiled, without salt",veg,green,veg_exc_sta,0.08,0.075,0.67,1.492537313
267,72125100,"Spinach, raw","Spinach, raw","Spinach, raw",veg,green,veg_exc_sta,0.146666667,0.075,1.43,0.699300699
