Race_label,food,mean,se
NHB,gr_tot,5.835518546800218,Inf
NHW,gr_tot,5.893541677014831,Inf
OTH,gr_tot,6.829698191681673,Inf
HIS,gr_tot_1,7.004981739154856,Inf
NHB,gr_tot_1,5.785952679964785,Inf
NHW,gr_tot_1,5.881378186947767,Inf
OTH,gr_tot_1,6.791232524352847,Inf
HIS,gr_tot_2,NA,NA
NHB,gr_tot_2,NA,NA
NHW,gr_tot_2,NA,NA
OTH,gr_tot_2,NA,NA
HIS,gr_tot_grams,263.0749419186459,Inf
NHB,gr_tot_grams,219.64653248687986,Inf
NHW,gr_tot_grams,225.58512707347126,Inf
OTH,gr_tot_grams,261.1848492905355,Inf
HIS,gr_whole,0.6684153618097768,Inf
NHB,gr_whole,0.7139824393058083,Inf
NHW,gr_whole,0.9338294871822638,Inf
OTH,gr_whole,1.1250773526723459,Inf
HIS,gr_whole_1,0.62778371758683,Inf
NHB,gr_whole_1,0.6770628703470829,Inf
NHW,gr_whole_1,0.9111086080749805,Inf
OTH,gr_whole_1,1.131232564275582,Inf
HIS,gr_whole_2,NA,NA
NHB,gr_whole_2,NA,NA
NHW,gr_whole_2,NA,NA
OTH,gr_whole_2,NA,NA
HIS,gr_whole_grams,34.08918345229862,Inf
NHB,gr_whole_grams,36.413104404596226,Inf
NHW,gr_whole_grams,47.62530384629545,Inf
OTH,gr_whole_grams,57.378944986289646,Inf
HIS,leg_tot,0.9936485775134054,Inf
NHB,leg_tot,0.36392164352148054,Inf
NHW,leg_tot,0.47838167451466024,Inf
OTH,leg_tot,0.6727468097533875,Inf
HIS,leg_tot_1,1.0355893853291853,Inf
NHB,leg_tot_1,0.35365003770811887,Inf
NHW,leg_tot_1,0.47583546491395917,Inf
OTH,leg_tot_1,0.6615476385775158,Inf
HIS,leg_tot_2,NA,NA
NHB,leg_tot_2,NA,NA
NHW,leg_tot_2,NA,NA
OTH,leg_tot_2,NA,NA
HIS,leg_tot_grams,36.764997367996,Inf
NHB,leg_tot_grams,13.46510081029478,Inf
NHW,leg_tot_grams,17.70012195704243,Inf
OTH,leg_tot_grams,24.89163196087534,Inf
HIS,oil,25.31041259123774,Inf
NHB,oil,29.721220257314346,Inf
NHW,oil,27.69517159356526,Inf
OTH,oil,27.918696848649862,Inf
HIS,oil_1,25.144490139972977,Inf
NHB,oil_1,29.340079106536887,Inf
NHW,oil_1,27.739440925036558,Inf
OTH,oil_1,27.631066784827432,Inf
HIS,oil_2,NA,NA
NHB,oil_2,NA,NA
NHW,oil_2,NA,NA
OTH,oil_2,NA,NA
HIS,pf_animal,5.700169875324953,Inf
NHB,pf_animal,5.982295055832687,Inf
NHW,pf_animal,5.143533163291437,Inf
OTH,pf_animal,5.454722713635238,Inf
HIS,pf_animal_1,NA,NA
NHB,pf_animal_1,5.749926571284838,Inf
NHW,pf_animal_1,5.006974117415866,Inf
OTH,pf_animal_1,5.377739931571013,Inf
HIS,pf_animal_2,NA,NA
NHB,pf_animal_2,NA,NA
NHW,pf_animal_2,NA,NA
OTH,pf_animal_2,NA,NA
HIS,pf_egg,0.7455868460440948,Inf
NHB,pf_egg,0.5629435542259086,Inf
NHW,pf_egg,0.5736221041694083,Inf
OTH,pf_egg,0.5498557147832893,Inf
HIS,pf_egg_1,0.7464031833375754,Inf
NHB,pf_egg_1,0.52510149818203,Inf
NHW,pf_egg_1,0.5602434412262316,Inf
OTH,pf_egg_1,0.5482235085176905,Inf
HIS,pf_egg_2,NA,NA
NHB,pf_egg_2,NA,NA
NHW,pf_egg_2,NA,NA
OTH,pf_egg_2,NA,NA
HIS,pf_egg_grams,37.27934230220474,Inf
