subgroup,food,mean,SE,pro_gro,gro_mean_intake,gro_se_intake,oth_mean_intake,oth_se_intake,food_label,food_desc
1,ssb,282.2197317559318,38.59560357917973,0.44881966059985784,126.66576422128023,17.322465699054106,155.55396753465158,21.273137880125628,Sugar sweetened beverages,Sugar sweetened beverages (gm)
1,oil,29.63982532036262,1.0134731870299063,0.5751362017268052,17.046936554599345,0.5828851193403404,12.592888765763274,0.43058806768956587,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)"
1,kcal,NA,NA,0.6129184602938045,NA,NA,NA,NA,NA,NA
1,sat_fat,26.997878766243865,0.4958121716720943,0.6045287903272768,16.320994991959875,0.29973273237047127,10.676883774283988,0.19607943930162303,Saturated fats,Total saturated fatty acids (gm)
1,sodium,3525.58468541313,57.76064116049954,0.593857618902115,2093.6953265172033,34.30159682583375,1431.8893588959265,23.459044334665787,Sodium,Sodium (mg)
1,fiber,17.21993381009756,0.4799705226129363,0.6984218099110316,12.026777338196506,0.33522188110727075,5.193156471901055,0.1447486415056656,Fiber,Dietary fiber (gm)
1,sea_omega3_fa,0.07629840841160715,0.01033104954761923,0.622786195073679,0.0475175954648424,0.006434035038879433,0.028780812946764746,0.0038970145087397962,Seafood omega-3 fats,PFA 20:5 (Eicosapentaenoic) (gm); PFA 22:6 (Docosahexaenoic) (gm)
1,pufa_energy,8.83754503280747,0.21530259835975088,0.8997571054576499,7.95164393807048,0.1937200426976804,0.8859010947369894,0.021582555662070475,PUFA as percent of total energy intake,Total polyunsaturated fatty acids (%E)
1,sfat_energy,12.14904544480975,0.2231154772524434,0.916782345124333,11.138030373914777,0.20454833046902984,1.0110150708949721,0.01856714678341357,Saturated fat as percent of total energy intake,Total saturated fatty acids (%E)
1,pf_animal,4.941252668897952,0.17488485122288636,0.6294340368710164,3.1101926145841214,0.11007847789280847,1.8310600543138302,0.06480637333007788,Animal-protein foods,"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.); Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
1,pf_plant,1.2829832329821398,0.10522402181909396,0.7203221823670426,0.9241612823220188,0.07579519703416707,0.358821950660121,0.02942882478492689,Plant-protein foods,"Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.); Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
2,gr_refined,5.359944980428601,0.13572429470918268,0.4834044387209231,2.591021194839117,0.0656097265046856,2.768923785589484,0.07011456820449707,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)
2,gr_whole,0.5847721848529953,0.06436094716001145,0.8170842440927539,0.4778081386270778,0.05258831585933163,0.10696404622591747,0.011772631300679817,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)"
2,dairy_tot,1.0825327691424729,0.06045107599740458,0.562828494035791,0.6092802882008527,0.03402358806646238,0.4732524809416202,0.026427487930942205,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)"
2,dairy_cow,1.062513498477105,0.05709018089313999,0.5541928780182573,0.5888374136542741,0.03163897165575218,0.47367608482283086,0.025451209237387813,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)"
2,dairy_soy,0.02025759432806684,0.01555018160401366,1,0.02025759432806684,0.01555018160401366,0,0,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.)
2,fruit_tot,0.7701256937176236,0.07505261217319695,0.8133540452405242,0.6263848483288942,0.06104434571693795,0.14374084538872947,0.014008266456258998,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.)
2,fruit_exc_juice,0.40440392239778794,0.05271034968385065,0.87614768715427,0.3543175612849368,0.046182050964598556,0.05008636111285113,0.006528298719252094,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)"
2,fruit_juice,0.36380380867691087,0.05024087276531989,0.7451549242113172,0.27109019948243207,0.03743723373775237,0.0927136091944788,0.012803639027567515,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)"
2,veg_exc_sta,0.7364614418322587,0.06211557763541056,0.5607150529215984,0.4129450163316916,0.03482913940109489,0.3235164255005671,0.027286438234315674,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)"
2,veg_dg,0.14046737527611938,0.01676543962772544,0.7051221254966836,0.0990466542176376,0.011821682425188091,0.041420721058481776,0.00494375720253735,Dark-green vegetables,Dark green vegetables (cup eq.)
2,veg_oth,0.31344227973661426,0.03137963452050815,0.4932562566310717,0.15460736557279156,0.015478201058037003,0.1588349141638227,0.015901433462471144,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.)
2,veg_ro,0.25582437282087345,0.02371534338274383,0.5608807915891719,0.14348697673557495,0.013301480569322389,0.11233739608529851,0.01041386281342144,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"
2,veg_sta,0.4437731997279858,0.02589494344829535,0.4158326741905743,0.18453539637699617,0.010767963582118347,0.25923780335098967,0.015126979866177004,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)
2,veg_leg,0.06414440446099785,0.01431241641610261,0.671383801992212,0.04306551414355095,0.00960912454913872,0.02107889031744691,0.0047032918669638905,"Beans, peas, lentils (vegetables)","Beans, peas, and lentils  (legumes) computed as vegetables (cup eq.)"
2,pf_ns,0.2649223280661049,0.04714866456597417,0.6871501561878934,0.1820414191082843,0.03239821222055975,0.08288090895782056,0.014750452345414422,Nuts and seeds,"Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
2,pf_soy,0.03420976580056899,0.0100577714559443,0.5417802089007148,0.018534174061876796,0.005449101520477149,0.015675591738692193,0.004608669935467151,Soy foods,"Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)"
2,pf_leg,0.25859316555573736,0.05775367950193621,0.671347073138622,0.17360576482949538,0.0387727636966109,0.08498740072624197,0.018980915805325307,"Beans, peas, lentils (protein)",Beans and Peas (legumes) computed as protein foods (oz. eq.)
2,pf_egg,0.5143068362154013,0.06338326041220221,0.6910293186591994,0.3554011026116972,0.0437996912570427,0.1589057336037041,0.019583569155159516,Eggs,"Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
2,pf_poultry,2.35306876972082,0.13311832720509054,0.4075818688027187,0.9590681665841259,0.05425661657414259,1.394000603136694,0.07886171063094796,Unprocessed poultry,"Chicken, turkey, Cornish hens, duck, goose, quail, and pheasant (game birds); excludes organ meat and cured meat (oz. eq.)"
2,pf_poultry_tot,2.6088373913182985,0.16853752040689626,0.4272058924199161,1.1145107059365795,0.07200022181166793,1.4943266853817192,0.09653729859522833,Unprocessed and processed poultry,Combination of ‘uncured poultry’ and ‘cured poultry’
2,pf_redm,1.040117929783139,0.11024802605634308,0.5820701991932291,0.6054216505733209,0.06417209048727593,0.43469627920981824,0.04607593556906715,Unprocessed red meat,"Beef, veal, pork, lamb, and game meat; excludes organ meat and cured meat (oz. eq.)"
2,pf_redm_tot,1.6189644317707534,0.14019308336294078,0.5847610757596052,0.9467073827388038,0.08197945824136926,0.6722570490319496,0.058213625121571515,Unprocessed and processed red meat,Combination of ‘uncured red meat’ and ‘cured red meat’
2,pf_pm,0.8009492865640402,0.09636219081278616,0.5976068534275968,0.47865278289861457,0.05758670564101881,0.3222965036654256,0.03877548517176735,Processed meat,"Frankfurters, sausages, corned beef, cured ham and luncheon meat that are made from beef, pork, or poultry (oz. eq.)"
2,pf_seafood,0.8878728011841328,0.104195564555713,0.5383498135852933,0.4779861570049301,0.05609366275498249,0.40988664417920273,0.048101901800730505,Seafood,"Seafood (finfish, shellfish, and other seafood) high in n-3 fatty acids (oz. eq.); Seafood (finfish, shellfish, and other seafood) low in n-3 fatty acids (oz. eq.)"
2,leg_tot,0.2954402549704592,0.06259269769975051,0.6561443827454009,0.19385146373573584,0.04106984699657227,0.1015887912347234,0.021522850703178237,"Beans, peas, lentils (total)","Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.)"
2,added_sugar,18.22928021216837,0.7767243220042368,0.4979637034479236,9.077519885641312,0.3867805199433073,9.151760326527057,0.3899438020609295,Added sugars,Foods defined as added sugars (tsp. eq.)
2,ssb,401.2511350956062,25.96289384738225,0.4269933614325684,171.33157095310648,11.085983316410696,229.9195641424997,14.876910530971555,Sugar sweetened beverages,Sugar sweetened beverages (gm)
2,oil,33.42615954237322,1.339358561057762,0.3929958019299009,13.136340374791773,0.5263622917745734,20.289819167581445,0.8129962692831887,Oils,"Fats naturally present in nuts, seeds, and seafood; all unhydrogenated vegetable oils, except palm oil, palm kernel oil, and coconut oils; the fat present in avocado and olives above the allowable amount; 50% of the fat present in stick and tub margarines and margarine spreads (grams)"
2,kcal,NA,NA,0.5031466898580216,NA,NA,NA,NA,NA,NA
2,sat_fat,25.961810862833115,0.6231342072376619,0.4948780074585316,12.847929229814113,0.3083754148570258,13.113881633019002,0.3147587923806361,Saturated fats,Total saturated fatty acids (gm)
2,sodium,3520.527716507352,57.20779473603853,0.47870037690059714,1685.277944781068,27.38539290179364,1835.2497717262843,29.822401834244893,Sodium,Sodium (mg)
2,fiber,13.336089091112497,0.3680737792568517,0.585357113723395,7.806374618731666,0.21545460506305275,5.529714472380831,0.15261917419379895,Fiber,Dietary fiber (gm)
2,sea_omega3_fa,0.09409638539328208,0.01017949359938195,0.598481125058387,0.05631491059409904,0.006092234781882759,0.03778147479918304,0.004087258817499191,Seafood omega-3 fats,PFA 20:5 (Eicosapentaenoic) (gm); PFA 22:6 (Docosahexaenoic) (gm)
2,pufa_energy,9.860800781902972,0.23768593514201705,0.7439245386155465,7.3356916720569885,0.17682039963592974,2.525109109845983,0.0608655355060873,PUFA as percent of total energy intake,Total polyunsaturated fatty acids (%E)
2,sfat_energy,11.725293338527212,0.2761190930028353,0.8219238774939737,9.637298565556545,0.22694887557100954,2.0879947729706663,0.049170217431825786,Saturated fat as percent of total energy intake,Total saturated fatty acids (%E)
2,pf_animal,5.8843657963953815,0.1988131401551266,0.5141254124899066,3.0253019923132736,0.10221488769066808,2.859063804082108,0.09659825246445852,Animal-protein foods,"Total of meat, poultry, seafood, organ meat, and cured meat (oz. eq.); Eggs (chicken, duck, goose, quail) and egg substitutes (oz. eq.)"
2,pf_plant,0.5736161560473945,0.08544861228666117,0.671273144765949,0.3850531209584898,0.057359358685553356,0.18856303508890465,0.028089253601107818,Plant-protein foods,"Beans and Peas (legumes) computed as protein foods (oz. eq.); Soy products, excluding calcium fortified soy milk (soymilk) and raw soybeans products (oz. eq.); Peanuts, tree nuts, and seeds; excludes coconut (oz. eq.)"
3,gr_refined,6.216175610901025,0.2545537703080701,0.5751252506481791,3.5750795562925495,0.14640030095186782,2.641096054608475,0.10815346935620226,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)
3,gr_whole,0.5420719010779985,0.06622660797227281,0.7588895762251486,0.41137271529264297,0.05025868245890716,0.13069918578535553,0.015967925513365646,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)"
3,dairy_tot,1.3665111619774373,0.06549418245749307,0.6248192265239476,0.8538224472630832,0.040922024424909116,0.5126887147143541,0.02457215803258395,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)"
3,dairy_cow,1.3613696280305594,0.06579710728917475,0.6228730648053927,0.847960472544372,0.04098324587253752,0.5134091554861874,0.024813861416637228,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)"
3,dairy_soy,0.00672753925434081,0.00101986076870057,1,0.00672753925434081,0.00101986076870057,0,0,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.)
3,fruit_tot,0.9833479376043076,0.0574766765331566,0.7553106950488158,0.7427332142267291,0.04341274850135447,0.24061472337757853,0.01406392803180213,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.)
