subgroup,food,mean,SE,food_label,food_desc
1,gr_tot,5.757713242150049,0.17912921732560091,Total grains,NA
1,gr_refined,4.855420135634337,0.15668518553472766,Refined grains,Refined grains that do not contain all of the components of the entire grain kernel (oz. eq.)
1,gr_whole,0.9022931065157128,0.0824506983160249,Whole grains,"Grains defined as whole grains and contain the entire grain kernel ― the bran, germ, and endosperm (oz. eq.)"
1,dairy_tot,1.4512732224582585,0.0589699980235784,Dairy (total),"Total milk, yogurt, cheese, and whey (cup ep.)"
1,dairy_cow,1.4485648362931585,0.05910634237490561,Cow-based dairy,"Milk, yogurt, cheese, and whey (cup ep.)"
1,dairy_soy,0.002708386165100022,0.0016095068479931836,Soy-based dairy,Calcium fortified soy milk (soymilk) (cup ep.)
1,fruit_tot,0.7728334859517553,0.07390132749937664,Fruits,Total intact fruits (whole or cut) and fruit juices (cup eq.)
1,fruit_exc_juice,0.6380539505482812,0.0617409682353865,Fruit excluding juice,"Intact fruits (whole or cut) of citrus, melons, and berries (cup eq.); Intact fruits (whole or cut); excluding citrus, melons, and berries (cup eq.)"
1,fruit_juice,0.1351007543320011,0.023913341276796733,Fruit juice,"Fruit juices, citrus and non-citrus (cup eq.)"
1,veg_tot,1.5399918135380224,0.07088271953824592,Total vegetables,NA
1,veg_exc_sta,1.0992168977484928,0.06773532862626017,Vegetables excluding starchy,"Dark green vegetables (cup eq.); Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.); Other vegetables not in the vegetable components listed above (cup eq.)"
1,veg_dg,0.20388424061723956,0.021410786181264838,Dark-green vegetables,Dark green vegetables (cup eq.)
1,veg_oth,0.542793650526645,0.04107042278856291,Other vegetables,Other vegetables not in the vegetable components listed above (cup eq.)
1,veg_ro,0.35253900660460835,0.02725666727483509,Red and orange vegetables,"Other red and orange vegetables, excluding tomatoes and tomato products (cup eq.)"
1,veg_sta,0.44077491578952954,0.04273901836384832,Starchy vegetables,Total starchy vegetables (white potatoes + other starchy vegetables) (cup eq.)
